[1]| 제119편{{{br}}} 그리스도 미가엘의 증여
[13]| {k{k{살빙톤}k}k}의 모든 주민, 그리고 성좌 및 체계 본부 세계들에 거주하는 존재들은, {k{k{창조주}k}k} {k{k{아들}k}k}의 사명과 행방에 대해서 어떤 말을 듣고자 하는 희망을 안고, 우주 지성체를 위한 그들 각자의 수신소에 모였다. {k{k{미가엘}k}k}이 출발한 지 3일이 되기까지는 아무런 소식도 수신되지 않았다. 이날, {k{k{네바돈}k}k}에 있는 {k{k{멜기세덱}k}k} 계층의 본부인 {k{k{멜기세덱}k}k} 구체에서 한 통신문이 {k{k{살빙톤}k}k}에 등록됐는데, 그것은 특별하고 전에_들어본_바_없는 이 진행사항을 간단히 기록했다:“우리 계층과 전체적으로 비슷하지만 우리와는 다른 어떤 {k{k{멜기세덱}k}k} {k{k{아들}k}k}이, 오늘 정오에 이 세계의 수신소에 나타났다. 그에게는 {k{k{우버사}k}k}로부터 신임장{信任狀}을 지닌 전{全}스랍이 홀로 따라왔는데, 그 전스라빔이 우리 우두머리에게 주는 명령서를 제시했으며, 이것은 {k{k{태고}k}k} {k{k{항존자}k}k}로부터 내려왔고, {k{k{살빙톤}k}k}의 {k{k{임마누엘}k}k}의 동의를 받았으며, 새로운 이 {k{k{멜기세덱}k}k} {k{k{아들}k}k}을 우리 계층으로 받아들여서 {k{k{네바돈}k}k}의 {k{k{멜기세덱}k}k}들의 비상대책 근무에 배정하도록 명령했다. 그리고 그렇게 지시했으며;그대로 실행됐다.”
[14]| 그리고 이것이 {k{k{미가엘}k}k}의 첫 번째 증여에 관하여 {k{k{살빙톤}k}k} 기록에 나타난 거의 전부다. {k{k{유란시아}k}k} 시간으로 100년이 지나기까지는 아무런 다른 기록이 나타나지 않았고, 그때 {k{k{미가엘}k}k}이 돌아와서, 아무 선포 없이, 우주 직무의 지휘를 재개했다는 사실이 기록돼 있다. 그러나 어떤 이상한 기록이 {k{k{멜기세덱}k}k} 세계에서 발견될 것인데, 그 시대의 비상대책 단체에 속한 이 독특한 {k{k{멜기세덱}k}k} {k{k{아들}k}k}의 복무에 관한 설명이다. 이 기록은 현재 {k{k{아버지}k}k} {k{k{멜기세덱}k}k}의 집 앞마당에 자리 잡은 어떤 소박한 모습의 성전에 보관돼 있고, 우주 비상사태에 대한 스물네 번의 사명에 그가 배정됐던 것과 관련해서, 잠시 있었던 이 {k{k{멜기세덱}k}k} {k{k{아들}k}k}의 복무를 설명하는 것이 포함돼 있다. 그리고 아주 최근에 내가 살펴본 이 기록은 이렇게 끝을 맺고 있다:
[15]| “그리고 오늘 정오에, 사전 발표 없이 그리고 오직 세 명의 우리 형제가 보는 가운데, 우리 계층의 이 방문자 {k{k{아들}k}k}은 자신이 왔던 대로 우리 세계에서 사라졌는데, 단 하나의 전스랍만 동행했으며;이 기록은 이 방문자가 현재 한 {k{k{멜기세덱}k}k}으로서, 즉 그가 {k{k{멜기세덱}k}k}으로서 일했던 어떤 {k{k{멜기세덱}k}k}과 비슷한 모습으로 살았다는 것과, 우리 계층의 비상대책 {k{k{아들}k}k}로서 배정됐던 모든 업무를 신실하게 수행했다는 것에 대한 증명과 함께 폐쇄돼 있다. 그는 보편적 찬성을 얻어 {k{k{멜기세덱}k}k}들의 대표가 됐는데, 그의 비길 데 없는 지혜와 최고의 사랑 그리고 임무에 대한 뛰어난 헌신 때문에, 우리의 사랑과 동경을 받는다. 그는 우리를 사랑했고 이해했으며 우리와 함께 근무했고, 우리는 영원히 그의 충성되고 헌신된 동료 {k{k{멜기세덱}k}k}인데, 우리 세계에서 이 손님이 지금은 영원토록 {k{k{멜기세덱}k}k} 본성을 지닌 우주 사역자가 됐기 때문이다.”
[16]| 이것이 {k{k{미가엘}k}k}의 첫 번째 증여에 대해서 너희에게 말하도록 허락된 전부다. 물론 우리는, 10억 년 전에 {k{k{멜기세덱}k}k}들과 함께 무척 신비스럽게 근무했던 이 색다른 {k{k{멜기세덱}k}k}이, 자신의 첫 번째 증여 사명을 위해 육신화 했던 바로 그 {k{k{미가엘}k}k}이었음을, 충분히 이해한다. 그 기록은 독특하고 유능한 이 {k{k{멜기세덱}k}k}이 {k{k{미가엘}k}k}이었음을 특별히 증거하지는 않지만, 그 사실을 보편적으로 믿는다. 아마 그 사실에 대한 실제 설명이, {k{k{소나링톤}k}k}의 기록 이외에서는 발견될 수 없을 것이며, 그 비밀한 세계의 기록은 우리에게 공개되지 않는다. 신성한 {k{k{아들}k}k}들의 이 신성시되는 세계에서만, 육신화와 증여에 대한 그 비밀이 완전하게 알려져 있다. 우리는 모두 {k{k{미가엘}k}k} 증여들에 대한 사실을 알고 있지만, 그것들이 어떻게 이뤄졌는지는 모른다. 한 우주의 통치자, 즉 {k{k{멜기세덱}k}k}들의 창조자가 어떻게 그토록 갑자기 그리고 신비스럽게 그들 가운데 하나로, 즉 100년 동안 한 {k{k{멜기세덱}k}k} {k{k{아들}k}k}로서 일하고 그들과 함께 살 수 있었는지, 우리는 알지 못한다. 그러나 그것은 그렇게 이뤄졌다.
[17]| {b{b{2. }b}b}{b{b{{k{k{두}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{번째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{증여}k}k}}b}b}
[18]| {k{k{미가엘}k}k}이 {k{k{멜기세덱}k}k}으로서 자신을 증여한 후 거의 1억 5천만 년 동안, {k{k{네바돈}k}k} 우주에서 모든 것이 잘 이뤄졌고, 그 후에 37_번 성좌의 11_번 체계에서 문제가 일어나기 시작했다. {k{k{체계}k}k} {k{k{주권자}k}k}인 어느 {k{k{라노난덱}k}k} {k{k{아들}k}k}의 오해가 관련됐는데, 그것은 {k{k{성좌}k}k} {k{k{아버지}k}k}들의 판결을 받았고, 그 성좌의 {k{k{낙원}k}k} 조언자인 {k{k{충실}k}k} {k{k{항존자}k}k}들의 공인을 받았지만, 복종하지 않는 {k{k{체계}k}k} {k{k{주권자}k}k}는 그 판결에 충분히 만족하지 않았다. 그는 불만족한 상태로 100년 이상 지난 후에, {k{k{네바돈}k}k} 우주에서 이제까지 유발됐던, {k{k{창조주}k}k} {k{k{아들}k}k}의 주권에 대항하는 가장 널리 퍼지고 비참한 반역 가운데 하나에 동역자들을 이끌고 참여했는데, 그 반역은 {k{k{우버사}k}k}에서 {k{k{태고}k}k} {k{k{항존자}k}k}들의 행동으로 판결을 받고 종료된 지 오래다. 
[19]| 반역한 이 {k{k{체계}k}k} {k{k{주권자}k}k} {k{k{루텐시아}k}k}는, {k{k{네바돈}k}k} 표준시간으로 20년 이상 자신의 본부 행성에서 최고의 권위에 있었으며;그 후에 {k{k{지고자}k}k}는 {k{k{우버사}k}k}에서 허락을 받아서 그를 격리하라고 명령했고, 투쟁으로 비탄에 젖고 혼동된, 그 체계에 속한 인간거주 세계들의 지휘를 담당할 새 {k{k{체계}k}k} {k{k{주권자}k}k}를 지명해달라고, {k{k{살빙톤}k}k} 통치자들에게 요청했다.
[20]| {k{k{살빙톤}k}k}에 이 요청이 접수됨과 동시에, {k{k{미가엘}k}k}은, 우주 본부에서 자리를 비울 뜻을 표시하는, 두 번째 색다른 성명서를 발표하기 시작했는데, “내 {k{k{낙원}k}k} {k{k{아버지}k}k}의 명령을 따르기 위한” 목적이고, “때가 이르면 돌아오겠다”고 약속하면서, {k{k{낙원}k}k} 형제인 {k{k{임마누엘}k}k}, 즉 {k{k{합동}k}k} {k{k{항존자}k}k}의 손에 모든 권한을 부여했다.
[21]| 그리고 나서, {k{k{멜기세덱}k}k} 증여와 관련하여 그가 떠나던 때에 목격된 것과 마찬가지 방법으로, {k{k{미가엘}k}k}은 다시 자신의 본부 구체를 떠났다. 이유가 밝혀지지 않은 이 작별이 있은 지 3일 후에, 새롭고 알려지지 않은 일원이 {k{k{네바돈}k}k}의 1차 {k{k{라노난덱}k}k} {k{k{아들}k}k}들의 예비 단체에 나타났다. 새로운 이 {k{k{아들}k}k}은 정오 무렵에 나타났고, 단독 제3스랍을 대동하고 갑자기 나타났는데, 그 천사는 {k{k{우버사}k}k} {k{k{태고}k}k} {k{k{항존자}k}k}들로부터 받은 신임장을 지참했고, 이것은 {k{k{살빙톤}k}k}의 {k{k{임마누엘}k}k}의 공인을 받았으며, 물러난 {k{k{루텐시아}k}k}의 후계자 자리에, 새 주권자가 임명될 때까지 전권을 갖는 대리 {k{k{체계}k}k} {k{k{주권자}k}k}로서, 새로운 이 {k{k{아들}k}k}을, 37_번 성좌의 11_번 체계에 배정하라고 지시했다.
[22]| 우주 시간으로 17년이 넘는 동안, 생소하고 알려지지 않은 이 임시 통치자가 직무를 경영했으며, 혼동되고 문란한 이 지역 체계의 어려운 일들을 판결했다. 그전에 어떤 {k{k{체계}k}k} {k{k{주권자}k}k}도, 이보다 더 열렬한 사랑을 받고 더 널리 존경받으며 높이 평가된 적이 없었다. 새로운 이 통치자는, 응보와 자비 면에서 교란된 체계의 질서를 바로잡는 한편, 모든 백성을 공들여 보살폈는데, 반역한 전임자에게, 그가 경솔한 행동에 대해서 {k{k{임마누엘}k}k}에게 사과하기만 한다면 그 체계 직위의 권한을 공유하는 특권을 제의할 정도였다. 그러나 {k{k{루텐시아}k}k}는, 새롭고 낯선 이 체계 통치자가, 아주 최근에 자신이 공공연히 반항했던 바로 그 {k{k{우주}k}k} {k{k{통치자}k}k}인 {k{k{미가엘}k}k}이었음을 잘 알면서, 이런 자비로운 권유를 한마디로 거절했다. 그러나 수백만에 달하는 오도되고 현혹됐던 그의 추종자들은, 그 시대에 {k{k{팔로니아}k}k} 체계의 {k{k{구원주}k}k} {k{k{주권자}k}k}로서 알려진 이 새 통치자의 용서를 받아들였다.
[23]| 그리고 나서 새로 임명된 {k{k{체계}k}k} {k{k{주권자}k}k}가 거기에 도착한 중대한 날이 도래했는데, 그는 폐위된 {k{k{루텐시아}k}k}의 영구한 후계자로서 우주 당국으로부터 임명받았고, {k{k{팔로니아}k}k} 전체는 {k{k{네바돈}k}k}에서 알려진 가장 고귀하고 가장 인자한 체계 통치자가 떠나는 것을 슬퍼했다. 그는 체계 전체의 사랑을 받았고 {k{k{라노난덱}k}k} {k{k{아들}k}k}들로 이뤄진 모든 동료 집단으로부터 찬미 받았다. 그는 아무런 예식 없이 떠나지는 않았는데, 그가 체계 본부를 떠날 때 성대한 잔치가 열렸다. 심지어 죄를 범한 그의 전임자도 이런 소식을 전해왔다:“당신은 모든 면에서 올바르고 정당했습니다. 내가 {k{k{낙원}k}k} 통치를 계속 거부하는 동안에도, 나는 당신이 올바르고 자비로운 통치자임을 고백할 수밖에 없습니다.”
[24]| 그리고 나서 반역 체계의 이 임시 통치자는, 경영을 맡아서 잠시 체류했던 행성을 떠났으며, 한편 그로부터 3일째 되던 날에, {k{k{미가엘}k}k}은 {k{k{살빙톤}k}k}에 나타났고, {k{k{네바돈}k}k} 우주의 통치를 재개했다. {k{k{미가엘}k}k}의 주권과 권세를 승진시킨다는, 세 번째 {k{k{우버사}k}k} 선포가 뒤를 이었다. 첫 번째 선포는 그가 {k{k{네바돈}k}k}에 도착했을 때 있었고, 두 번째는 {k{k{멜기세덱}k}k} 증여를 완성한 직후에 이뤄졌으며, 이제 세 번째가, 두 번째, 즉 {k{k{라노난덱}k}k} 사명이 종료된 다음에 있었다.
[25]| {b{b{3. }b}b}{b{b{{k{k{세}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{번째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{증여}k}k}}b}b}
[26]| {k{k{살빙톤}k}k}의 최고 협의회는, 61_번 성좌의 87_번 체계에 있는 217_번 행성에 {k{k{물질}k}k} {k{k{아들}k}k}을 파송해서 도와달라는, {k{k{생명}k}k} {k{k{운반자}k}k}들의 요청에 대한 심의를 방금 마무리했다. 이때 이 행성은 또 다른 {k{k{체계}k}k} {k{k{주권자}k}k}가 타락해버린, 인간거주 세계들의 체계에 자리잡고 있었는데, 이것은 그때까지 전체 {k{k{네바돈}k}k}에서 그런 반역 가운데 두 번째였다.
[27]| {k{k{미가엘}k}k}의 요청에 따라서, 이 행성의 {k{k{생명}k}k} {k{k{운반자}k}k}들의 청원에 대한 조처는, {k{k{임마누엘}k}k}이 고려하고 이에 대한 그의 보고가 고려되는 동안 연기됐다. 이것은 정상적인 과정이 아니었으며, 나는 우리 모두가 어떤 유별난 일을 예상하면서 미결{未決} 상태로 오래 기다리지는 않았던 것을 잘 기억한다. {k{k{미가엘}k}k}이 나서서 우주 감독을 {k{k{임마누엘}k}k}의 손에 맡기는 한편, 천상{天上}의 세력에 대한 지휘권을 {k{k{가브리엘}k}k}에게 위탁했고, 경영 책임을 그렇게 처리하면서, {k{k{우주}k}k} {k{k{어머니}k}k} {k{k{영}k}k}에게 작별을 고하고, 그 전에 있었던 두 번의 경우에 했던 것과 똑같이, {k{k{살빙톤}k}k}의 파견 장소에서 사라졌다.
[28]| 그리고, 예상됐던 대로, 그로부터 3일째 되던 날, 아무 예고 없이, 61_번 성좌에서 87_번 체계의 본부 세계에 낯선 {k{k{물질}k}k} {k{k{아들}k}k}이 출현했는데, 단독 제2스랍과 동행했고, {k{k{우버사}k}k} {k{k{태고}k}k} {k{k{항존자}k}k}들의 공인을 받았으며, {k{k{살빙톤}k}k}의 {k{k{임마누엘}k}k}에게 보증 받았다. 대리 {k{k{체계}k}k} {k{k{주권자}k}k}는, 새롭고 신비로운 이 {k{k{물질}k}k} {k{k{아들}k}k}이 217_번 세계의 대리 {k{k{행성}k}k} {k{k{왕자}k}k}로서 활동하도록 즉시 지정했으며, 이런 지명은 즉시 61_번 성좌 {k{k{지고자}k}k}들의 비준을 받았다.
[29]| 독특한 이 {k{k{물질}k}k} {k{k{아들}k}k}은 이처럼, 외부 우주와 어떤 직접 교신도 없는 괴로운 처지의 체계에 자리잡은, 분리와 반역이 있던 한 고립된 세계에서 힘든 생애를 시작했는데, 행성 시간으로 온전히 한 세대 동안 혼자서 일했다. 이 비상대책 {k{k{물질}k}k} {k{k{아들}k}k}은, 직무에 태만한 {k{k{행성}k}k} {k{k{왕자}k}k}와 그의 참모들 전부가 회개하고 교정되도록 했고, 여러 지방우주에 설립된 대로 {k{k{낙원}k}k}의 통치에 충성스럽게 봉사하는 길로 그 행성이 회복되는 것을 지켜봤다. 때가 이르자, 원기를 회복하고 구제된 이 세계에 한 {k{k{물질}k}k} {k{k{아들}k}k}과 {k{k{딸}k}k}이 도착했고, 그들이 눈에 보이는 행성 통치자로서 정식으로 임명되자, 임시, 즉 비상사태 {k{k{행성}k}k} {k{k{왕자}k}k}는 공식적으로 떠났는데, 어느 날 정오에 사라졌다. 그로부터 3일째 되던 날에, {k{k{미가엘}k}k}은 {k{k{살빙톤}k}k}에 있는, 자신이 늘 있던 장소에 나타났고, 연방우주 방송은, {k{k{네바돈}k}k}에서 {k{k{미가엘}k}k}의 주권이 더 증진됐음을 알리는 {k{k{태고}k}k} {k{k{항존자}k}k}들의 네 번째 선언을 즉시 발표했다.
[30]| 혼란에 빠진 이 행성에서 이 {k{k{물질}k}k} {k{k{아들}k}k}이 괴로운 환경을 이겨낸, 인내심과 꿋꿋함 그리고 솜씨에 대해 설명하도록 허락받지 못해서 유감이다. 고립된 이 세계가 교정 받은 것은, {k{k{네바돈}k}k} 전체의 구원 역사에서 가장 매혹적으로 감동적인 장{章}들 가운데 하나다. 이 사명이 끝났을 때, 그들의 사랑하는 통치자가, 왜 어느 하위 계층의 지성적 존재와 비슷한 모습으로 이런 증여에 거듭 참여하기를 선택했는지, 온 {k{k{네바돈}k}k}이 명백히 알게 됐다.
[31]| {k{k{멜기세덱}k}k} {k{k{아들}k}k}로서, 그리고 나서 {k{k{라노난덱}k}k} {k{k{아들}k}k}로서, 그 다음에는 {k{k{물질}k}k} {k{k{아들}k}k}로서 {k{k{미가엘}k}k}이 자신을 증여한 것은, 모두 똑같이 신비스럽고 설명할 수 없는 일이다. 각각의 경우에 그는 {i{i{갑작스럽게}i}i}, 그리고 증여된 집단의 완전히 성장한 한 개인으로서 나타났다. 그런 육신화의 비밀은, {k{k{소나링톤}k}k}의 신성시되는 구체에 있는 기록의 내부 궤도에 접근한 자들을 제외하고는, 결코 아무에게도 알려지지 않을 것이다.
[32]| 고립과 반역이 있었던 한 세계의 {k{k{행성}k}k} {k{k{왕자}k}k}로서 이렇게 놀라운 증여가 있은 후에, {k{k{네바돈}k}k}에 있는 어떤 {k{k{물질}k}k} {k{k{아들}k}k}과 {k{k{딸}k}k}도, 자신의 직책에 대해서 불평하거나 행성 사명이 어렵다고 비난하도록 유혹받은 적이 전혀 없었다. {k{k{물질}k}k} {k{k{아들}k}k}들은, 우주의 {k{k{창조주}k}k} {k{k{아들}k}k}이라는, 총명한 주권자와 연민의 정을 지닌 친구, 즉 그들이 단련과 시험을 받아야 하는 것처럼, “모든 면에서 단련과 시험을 받은” 존재가 있음을 항상 알고 있다.
[33]| 이런 각 사명이 있은 다음에는, 그 우주에서 기원된 모든 천상{天上}의 지성체들이 더욱 봉사하고 충성하는 시대가 뒤따랐고, 한편 이어지는 각 증여 시대는, 우주 경영의 모든 방법과 정부의 모든 기법이 향상되고 개선되는 특징을 보였다. 이 증여가 있은 후에 어떤 {k{k{물질}k}k} {k{k{아들}k}k} 또는 {k{k{딸}k}k}도, 고의로 {k{k{미가엘}k}k}에 대항하는 반역에 참여하지 않았으며;그들은 그를 너무나 헌신적으로 사랑하고 공경했기 때문에, 결코 의식하면서 그를 거부할 수 없었다. 오직 속임수와 궤변을 통해서만, 최근에 높은 유형의 반역 인격체들이 {k{k{아담}k}k}들을 그릇된 길로 인도했다.
[34]| {b{b{4. }b}b}{b{b{{k{k{네}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{번째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{증여}k}k}}b}b}
[35]| {k{k{미가엘}k}k}이 {k{k{네바돈}k}k} 정부를 {k{k{임마누엘}k}k}과 {k{k{가브리엘}k}k}의 손에 맡긴 것은, {k{k{우버사}k}k}에서 1,000년마다 있는 정기 출석점호 가운데 하나가 끝날 무렵이었으며;물론, 그런 행동 다음에 과거에 일어났던 것을 회상하면서, 우리 모두는 {k{k{미가엘}k}k}의 네 번째 증여 사명을 위해서 그가 사라질 것에 대비했고, 오래 기다리지 않았는데, 그가 곧 {k{k{살빙톤}k}k} 파견장소로 나아가 우리 눈앞에서 사라졌기 때문이다.
[36]| 증여를 위해서 사라진 후 셋째 날에, 우리는 {k{k{우버사}k}k}로 보내는 우주 방송에서 {k{k{네바돈}k}k}의 스랍 본부로부터 이런 의미심장한 소식 항목을 목격했다:“알려지지 않은 어떤 스라빔의 예고 없는 방문을 보고하겠는데, 독자적인 한 최고스랍과 {k{k{살빙톤}k}k}의 {k{k{가브리엘}k}k}이 동행했습니다. 등록되지 않은 이 스랍은, {k{k{네바돈}k}k} 계층의 자격이 있고 또한 {k{k{우버사}k}k} {k{k{태고}k}k} {k{k{항존자}k}k}들로부터 받은 신임장을 지니고 있으며, {k{k{살빙톤}k}k}의 {k{k{임마누엘}k}k}에게 보증 받았습니다. 검사한 결과, 이 스라빔은 지방우주의 천사들 가운데 최고 계층에 속했으며, 교육 상담자 단체에 이미 배정됐습니다.”
