[1]| 제187편{{{br}}} 십자가형
[13]| 죽음의 행렬이 {k{k{예루살렘}k}k}의 좁은 길을 지나가자, 연민의 정과 즐거운 기운으로 가득한 {k{k{예수}k}k}의 말씀을 들었던, 그리고 사랑에 넘치는 그의 삶을 아는 인정 많은 다수의 {k{k{유대인}k}k} 여자가, 그런 야비한 죽음을 맞이하기 위해 끌려가는 그를 보면서 눈물을 감추지 못했다. 그가 옆으로 지나갈 때, 이 여자들 대부분은 어쩔 줄 몰라 하면서 애통해 했다. 그들 가운데 일부는 용감하게 그의 옆에서 따라가려고 했지만, {k{k{주님}k}k}은 그들에게 고개를 돌리면서 말씀했다:“{k{k{예루살렘}k}k}의 딸들아, 나를 위해 울지 말고, 오히려 너희 자신과 자녀를 위해 슬퍼하라. 나의 일은 거의 끝났지만--즉 나는 곧 내 {k{k{아버지}k}k}께로 가지만-- {k{k{예루살렘}k}k}에 극심한 고난의 때가 곧 시작될 것이다. 보라, 그날이 오면 너희가:아이를 낳지 못한 자와 자녀에게 젖을 먹여보지 못한 자가 복되다고 말할 것이다. 그때가 되면, 너희는 재난에 대한 공포에서 벗어나기 위해, 언덕 위의 돌이 너희에게 굴러 떨어지게 해달라고 기도할 것이다.”
[14]| 십자가형을 받으러 가는 자에게 친근감을 나타내는 것은 엄격히 법에 어긋났으므로, {k{k{예루살렘}k}k} 여자들이 {k{k{예수}k}k}에 대해 동정심을 보인 것은 정말로 용감한 행동이었다. 사람들이 사형수를 조롱하고 비웃으며 놀리는 일은 허용됐지만, 조금이라도 동정심을 표현하는 것은 금지됐다. {k{k{예수}k}k}께서는 친구들이 숨어있는 이 암담한 때에 보여주는 동정심에 고맙게 생각하긴 했지만, 마음씨 고운 이 여자들이 그에게 감히 동정심을 나타냄으로써 권세자들의 비위를 건드리지 않기를 원했다. {k{k{예수}k}k}께서는, 이와 같은 때에도 자신에 대해서는 전혀 생각하지 않고, 오직 {k{k{예루살렘}k}k}과 온 {k{k{유대}k}k} 민족에 임할 극도로 비극적인 날들을 생각했다.
[15]| {k{k{주님}k}k}이 십자가 형장으로 향하는 길을 따라서 힘들게 걸음을 옮길 때, 매우 지쳐있었으며;거의 탈진한 상태였다. 그는 {k{k{엘리야}k}k} {k{k{마가}k}k}의 집에서 {k{k{마지막}k}k} {k{k{만찬}k}k}을 나눈 후로 음식과 물을 조금도 섭취하지 못했으며;또한 한 순간도 눈을 붙이지 못했다. 더욱이, 사나운 채찍질로 육체적 고통을 당하고 피 흘린 것은 말할 것도 없이, 선고 받는 순간까지 쉬지 않고 계속 이어지는 심문을 받아왔었다. 이런 모든 것 위에, 그의 극단적인 정신적 고뇌, 날카로운 영적 긴장감, 그리고 극심한 인간적 고독감이 덧붙여졌다.
[16]| 그 성 밖으로 나가는 문을 통과한 후 얼마 안 되어, {k{k{예수}k}k}께서는 가로 들보를 이겨내지 못해 비틀거렸고, 체력이 순간적으로 급격히 떨어졌으며, 무거운 짐을 이겨내지 못하고 주저앉았다. 병사들이 소리 지르면서 발로 찼으나, 그는 일어날 수 없었다. 이것을 본 지휘관은, {k{k{예수}k}k}께서 이미 지탱할 수 없는 지경에 이른 것을 알고, 병사들에게 그만두라고 명했다. 그리고 나서 그는, {k{k{구레네}k}k}에서 온 {k{k{시몬}k}k}이라는 지나가던 사람에게 명령해서, {k{k{예수}k}k}의 어깨 위에 있는 가로 들보를 내려서 {k{k{골고다}k}k}까지 남은 길을 강제로 지고 가도록 했다.
[17]| {k{k{시몬}k}k}이라는 이 사람은, {k{k{유월절}k}k}에 참여하기 위해 {k{k{아프리카}k}k} 북쪽에 있는 {k{k{구레네}k}k}에서 먼 길을 왔다. {k{k{로마}k}k} 지휘관이 {k{k{예수}k}k}의 가로 들보를 지고 가도록 명했을 때, 그는 성{城}에 있는 성전으로 예배드리러 가던 도중에, 다른 {k{k{구레네인}k}k}과 함께 바로 성 밖에서 쉬고 있었다. {k{k{시몬}k}k}은, {k{k{주님}k}k}이 십자가 위에서 죽는 동안 내내 떠나지 않았고, {k{k{주님}k}k}의 친구와 적들 가운데 여러 사람과 이야기를 나눴다. 부활 이후에, 그리고 {k{k{예루살렘}k}k}을 떠나기 전에, 그는 천국 복음의 훌륭한 신자가 됐으며, 고향에 돌아간 후에는, 온 가족을 하늘 나라로 인도했다. 그의 두 아들 {k{k{알렉산더}k}k}와 {k{k{루포}k}k}는, {k{k{아프리카}k}k}에서 새 복음을 가르치는 매우 훌륭한 선생이 됐다. 그러나 {k{k{시몬}k}k}은, 자기가 짐을 대신 져줬던 그 사람, 그리고 부상당했던 자기 아들과 한때 친구로 지냈던 그 {k{k{유대인}k}k} 개인 교사가, 이 {k{k{예수}k}k}와 동일 인물이었음을 전혀 알지 못했다.
[18]| 이 죽음의 행렬이 {k{k{골고다}k}k}에 도착한 것은 아홉 시 조금 지났을 때였으며, {k{k{로마}k}k} 군인들은 두 강도와 {k{k{사람의}k}k} {k{k{아들}k}k}을 각자의 십자가에 못박는 일에 직접 착수했다.
[19]| {b{b{2. }b}b}{b{b{{k{k{십자가형}k}k}}b}b}
[20]| 병사들은 먼저 {k{k{주님}k}k}의 팔을 가로 들보에 끈으로 묶었고, 그 후에 그의 손을 나무에 못박았다. 그들은 이 가로 들보를 기둥 위로 끌어올리고, 똑바로 세워진 십자가 나무에 견고히 못박은 후에, 발도 나무에 묶고 못박았으며, 한 개의 긴 못으로 두 발을 관통하도록 했다. 똑바로 세워진 나무에는 큰 쐐기 못이 적당한 높이에 박혀 있어서, 몸의 무게를 지탱할 수 있는 발판 역할을 했다. 그 십자가는 높지 않았으므로, {k{k{주님}k}k}의 발끝에서 땅까지는 약 3피트밖에 되지 않았다. 그러므로 그는 자기를 비웃는 모든 말을 들을 수 있었고, 인정머리 없이 조롱하는 모든 사람의 얼굴 표정을 확실히 볼 수 있었다. 또한 거기에 있던 사람들은, 오래 지속되는 심한 고통을 겪으면서 서서히 죽어가는 긴 시간 동안 {k{k{예수}k}k}께서 말씀하는 것을 모두 들을 수 있었다. 
[21]| 십자가형을 당하는 사람에게서 옷을 모두 벗기는 것이 관례였지만, 벗겨진 육체가 모든 사람에게 노출되는 것을 {k{k{유대인}k}k}이 완강히 거부했으므로, {k{k{로마인}k}k}은 {k{k{예루살렘}k}k}에서 십자가형에 처해지는 사람마다, 적당히 허리 부분만 감추는 옷을 입혔다. 따라서, {k{k{예수}k}k}의 옷을 벗기고 그런 옷을 입힌 후에 십자가에 매달았다.
[22]| 십자가형은 오래 지속되게 하는 잔인한 형벌로 이용됐고, 사형수가 며칠 동안 죽지 않는 경우도 있을 정도였다. {k{k{예루살렘}k}k}에서는 십자가형을 상당히 반대하는 분위기가 있었고, 사형수의 고통을 덜어주도록 약을 탄 포도주를 마시게 하기 위해, 십자가 형장에 늘 대표자를 보내는 {k{k{유대인}k}k} 부인회{婦人會}가 있었다. 그러나 {k{k{예수}k}k}께서는 마취제가 섞인 이 포도주를 맛봤을 때, 그토록 목이 말랐지만, 마시기를 거절했다. {k{k{주님}k}k}은 마지막 순간까지 인간 의식{意識}을 유지하려고 했다. 그는 이런 잔인하고 비인간적인 형식 속에서도 죽음에 대처하고, 완전한 인간 체험에 자발적으로 순종함으로써 그것을 극복하려고 했다.
[23]| {k{k{예수}k}k}께서 십자가에 박히기 전에, 두 강도가 이미 각자의 십자가에 달렸고, 그동안 내내 형 집행자들을 저주하면서 침을 뱉었다. 그들이 {k{k{예수}k}k}를 십자가에 못박을 때, 그는 오직 “{k{k{아버지}k}k}여, 저들이 무엇을 하는지 알지 못하니, 저들을 용서해 주십시오”라고 말씀했을 뿐이다. 애정 어린 헌신을 보여주는 그런 생각이, 애타적으로 봉사한 자신의 삶 전체의 주요 동기가 아니었다면, 형을 집행하는 자들을 위해 그가 그토록 자비롭고 사랑스럽게 중보 기도를 드리지 못했을 것이다. 평소에 하던, 생각, 동기, 및 바램들은 결정적 순간에 분명하게 드러나는 법이다.
[24]| {k{k{주님}k}k}이 십자가 위로 끌어 올려진 후에, 지휘관이 그의 머리 위쪽 십자가에 죄패를 못으로 박았고, 세 나라 말로, “{k{k{나사렛}k}k} {k{k{예수}k}k}--{k{k{유대인의}k}k} {k{k{왕}k}k}”이라고 적혀 있었다. {k{k{유대인}k}k}은 이것이 자기네를 모욕하는 것이라고 믿고 크게 분노했다. 그러나 {k{k{빌라도}k}k}는 그들의 무례한 태도에 약이 올랐으며;자기가 협박당하고 자존심 상했던 것을 생각하고, 보잘것없기는 하지만 이런 방법으로라도 보복하고자 했다. 그는, “{k{k{예수}k}k}, 반역자”라고 쓸 수도 있었다. 그러나 그는, {k{k{예루살렘}k}k} {k{k{유대인}k}k}이 {k{k{나사렛}k}k}이라는 바로 그 이름을 얼마나 싫어하는지 잘 알았으므로, 그렇게 해서 그들에게 굴욕감을 느끼게 하려고 작정했다. 사형당한 이 {k{k{갈릴리인}k}k}이 “{k{k{유대인의}k}k} {k{k{왕}k}k}”이라고 불린 것을 봄으로써, 그들이 골수까지 쓰리게 될 것을 알았다.
[25]| {k{k{유대인}k}k} 지도자 가운데 다수는, {k{k{빌라도}k}k}가 이런 기록을 {k{k{예수}k}k}의 십자가 위에 붙여서 자기들을 얼마나 조롱하려는지 알고, 서둘러 {k{k{골고다}k}k}로 달려갔지만, {k{k{로마}k}k} 군인들이 지키고 서 있었기 때문에 감히 그것을 없애려 하지 못했다. 그 죄패를 제거하지 못하게 되자, 아무도 그 기록을 심각하게 생각하지 못하게 하기 위해, 이 지도자들은 인파 속에 섞여서 비웃고 조소하도록 힘을 다해 선동했다.
[26]| {k{k{예수}k}k}를 십자가 위의 제 위치로 끌어 올린 직후에, 그리고 지휘관이 죄패를 {k{k{주님}k}k}의 머리 위편에 못으로 박고 있을 때, {k{k{예수}k}k}의 어머니 {k{k{마리아}k}k}, {k{k{룻}k}k}, 그리고 {k{k{유다}k}k}와 함께 {k{k{사도}k}k} {k{k{요한}k}k}이 거기에 도착했다. {k{k{요한}k}k}은 {k{k{예수}k}k}의 어머니를 거기에 모시고 온지 얼마 안 돼서, 자기 어머니와 그 친구들을 데려오기 위해 {k{k{예루살렘}k}k}으로 달려간 후 한동안 거기에 없었지만, 열한 사도 중에서 십자가형을 지켜본 유일한 사람이었다.
[27]| {k{k{예수}k}k}께서는, {k{k{요한}k}k}과 남동생 및 여동생과 함께 있는 어머니를 보자 미소를 띠었지만, 아무 말씀도 하지 않았다. 그러는 동안, {k{k{주님}k}k}의 십자가형을 집행하던 병사들은 관례대로 그의 옷을 서로 나눴으며, 한 사람은 신발을, 한 사람은 머리에 두르는 수건을, 한 사람은 허리띠를, 그리고 네 번째 사람은 외투를 택했다. 무릎 아래까지 닿는 이음매 없는 남겨진 이 속옷 하나를 네 조각으로 나누려고 하다가, 흔히 볼 수 있는 옷이 아님을 본 병사들은, 제비를 뽑아서 갖기로 결정했다. {k{k{예수}k}k}께서는 자기 옷을 나누는 그들과 자기를 조롱하는 경솔한 사람들을 내려다봤다.
[28]| {k{k{로마}k}k} 군인들이 {k{k{주님}k}k}의 옷을 갖는 것은 잘된 일이었다. 그러지 않고, 그의 추종자들이 이 옷가지들을 가졌다면, 유물을 미신적으로 숭배하는 유혹에 빠졌을 것이다. {k{k{주님}k}k}은, 추종자들이 이 땅에서 자신의 삶과 관련되는 어떤 물질도 소유하지 못하게 되기를 바랐다. 그는, {k{k{아버지}k}k} 뜻을 행하는 일에 바쳐지는 높은 영적 이상{理想}에 헌신된 인간 생애에 대한 그 기억만을 인류에게 남기려고 했다.
[29]| {b{b{3. }b}b}{b{b{{k{k{십자가형을}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{본}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{사람들}k}k}}b}b}
[30]| 이 금요일 아침 아홉 시 반쯤에, {k{k{예수}k}k}께서 십자가에 달렸다. {k{k{사람의}k}k} {k{k{아들}k}k}이 십자가형을 당하는 이 장면을 지켜보기 위해, 열한 시 전까지 1,000명 이상의 사람이 모여들었다. 이런 소름끼치는 시간 내내, 눈에 보이지 않는 우주의 무리는, 피조물과 마찬가지의 죽음, 심지어 유죄 판결을 받아 가장 비참한 죽음을 {k{k{창조주}k}k}께서 맞이하는 이 엄청난 장면을 지켜보면서 아무 말 없이 서 있었다.
[31]| 십자가에 달린 동안 언젠가 십자가 옆에는, {k{k{마리아}k}k}, {k{k{룻}k}k}, {k{k{유다}k}k}, {k{k{요한}k}k}, ({k{k{요한}k}k}의 어머니) {k{k{살로메}k}k}, 그리고 {k{k{예수}k}k}의 이모이고 {k{k{글로바}k}k}의 아내인 {k{k{마리아}k}k}와, {k{k{막달라}k}k} {k{k{마리아}k}k}, 그리고 전에 {k{k{세포리}k}k}에 있었던 {k{k{리브가}k}k} 등을 포함하여, 진지하게 믿는 여러 명의 여신도가 있었다. 이 사람들 및 {k{k{예수}k}k}의 다른 친구들은, 그의 위대한 인내심과 꿋꿋함을 보면서, 그리고 그의 극심한 수난을 지켜보면서 침묵했다.
[32]| 많은 사람이 지나가면서 머리를 흔들고 그를 조롱했다:“네가 성전을 허물고 3일 만에 다시 세우겠다고 했으니, 너 자신부터 구원해 봐라. 네가 {k{k{하나님의}k}k} {k{k{아들}k}k}이라면, 왜 십자가에서 내려오지 못하느냐?” 또 어떤 {k{k{유대인}k}k} 관리들도 비슷한 태도로 조롱했다:“저가 다른 사람들은 구원했지만, 자기는 구원하지 못하는구나.” 다른 사람들은, “네가 {k{k{유대인의}k}k} {k{k{왕}k}k}이라면, 십자가에서 내려와라, 그러면 우리가 너를 믿겠다”고 말했다. 시간이 지나면서, 그들은 그를 더욱 조롱하면서 말했다:“그는 {k{k{하나님}k}k}이 자기를 구출해 줄 것으로 믿었다. 자기가 {k{k{하나님의}k}k} {k{k{아들}k}k}이라고 주장했는데 --자, 저를 봐라-- 두 강도 사이에서 십자가에 달려있지 않느냐.” 심지어 두 강도 역시 그를 조롱하고 비난했다.
[33]| 그들의 조롱에 {k{k{예수}k}k}께서 대꾸하려 하지 않았으므로, 그리고 특별한 예비일의 정오 시간이 가까워졌으므로, 열한 시 반쯤이 되자, 희롱하고 야유하던 인파 대부분이 돌아갔으며;오십 명 미만의 사람이 거기에 남았다. 병사들은 오랫동안 죽는 과정을 지켜볼 준비를 하고, 값싼 신 포도주를 마시면서 점심을 먹으려고 했다. 그들은 포도주를 마시면서 조롱하는 말투로 {k{k{예수}k}k}를 향해 건배하면서, “{k{k{유대인의}k}k} {k{k{왕}k}k} 만세, 행운을 위하여!”라고 말했다. 그리고 그들은 그 비웃음과 조롱에 대한 {k{k{주님}k}k}의 관대함에 놀랬다.
[34]| 먹고 마시는 것을 본 {k{k{예수}k}k}께서는 그들을 내려다보면서 말씀했다, “내가 목마르다.” 경비대 지휘관이 {k{k{예수}k}k}께서 “내가 목마르다”라고 한 말씀을 듣고, 자기가 가진 병에서 약간의 포도주를 따라서 스펀지로 된 병마개를 흠뻑 적신 후, 창끝에 달아 올려서 {k{k{예수}k}k}께서 바짝 마른 입술을 적실 수 있게 했다.
[35]| {k{k{예수}k}k}께서는, 자신의 초자연적 능력에 의존하지 않고 살아가기로 작정했었으며, 마찬가지로, 보통 사람과 똑같이 십자가에서 죽기로 선택했다. 그는 한 사람으로서 살았고, --{k{k{아버지}k}k}의 뜻을 행하는-- 한 사람으로서 죽고자 했다.
[36]| {b{b{4. }b}b}{b{b{{k{k{십자가}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{위의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{강도}k}k}}b}b}
[37]| 강도들 가운데 하나가 {k{k{예수}k}k}를 조롱하면서, “네가 {k{k{하나님의}k}k} {k{k{아들}k}k}이라면 왜 너 자신과 우리를 구하지 않느냐?” 그러나 그가 {k{k{예수}k}k}를 비난하자, 여러 번 {k{k{주님}k}k}의 가르침을 들었던 다른 강도가 말했다:“너는 {k{k{하나님}k}k}조차 두려워하지 않느냐? 우리는 우리가 저지른 일로 마땅히 고통 받지만, 이 사람은 부당하게 고통당하고 있는 것을 모르겠느냐? 우리 자신의 죄에 대한 용서와 우리 혼에 대한 구원을 구하는 것이 나을 것이다.” 그 강도가 이렇게 말하는 것을 들은 {k{k{예수}k}k}께서는, 그에게 얼굴을 돌리고 만족스러운 미소를 띠었다. {k{k{예수}k}k}께서 자기에게 고개를 돌린 것을 본 그 죄수는 용기를 내어, 꺼질 듯한 신앙의 불길에 부채질 하면서, “{k{k{주님}k}k}, 당신의 나라에 들어가시면 나를 기억해 주십시오”라고 말했다. 그러자 {k{k{예수}k}k}께서는 “진실로, 진실로, 내가 오늘 네게 말하는데, 네가 언젠가 {k{k{낙원}k}k}에서 나와 함께 있을 것이라”고 말씀했다.
[38]| 육신이 죽어가는 고통이 한참인 중에도, {k{k{주님}k}k}은 믿음을 가진 강도의 신앙 고백에 귀 기울였다. 구원을 향해 손을 내밀었을 때, 이 강도는 구출됐다. 이 일이 있기 전에, 그는 {k{k{예수}k}k}를 믿을 수밖에 없는 처지에 여러 번 있었지만, 의식이 살아있는 마지막 순간에 와서야, {k{k{주님}k}k}의 가르침을 향해 전심으로 돌아섰다. {k{k{예수}k}k}께서 십자가 위에서 죽음을 맞는 태도를 봤을 때, 이 강도는 {k{k{사람의}k}k} {k{k{아들}k}k}이 참으로 {k{k{하나님의}k}k} {k{k{아들}k}k}이었음을 깨달을 수밖에 없었다.
[39]| 그 강도가 {k{k{예수}k}k}로 인해 천국으로 전향{轉向}하고 받아들여지는 사건이 일어나는 동안, {k{k{사도}k}k} {k{k{요한}k}k}은 거기에 없었고, 어머니와 그 친구들을 십자가 형장으로 데려오기 위하여 성으로 들어갔었다. {k{k{누가}k}k}는 개종한 {k{k{로마}k}k} 경비원 지휘관에게서 나중에 이 이야기를 들었다.
[40]| {k{k{사도}k}k} {k{k{요한}k}k}은, 사건이 있은 지 약 65년 이상 지난 후에야, 기억을 더듬어서 십자가형에 대해 이야기했다. 다른 기록들은, 근무하던 {k{k{로마}k}k} 백부장의 설명에 기초했는데, 그는 자기가 보고 들은 것 때문에 나중에 {k{k{예수}k}k}를 믿게 됐으며, 이 땅에 있는 하늘 나라 공동체에 온전히 참여했다. 
[41]| 참회한 강도인 이 젊은이는, 강도 행위야말로 정치적 압제와 사회의 불공정에 대항하는 효과적인 애국 항거라고 찬미하는 사람들 때문에, 폭력과 범죄로 얼룩진 인생 속으로 휘말려 들어갔다. 이런 종류의 가르침은, 모험하고 싶은 충동과 함께 많은 선의의 젊은이를 이끌어서, 기꺼이 강도 원정대에 참여하게 했다. 이 젊은이도 {k{k{바라바}k}k}를 영웅으로 추앙했다. 그는 이제 자신이 실수했음을 알았다. 그는, 자기 옆에서 십자가에 달려 있는, 정말로 위대한 한 사람, 참된 영웅을 봤다. 그 영웅은, 그의 열성을 불타게 하고, 도덕적 자존감이라는 가장 고상한 관념을 심어주고, 용기와 남자다움과 용맹에 대한 그의 모든 이상{理想}을 소생시켰다. {k{k{예수}k}k}를 바라보는 동안에 그의 마음 속에는, 사랑, 충성심, 및 참된 위대함에 대한 강력한 깨달음이 솟아났다.
[42]| 조롱하던 군중들 가운데에서 어떤 다른 사람이든지, 자기 혼 속에 신앙이 잉태되는 체험을 하고 {k{k{예수}k}k}의 자비에 호소했다면, 믿음을 가진 그 강도에게 보여준 것과 똑같은 사랑의 동정심으로 영접 받았을 것이다.
[43]| 언젠가 {k{k{낙원}k}k}에서 서로 만날 것이라는 {k{k{주님}k}k}의 약속을, 회개한 강도가 들은 직후에, {k{k{요한}k}k}이 성에서 돌아왔고, {k{k{예수}k}k}의 어머니와 거의 열두 명이나 되는 여신도가 따라왔다. {k{k{요한}k}k}은 {k{k{예수}k}k}의 어머니 {k{k{마리아}k}k} 곁에 서서 부축했다. 아들 {k{k{유다}k}k}는 다른 편에 서 있었다. {k{k{예수}k}k}께서 이 광경을 내려다본 것은 정오 무렵이었고, “여인이여, 보십시오, 당신의 아들입니다!”라고 어머니에게 말씀했다. 그리고 {k{k{요한}k}k}에게는, “얘야, 보라, 네 어머니다!”라고 말씀했다. 그리고 나서 둘 다에게, “이 자리를 떠나기 바란다”고 말씀했다. 그리하여 {k{k{요한}k}k}과 {k{k{유다}k}k}는 {k{k{마리아}k}k}를 {k{k{겟세마네}k}k}에서 모시고 내려갔다. {k{k{요한}k}k}은, 자기가 {k{k{예루살렘}k}k}에 머물고 있던 곳으로 {k{k{예수}k}k}의 어머니를 안내한 후에, 서둘러 십자가 형장으로 돌아왔다. {k{k{마리아}k}k}는 {k{k{유월절}k}k}이 지난 후에 {k{k{벳새다}k}k}로 돌아갔고, 거기에 있는 {k{k{요한}k}k}의 집에서 여생을 보냈다. {k{k{마리아}k}k}는 {k{k{예수}k}k}께서 돌아가신 후 1년이 못돼서 죽었다.
[44]| {k{k{마리아}k}k}가 떠난 후에, 다른 여자들은 조금 떨어진 곳으로 물러나서, {k{k{예수}k}k}께서 십자가 위에서 운명할 때까지 거기에 남았으며, {k{k{주님}k}k}의 몸이 내려져서 무덤에 들어갈 때까지도 여전히 지켜봤다.
