[1]| 제55편{{{br}}} 빛과 생명의 구체
[13]| 7. 일곱째 단계, 연방우주 단계.
[14]| 앞으로 나아가는 이 발전 단계들은, 이 설명의 결론부분에서 우주 조직과 관련해 묘사되겠지만, 어떤 단계에 있는 행성의 가치기준이든지, 다른 세계들의 발달 또는 행성을 초월하는 우주 경영의 수준과는 아주 상관없이, 어떤 세계에서든지 달성될 수 있다.
[15]| {b{b{1. }b}b}{b{b{{k{k{모론시아}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{성전}k}k}}b}b}
[16]| 인간거주 세계의 수도에 모론시아 성전이 현존한다는 것은, 그런 구체가 빛과 생명의 정착된 시대에 들어갔다는 증명서다. 한 세계에서 {k{k{교사}k}k} {k{k{아들}k}k}이 마지막 사명을 완료하고 떠나기 전에, 진화로 달성하는 이 마지막 시기의 막을 열면서;“거룩한 성전이 땅으로 내려오는” 그날을 주관한다. 빛과 생명의 시대가 다가옴을 알려주는 이 행사는, 반드시 그 행성의 {k{k{낙원}k}k} 증여 {k{k{아들}k}k}이 몸소 참석하는 영광을 누리는데, 그는 이 위대한 날을 직접 목격하려고 온다. 비할 바 없이 아름다운 이 성전에서, {k{k{낙원}k}k}의 이 증여 {k{k{아들}k}k}은 오래_근무한 {k{k{행성}k}k} {k{k{왕자}k}k}를 새 {k{k{행성}k}k} {k{k{주권자}k}k}로 선포하고, 그런 충실한 {k{k{라노난덱}k}k} {k{k{아들}k}k}에게 새로운 권능을 부여하고, 행성 직무에 대한 권한을 확장시킨다. {k{k{체계}k}k} {k{k{주권자}k}k}도 참석하여 이 선언{宣言}을 확증하는 연설을 한다.
[17]| 모론시아 성전은 세 부분으로 돼있다:가장 중심부는 {k{k{낙원}k}k} 증여 {k{k{아들}k}k}의 지성소{至聖所}다. 오른쪽에는, 전에 {k{k{행성}k}k} {k{k{왕자}k}k}였던, 현직 {k{k{행성}k}k} {k{k{주권자}k}k}의 자리가 있으며;이 {k{k{라노난덱}k}k} {k{k{아들}k}k}은, 성전에 나타났을 때, 그 영역의 비교적 영적인 개인들의 눈에 보인다. 왼쪽에는 그 행성에 배속된 완결성취자들의 대리 우두머리의 자리가 있다.
[18]| 행성의 성전이 비록 “하늘에서 내려오는” 것처럼 이야기돼 왔지만, 실제로는 어떤 실질적 물질도 체계 본부로부터 옮겨지지 않는다. 각 구조물은 체계 본부에서 축소형으로 만들어지고, 이 승인된 계획을 그 후에 {k{k{모론시아}k}k} {k{k{동력}k}k} {k{k{감독관}k}k}들이 그 행성으로 가져온다. 그들은 여기서, {k{k{총괄}k}k} {k{k{물리}k}k} {k{k{통제관}k}k}들과 연합하여, 설계도에 따라서 모론시아 성전을 건축하기 시작한다.
[19]| 평범한 모론시아 성전에는 약 30만 명의 관객이 앉을 수 있다. 이 건축물은, 경배, 연극, 또는 방송을 청취하는 일에는 이용되지 않으며;그 행성의 특별한 예식{禮式}에만 사용되는데, 예를 들면:{k{k{체계}k}k} {k{k{주권자}k}k} 또는 {k{k{지고자}k}k}들과의 소통, 영 존재들의 인격 현존을 드러내도록 고안된 특별히 눈에 보이게 하는 예식, 그리고 조용히 시공우주를 묵상하는 것 등이다. 시공우주 철학 학교들이 졸업식 예행연습을 여기서 실시하며, 그 영역의 필사자들이 사회에 크게 이바지한 업적에 대한, 그리고 기타 뛰어나게 달성한 것들에 대한 행성 표창도 여기서 받는다.
[20]| 그런 모론시아 성전은 또한, 살아있는 필사자들을 모론시아 실존으로 전환시키는 것을 목격하기 위한 집회 장소로 사용되기도 한다. 번쩍이며 다 태워버리는 영광의 불꽃에도 파괴되지 않는 것은, 전환시키는 이 성전이 모론시아 물질로 구성돼있기 때문인데, 이 불꽃은 신성한 {k{k{조율사}k}k}와 최종 융합을 여기서 체험하는 그런 필사자의 육체를 아주 완전하게 없애버린다. 이 이별{離別}의 섬광이 어떤 큰 세계에서 계속되고 있으며, 전환되는 숫자가 늘어남에 따라서, 모론시아 생명 보조 성소{聖所}들이 그 행성의 여러 다른 지역에 마련된다. 나는 얼마 전에, 25개의 모론시아 성소가 작동하는, 먼 북쪽에 있는 어떤 세계에 머문 적이 있다.
[21]| 정착되기_이전의 세계, 즉 모론시아 성전이 없는 행성에서는, 이 융합 섬광이 행성 대기{大氣}에서 여러 번 일어나는데, 중도 피조물과 물리 통제관들이 전환 후보자의 물질 육신을 행성 대기로 들어올린다.
[22]| {b{b{2. }b}b}{b{b{{k{k{죽음과}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{전환}k}k}}b}b}
[23]| 육신의 자연사는 필사자에게 불가피한 것이 아니다. 진보된 진화 존재들, 즉 빛과 생명이라는 최종 시대에 실존하는 세계에서 대부분의 시민은 죽지 않으며;그들은 육신 속의 생애로부터 모론시아 실존으로 직접 전환된다.
[24]| 물질 생애로부터 모론시아 상태로 전환되는 이 체험은--즉 불멸하는 혼과 내주하는 {k{k{조율사}k}k}의 융합은-- 행성의 진화 발전에 비례해서 빈도가 증가한다. 처음에는 각 시대에 오직 소수의 필사자만이, 전환될 수 있는 영적 진보 수준에 도달하지만, 이어지는 {k{k{교사}k}k} {k{k{아들}k}k}들의 시대가 시작되면서, 진보하는 이 필사자의 길어지는 생애가 마감되기 전에 점점 더 많은 {k{k{조율사}k}k} 융합이 일어나며;{k{k{교사}k}k} {k{k{아들}k}k}들이 마지막 사명으로 오는 시대가 되면, 이 뛰어난 필사자들 중에서 거의 4분의 1이 자연사에서 제외된다.
[25]| 빛과 생명의 시대 속에서 오래 지날수록, 중도 피조물 또는 그 동역자들은, 합동이 예상되는 상태에 혼과_{k{k{조율사}k}k}가 접근하고 있음을 느끼며, 이를 운명 수호자들에게 알려주는데, 그들은 다시, 이 필사자가 활동하고 있을 관할 지역의 완결성취자 집단에게 이 문제를 통보하며;그 다음에는 그런 필사자에게, 모든 행성 임무에서 물러나고, 그가 기원된 세계에 작별을 고하고, {k{k{행성}k}k} {k{k{주권자}k}k}의 내부 성전으로 가서, 진화하는 물질적 영역으로부터 영_이전{以前}에 진보하는 모론시아 수준으로 이동시키는 모론시아 전환, 즉 변환 섬광을 거기서 기다리라는, {k{k{행성}k}k} {k{k{주권자}k}k}의 소집명령이 떨어진다.
[26]| 그런 융합 후보자의 가족, 친구들, 및 일하는 집단이 모론시아 성전에 모이게 됐을 때, 그들은 융합 후보자들이 휴식을 취하고 있는 중앙 무대 주변에 흩어져 있고, 그동안에 모여든 친구들과 자유롭게 대화를 나눈다. “생명 섬광”이 번쩍이는 순간에 나타나는 에너지 작용으로부터 물질 필사자들을 보호하기 위해, 절연{絶緣}시키는 천상의 인격체들로 이뤄진 한 집단이 배치되는데, 이 섬광은 상승 후보자를 물질 육신의 족쇄로부터 벗어나게 하며, 그렇게 함으로써, 육신을 벗어나는 자에게 자연사가 미치는 것과 똑같은 영향을 그런 진화 필사자에게 미친다.
[27]| 많은 융합 후보자들이 넓은 성전에 동시에 모일 수 있다. 그리고 영적 감격 속에서 자신이 사랑하는 자들의 상승을 목격하기 위해서 필사자들이 그렇게 함께 모였을 때, 그 광경이 얼마나 아름다운지, 그리고 필사자들이 자신의 시신을 지상의 원소 세계로 내줘야만 했던 초기 시대와 얼마나 대조가 되는지! 인간의 진화에서 초기 시대의 특징인, 눈물로 얼룩지고 비탄에 젖은 광경들은, 장엄하게 타오르고 영광스럽게 솟아오르는 영적 불꽃으로 말미암아 그들과의 물질적 관계를 벗어날 때, {k{k{하나님}k}k}을_아는 이 필사자들이 사랑하는 자들에게 일시적 작별을 고할 때, 이제 무아지경의 기쁨과 가장 장엄한 감격으로 대치된다. 빛과 생명에 정착된 세계에서는, “장례식”이 최고의 기쁨, 심오한 만족감, 그리고 형용할 수 없는 소망이 넘치는 행사다.
[28]| 진보하는 이런 필사자의 혼은, 신앙, 소망, 및 확신으로 점점 더 채워진다. 전환시키는 성소 주변에 모인 그들에게 스며드는 활기는, 자기 집단에 속한 어느 한 사람을 위해서 졸업식 행사에 참여할 수 있는, 또는 자신의 구성원 가운데 하나에게 어떤 큰 상이 수여되는 것을 보기 위해서 모일 수 있는, 기쁨이 넘치는 친구 및 친척들의 활기와 흡사하다. 아직 많이 진보하지 못한 필사자들이, 바로 이렇게 명랑하고 쾌활한 태도로 자연사를 바라보는 것을 배울 수만 있다면, 확실히 유익할 것이다.
[29]| 융합하는 섬광이 있은 후에, 필사자 참관인들은 전환된 동료의 흔적조차 찾아볼 수 없다. {k{k{조율사}k}k}가 운반함으로써 처리된 그런 전환된 혼은, 적합한 모론시아_훈련 세계의 부활실로 직접 옮겨진다. 살아있는 인간이 모론시아 세계로 전환되는 것과 관련된 이 진행사항은, 빛과 생명에 처음 정착했던 그날에 그런 세계에 배정된 천사장의 감독을 받는다.
[30]| 한 세계가 빛과 생명의 넷째 단계를 달성할 때가 되면, 절반 이상의 필사자가, 살아있는 자들 가운데서 전환됨으로써 행성을 떠난다. 그런 죽음의 감소는 연이어 계속되지만, 나는 인간거주 세계들이 포함된 어떤 체계도, 심지어 생명 속에 오랫동안 정착됐더라도, 육신의 족쇄에서 탈출하는 방법으로서의 자연사에서 완전히 벗어난 것을 보지 못했다. 그리고 행성의 진화가 그런 높은 상태로 균일하게 도달하기까지, 지방우주의 모론시아_훈련 세계들은, 진화하는 모론시아 진보자들을 위한 교육 및 문화 구체로서 계속 이바지해야 한다. 죽음이 없어지는 것이 이론적으로는 가능하지만, 내가 관찰한 바로는 아직 발생되지 않았다. 아마 그런 상태는, 정착된 행성 생명의 일곱째 단계를 잇는 시대에, 까마득히 먼 훗날에 달성될지도 모르겠다.
[31]| 정착된 구체의 개화기{開花期}에 전환되는 혼들은 맨션 세계들을 거치지 않는다. 또한 그들은 체계 또는 성좌의 모론시아 세계들에서 학생으로 머물지도 않는다. 그들은 모론시아 생애의 어떤 초기 국면도 거치지 않는다. 그들은, 물질 실존으로부터 준영{準靈} 상태까지, 모론시아의 과도기를 거의 피하는 상승 필사자일 뿐이다. 상승하는 생애에서 {i{i{{k{k{아들}k}k}}i}i}{i{i{에게}i}i}{i{i{_}i}i}{i{i{점유된}i}i} 그런 필사자들의 초기 체험은, 우주 본부의 진보 세계에서 근무하는 것이다. 그리고 그들은, {k{k{살빙톤}k}k}의 이 학습 세계들로부터, 자신이 그냥 지나친 바로 그 세계들로 선생으로서 돌아가는데, 나중에는 확립된 필사자 상승 노선을 따라서 {k{k{낙원}k}k}을 향해 안쪽으로 나아간다.
[32]| 너희가 진보된 발달 단계에 있는 어떤 행성을 방문할 수 있다면, 맨션 세계 및 그보다 높은 모론시아 세계들에서, 상승하는 필사자들을 차별해서 받도록 마련한 이유를 빨리 파악할 것이다. 그런 고도로 진화된 세계로부터 와서 그냥 지나쳐가는 존재들은, {k{k{유란시아}k}k} 같은 혼란스럽고 뒤쳐진 세계로부터 도착하는 보통 필사자보다 훨씬 앞서서 {k{k{낙원}k}k} 상승을 다시 시작하도록 준비돼 있음을, 너희는 빨리 이해하게 될 것이다.
[33]| 인간이 행성에서 어떤 수준을 달성하고 모론시아 세계들로 상승했든지, 그들이 태어난 행성의 발전 상태 때문에 거치지 못했던 모든 것을 하나도 빠짐없이, 선생이자_학생으로서 체험적으로 취득할 수 있는 충분한 기회를, 일곱 맨션 세계가 그들에게 제공한다.
[34]| 우주는, 상승하는 체험에 필수적인 것을 어떤 상승자든지 하나도 뺏기지 않을 것을 보장하도록 고안된, 이 평준화 기법을 틀림없이 적용한다.
[35]| {b{b{3. }b}b}{b{b{{k{k{황금기}k}k}}b}b}
[36]| 이 빛과 생명의 시대에, 세계는 {k{k{행성}k}k} {k{k{주권자}k}k}의 아버지다운 통치 아래 점점 더 번영한다. 이때가 되면, 세상은 한 언어와 한 종교, 그리고 보통 구체의 경우에는 한 인종의 추진력 아래서 진보한다. 그러나 이 시대는 완전하지 않다. 이 세상에는 준비가 잘된 병원, 즉 환자를 돌보기 위한 건물들이 여전히 있다. 사고로 인한 부상을 돌보는 문제, 그리고 나이 들어 생기는 노쇠함과 고령의 부조화에 따르는 불가피한 질병 문제가 여전히 있다. 질병이 전부 사라지지는 않으며, 또한 육상 동물도 완전히 정복되지 않지만;그런 세상은, {k{k{행성}k}k} {k{k{왕자}k}k}_이전{以前} 시대에 원시인이 살던 초기 시절과 비교하면 {k{k{낙원}k}k} 같다. 너희가 이런 발달 단계에 있는 어떤 행성으로 갑자기 옮겨질 수 있다면--너희는 본능적으로 그 세계를 땅에 있는 천국으로 묘사할 것이다.
[37]| 물질적 직무를 수행하는 인간 정부는, 비교적 진보하고 완전해지는 이 시대 내내 계속 기능을 발휘한다. 내가 최근에 방문한 바 있는, 빛과 생명의 첫째 단계에 있는 어떤 세계의 공공 활동은, 십일조{十一租}라는 방법으로 재력을 마련한다. 모든 성인 노동자는--그리고 무엇이든지 일을 하는, 육신을 움직일 수 있는 모든 시민은-- 자신의 수입이나 이자소득에서 10퍼센트를 공공 기금에 납부했고, 다음과 같이 지출됐다:
[38]| 1. 3퍼센트는 진리를--곧 과학, 교육, 철학을-- 증진하는 데 사용됐다.
[39]| 2. 3퍼센트는 미{美}에--곧 연극, 사교적인 여가, 예술에-- 지불됐다.
[40]| 3. 3퍼센트는 선{善}에--곧 사회 봉사, 이타주의, 종교에-- 사용됐다.
[41]| 4. 1퍼센트는, 사고, 질병, 노년, 또는 예방할 수 없는 재난 때문에 노동할 수 없는 위기에 대비해서 확보하는 보험금에 배정됐다.
[42]| 이 행성의 천연 자원은, 사회의 소유물, 즉 공동체의 자산으로 경영됐다.
[43]| 이 세계에서는 시민{市民}에게 수여되는 최고의 영예가 “최상의 봉사”라는 종류였는데, 일찍이 모론시아 성전에서 유일하게 수여하는 표창장이다. 이 상은, 초물질적 발견 또는 행성의 어떤 국면의 사회 봉사에서 오랫동안 두각을 나타낸 자에게 수여됐다.
[44]| 대다수의 사회 및 경영 직책을 남녀가 공동으로 차지한다. 대부분의 가르침 역시 합동으로 행하며;마찬가지로, 모든 사법적 직무도 비슷한 연합된 쌍들이 이행했다.
[45]| 뛰어난 이 세계들에서는 자녀를 잉태하는 기간이 그렇게 길지 않다. 한 가족의 자녀들 사이에 나이 차이가 너무 나는 것은 좋지 않다. 나이가 비슷할 때, 자녀들은 서로 훈련시키는 데 훨씬 더 이바지할 수 있다. 그리고 이런 세계에서는, 진리, 아름다움, 및 선함의 통달을 다양하게 성취하는 진보된 범위와 분야에서 치열하게 싸우는 경쟁 체제로 인해 훌륭하게 훈련된다. 영화롭게 된 그런 구체들이 실제적이고 잠재적인 많은 악을 보이더라도 전혀 두려워하지 말라, 그것은 진리와 오류, 선과 악, 죄와 의{義} 사이를 선택하는 동기가 된다.
[46]| 그럼에도 그런 진보된 진화 행성에서 필사자 실존에게 따르는 어떤 불가피한 형벌이 있다. 정착된 세계가 빛과 생명의 셋째 단계를 넘어서 진보할 때, 모든 상승자는, 소구역에 도달하기 전에, 초기 단계의 진화를 거치고 있는 행성에서 어떤 종류의 일시적 임무를 부여받게 돼있다.
[47]| 이어지는 이 여러 시대는 각각, 행성이 달성하는 모든 국면에서 진보하는 업적을 나타낸다. 빛의 초기 시대에, 진리의 계시가 온갖 우주의 활동을 포함할 정도로 확장되며, 한편 둘째 시대에 {k{k{신격}k}k}에 관한 연구는, {k{k{칠중}k}k} {k{k{하나님}k}k}의 첫 수준, 즉 {k{k{창조주}k}k} {k{k{아들}k}k}들의 본성, 사명, 사역, 관계, 기원, 및 운명에 대한 다양한 개념을 통달하려는 시도다.
[48]| {k{k{유란시아}k}k} 크기의 행성은, 매우 잘 정착됐을 때, 약 100개의 보조경영 중심지를 갖게 될 것이다. 다음과 같은 자격을 갖춘 경영자 가운데 하나가 이 보조 중심지를 주관할 것이다:
[49]| 1. 통치하는 {k{k{아담}k}k}과 {k{k{이브}k}k}에게 보좌관으로서 행동하도록 체계 본부에서 데려온 젊은 {k{k{물질}k}k} {k{k{아들}k}k}과 {k{k{딸}k}k}.
[50]| 2. 이 책임 및 기타 비슷한 책임을 위해 어떤 세계들에서 출산된, {k{k{행성}k}k} {k{k{왕자}k}k}의 약간필사 참모진이 낳은 자손.
[51]| 3. {k{k{아담}k}k}과 {k{k{이브}k}k}의 직계 행성 자손.
[52]| 4. 물질화되고 인간화된 중도 피조물.
[53]| 5. {k{k{조율사}k}k}와_융합하는 신분의 필사자이고, 그들 자신이 간청해서, 우주의 지도자 역할을 하는 {k{k{인격화된}k}k} {k{k{조율사}k}k}의 명령에 따라, 그 행성에서 어떤 중요한 경영 지위를 계속 갖도록, 일시적으로 변환에서 제외된 자들.
[54]| 6. 행성의 여러 경영 학교에서 특별하게 훈련된 필사자이고, 모론시아 성전에서 최상의 봉사에 임하라는 명령을 추가로 받아온 자들.
[55]| 7. 올바르게 자격을 갖춘 세 명의 시민으로 구성된 어떤 선출된 위원회이고, 특별한 행성 구역에 있어야만 될 어떤 분명한 과제를 완수할 수 있는 특별한 역량에 따라서, {k{k{행성}k}k} {k{k{주권자}k}k}의 지시 아래, 시민이 이따금 선택하는 자들.
[56]| 빛과 생명의 높은 행성 운명을 달성하는 문제에서 {k{k{유란시아}k}k} 앞에 놓인 커다란 장애는, 질병, 퇴화, 전쟁, 다색 인종들, 그리고 복잡한 언어 등의 문제에 내포돼 있다.
[57]| 어떤 진화 세계든지, 그 세계가 하나의 언어, 하나의 종교, 그리고 하나의 철학을 성취하기 전에는, 정착되는 첫 단계를 넘어서 진보하기를 바랄 수 없다. 하나의 인종이 되는 것이 그런 성취를 크게 촉진시키겠지만, {k{k{유란시아}k}k}에 많은 민족이 있다고 해서 높은 단계에 도달하지 못하도록 미리 배제되지는 않는다.
[58]| {b{b{4. }b}b}{b{b{{k{k{경영의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{재조정}k}k}}b}b}
[59]| 이어지는 정착된 실존 단계들에서, 인간거주 세계들은 자원하는 {k{k{완결성취}k}k} {k{k{단체}k}k}의 현명하고 연민의 정으로 가득한 경영 아래서 놀라울 정도로 진보하는데, 이들은 {k{k{낙원}k}k}에 도달한 상승자이고, 육신 속에서 살아가는 형제들을 돌보기 위해서 돌아왔다. 이 완결성취자들은 {k{k{삼위일체}k}k} {k{k{교사}k}k} {k{k{아들}k}k}들과 협동하여 활동하지만, 모론시아 성전이 땅 위에 나타나기 전에는 실제로 세상 직무에 참여하기를 시작하지 않는다.
[60]| {k{k{완결성취}k}k} {k{k{단체}k}k}의 행성 사역이 정식으로 출범함에 따라, 천상의 무리가 철수한다. 그러나 운명의 스랍 수호자들은, 빛 가운데서 진보하는 필사자들에게 계속하여 몸소 사역하며;정착된 시절 내내, 정말로 그렇게 오는 천사들의 숫자가 계속_증가하는데, 이는 행성에서 누리는 생애 동안에, 점점 더 큰 무리의 인간이 동등한 필사자 달성의 셋째 시공우주 궤도에 도달하기 때문이다.
[61]| 이것은 이어지는 경영 조정들 중에서 첫째 조정에 불과한데, 인간거주 세계가 첫째 단계에서 일곱째까지 정착된 실존을 거치는 동안, 점점 더 찬란한 달성을 이루는 이어지는 시대들이 펼쳐지면서, 그런 경영 조정들이 뒤따른다.
[62]| 1. {i{i{빛과}i}i} {i{i{생명의}i}i} {i{i{첫째}i}i} {i{i{단계}i}i}. 정착된 초기 단계에 있는 세계를 다음과 같은 세 명의 통치자가 경영한다:
[63]| a. {k{k{행성}k}k} {k{k{주권자}k}k}, 그는 상담하는 {k{k{삼위일체}k}k} {k{k{교사}k}k} {k{k{아들}k}k}의 충고를 곧 받게 돼있고, 그 행성에서 활동하는 그런 {k{k{아들}k}k}들로 이뤄진 마지막 단체의 우두머리일 가능성이 가장 높다 .
[64]| b. 행성 완결성취자 단체의 우두머리.
[65]| c. {k{k{아담}k}k}과 {k{k{이브}k}k}, 이들은 {k{k{왕자}k}k}_{k{k{주권자}k}k} 및 완결성취자들의 우두머리로 이뤄진 이중 지도 체제를 통합하는 자로서, 함께 활약한다.
[66]| 고양되고 해방된 중도 피조물이 스랍 수호자와 완결성취자들을 위해 통역관으로서 활동한다. {k{k{삼위일체}k}k} {k{k{교사}k}k} {k{k{아들}k}k}들이 마지막 사명에서 행하는 마지막 조치 가운데 하나는, 그 영역의 중도자들을 해방시키고 행성에서 진보된 지위로 진급(또는 회복)시키는 것인데, 정착된 구체의 새로운 경영 체제에서 책임 있는 자리에 그들을 배치한다. 초기 {k{k{아담}k}k} 체제에 속한, 지금까지 눈에 보이지 않던 이 사촌들을, 필사자가 알아볼 수 있도록 만드는 그런 변화가, 인간 시력 범위 내에서 이미 조성됐다. 이것은 {k{k{총괄}k}k} {k{k{물리}k}k} {k{k{통제관}k}k}들의 행성 기능이 증대된 것과 관련하여, 자연 과학의 최종 발견으로 가능하게 된다.
[67]| {k{k{체계}k}k} {k{k{주권자}k}k}는, 정착된 첫째 단계 이후에, {k{k{생명}k}k} {k{k{운반자}k}k}와 물리 통제관들의 도움을 받아 모론시아에서 인간화 하도록 중도 피조물을 어느 때든지 풀어줄 권한이 있는데, 그들은 {k{k{사고}k}k} {k{k{조율사}k}k}를 받은 후에 {k{k{낙원}k}k}으로 상승하기 시작한다.
[68]| 셋째 및 그 이후 단계들에서, 주로 완결성취자들을 위한 접촉 인격체로서, 중도자들 가운데 일부가 여전히 활동하고 있지만, 빛과 생명의 각 단계에 들어감에 따라, 새로운 계층의 연락 사역자들이 중도자 대부분을 대체하며;그들 가운데 극소수는 빛의 넷째 단계가 지난 뒤에도 계속 남는다. 일곱째 단계는, 어떤 우주 피조물을 대신해서 근무하려고, {k{k{낙원}k}k}으로부터 첫째 유한절대 사역자들이 오는 것을 목격하게 될 것이다.
[69]| 2. {i{i{빛과}i}i} {i{i{생명의}i}i} {i{i{둘째}i}i} {i{i{단계}i}i}. {k{k{생명}k}k} {k{k{운반자}k}k}가 도착하는 것이, 이 시기가 세계들에 임했음을 알려주는데, 그 {k{k{생명}k}k} {k{k{운반자}k}k}는, 필사자 인종을 정화시키고 안정시키기 위해 더 수고한다는 점에서, 행성 통치자들에게 자발적 충고자가 된다. 그리하여 {k{k{생명}k}k} {k{k{운반자}k}k}들은 --육신적, 사회적, 및 경제적 면에서-- 인간 종족의 더 많은 진화에 능동적으로 참여한다. 그리고 나서 그들의 감독은, 지적 본성, 철학적 본성, 시공우주의 본성, 그리고 영적 본성의 잠재력이 열등한, 뒤처지고 지속하는 잔재들을 과감히 제거시킴으로써, 필사자의 혈통을 더욱 정화시키는 일로 확장한다. 인간거주 세계에서 생명을 계획하고 심는 자들은, {k{k{물질}k}k} {k{k{아들}k}k}과 {k{k{딸}k}k}들에게 충고할 자격이 충분하며, 모든 해로운 영향을 미치는 진화 인종을 멸절시킬 수 있는 완전하고도 무조건적인 권세를 갖고 있다.
[70]| 둘째 단계부터 계속해서, 정착된 한 행성의 경력 내내, {k{k{교사}k}k} {k{k{아들}k}k}들은 완결성취자들에게 조언자로서 근무한다. 그런 사명을 수행하는 동안에, 그들은 배정됐기 때문이 아니라 자원자로서 봉사하며;{k{k{체계}k}k} {k{k{주권자}k}k}의 동의로 {k{k{행성}k}k} {k{k{아담}k}k}과 {k{k{이브}k}k}에게 충고자 역할을 할 수 있는 경우 외에는, 오로지 완결성취자 단체와 함께 근무한다.
[71]| 3. {i{i{빛과}i}i} {i{i{생명의}i}i} {i{i{셋째}i}i} {i{i{단계}i}i}. 이 시기 동안에, 인간거주 세계는, {k{k{태고}k}k} {k{k{항존자}k}k}들을 새롭게 인식하게 되는, {k{k{칠중}k}k} {k{k{하나님}k}k}의 둘째 국면에 도달하며, 이 연방우주 통치자들의 대표자들은 행성의 경영 당국과 새로운 관계를 맺게 된다.
[72]| 정착된 실존의 이어지는 각 시대에, 완결성취자들은 계속_증가하는 수용력으로 활약한다. 완결성취자, {k{k{저녁}k}k} {k{k{별}k}k}(곧 최고천사들), 그리고 {k{k{삼위일체}k}k} {k{k{교사}k}k} {k{k{아들}k}k}들 사이에 긴밀한 실무 통신수단이 존재한다.
[73]| 이 시대 또는 뒤따르는 시대 동안, 4인조의 돌보는_영이 보조하는 {k{k{교사}k}k} {k{k{아들}k}k}이, 선출되는 필사자 최고 행정관에게 배속되는데, 이 행정관은 세상 직무에 대한 공동 경영자로서 {k{k{행성}k}k} {k{k{주권자}k}k}와 이때 연합한다. 이 필사 최고 행정관들은 행성 시간으로 25년 동안 근무하며, 바로 이런 새로운 진전 때문에, {k{k{행성}k}k} {k{k{아담}k}k}과 {k{k{이브}k}k}는 이어지는 시절에 오랜_세월 동안 배정됐던 세계로부터 확실히 풀려나기 쉽게 된다.
[74]| 4인조의 돌보는_영은, 구체의 스랍 우두머리, 연방우주 제2스랍 조언자, 전환 천사장, 그리고 체계 본부에 머무는 {k{k{배정된}k}k} {k{k{파수꾼}k}k}의 개인 대리인 역할을 하는 전{全}스라빔으로 구성된다. 그러나 이 충고자들은, 요청을 받지 않는 한, 결코 조언을 제시하지 않는다.
