[1]| 제109편{{{br}}} 조율사와 우주 피조물의 관계
[13]| 2. 셋째 심령 궤도가 이뤄지고, 또한 개인 스랍 수호자를 배정받은 한 인간 속에서, 안정된 영적 능력을 획득했다.
[14]| 3. 최상의 결정을 내렸던, {k{k{조율사}k}k}와 엄숙하고 진지한 약혼 관계에 돌입했던 상대자를 가졌다. 그 {k{k{조율사}k}k}는 실제로 융합할 때를 미리 내다보며, 그 합동을 사실로 일어난 사건으로 간주한다. 
[15]| 4. 필사자가 상승하는 진화하는 어떤 세계에서, 운명 예비 단체 가운데 하나에 소집된 한 상대자를 갖고 있다.
[16]| 5. 언젠가, 인간이 잠자는 동안에, 배정된 그 세계의 영적 경영과 관련된, 연락, 접선, 재등록, 또는 기타 인간의 범위를 벗어나는 활동 등의 업적을 이루기 위해서, 필사 정신 속에 감금된 상태로부터 잠시 분리된 적이 있다.
[17]| 6. 그 행성의 영적 질서에 필수적인 어떤 시공우주 업적을 실행할 역할이 맡겨진, 영 인격체의 육신적 보완체였던 어떤 인간의 체험에서, 위기의 때에 봉사했다.
[18]| 스스로_행동하는 {k{k{조율사}k}k}는, 배속된 필사 상대자의 안과 밖에서 이룬 많은 업적이 가리키듯이, 자신이 직접 내주하는 인간의 인격과 관련 없는 모든 면에서, 현저한 정도로 의지를 갖는 것처럼 보인다. 그런 {k{k{조율사}k}k}들은 그 영역의 수많은 활동에 참여하지만, 스스로 선택한 이 세상의 장막{帳幕}에서, 감지되지 않은 상태로 내주하는 존재로서 더 자주 작용한다.
[19]| 이와 같은 더 높고 더 많이 체험한 유형의 {k{k{조율사}k}k}는, 다른 영역에 있는 자들과 대화할 수 있음이 분명하다. 그러나 스스로_행동하는 {k{k{조율사}k}k}들은, 이렇게 서로 대화하는 한편, 오직 공동으로 일하는 수준에서, 자신이 머무는 영역의 {k{k{조율사}k}k} 사역에 필수적인 보관용{保管用} 자료를 보전할 목적으로 그렇게 하지만, 그들은 때때로 위기가 닥쳤을 때 행성 간 문제에서 활동한다고 알려져 있다.
[20]| 스스로_행동하는 최상 {k{k{조율사}k}k}는 인간의 육신을 마음대로 떠날 수 있다. 내주하는 자는 필사 생명의 유기적 또는 생물학적 부분이 아니며;그 위에 신성하게 얹혀있다. 원래 생명 계획에서는, 그들이 부족함이 없었지만, 물질로 실존하는 데 필수적이지는 않다. 그럼에도 일단 그들이 내주하게 된 후에는, 자신의 필사 장막을 잠깐이라도 떠나는 일이 거의 없다는 것을 기록해야만 할 것이다.
[21]| 초월 행동을 하는 {k{k{조율사}k}k}는, 자신에게 맡겨진 과제를 완수했고, 오직 물질적_생명 운반체가 분해되거나, 그 불멸의 혼이 옮겨지기만을 기다리는 자다.
[22]| {b{b{3. }b}b}{b{b{{k{k{조율사와}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{필사자}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{유형의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{관계}k}k}}b}b}
[23]| {k{k{신비}k}k} {k{k{관찰자}k}k}들이 하는 구체적인 작업의 특성은, 그들의 임무의 본질에 따라서 달라지는데, {i{i{연락하는}i}i} {k{k{조율사}k}k}인가 또는 {i{i{융합하는}i}i} {k{k{조율사}k}k}인가 아닌가에 달렸다. 어떤 {k{k{조율사}k}k}들은 다만 자신의 상대자에게 일시적 생애 동안만 대여되며;다른 {k{k{조율사}k}k}들은 자신의 상대자가 생존하는 경우에 영존하는 융합을 하도록 허락된, 인격 후보자로서 증여된다. 또한 그들의 활동에는, 다른 체계 및 우주들뿐 아니라 다른 행성 유형들 가운데서도 차이가 약간 있다. 그러나 대체로, 그들의 활동은 놀랄 만큼 한결같으며, 어떤 창조된 계층의 천상{天上} 존재들이 맡는 임무보다 더 한결같다. 
[24]| (제1 계열 집단의) 어떤 원시 세계에서, {k{k{조율사}k}k}는 체험 훈련으로서, 주로 자아_수양과 진보 발전을 위해 피조물 정신에 내주한다. 무체험 {k{k{조율사}k}k}는, 대개 원시인이 선택의 골짜기에 도달하는 초기 시대 동안 그런 세계에 보냄 받지만, 그때 비교적 적은 숫자만이, 더 높은 수준의 솟아나는 영성{靈性} 달성을 위하여 자아를_지배하고 성품을 획득하는 언덕을 넘어서, 도덕적 산봉우리까지 올라가기로 선택할 것이다. (어쨌든, {k{k{조율사}k}k}와 융합하지 못한 많은 사람이, {k{k{영}k}k}과_융합되어, 상승하는 존재로서 살아남는다.) {k{k{조율사}k}k}는 원시 정신과 일시적으로 연합하면서, 가치 있는 훈련을 받고 멋진 체험을 획득하며, 다른 세계의 더 높은 존재들을 위하여 이 체험을 나중에 활용할 수 있다. {i{i{생존할}i}i} {i{i{가치가}i}i} {i{i{있는}i}i} {i{i{것}i}i} {i{i{가운데}i}i} {i{i{어떤}i}i} {i{i{것도}i}i}{i{i{,}i}i} {i{i{온}i}i} {i{i{우주에서}i}i} {i{i{결코}i}i} {i{i{없어지지}i}i} {i{i{않는다}i}i}.
[25]| (제2 계열 집단의) 또 다른 유형의 세계에서는, {k{k{조율사}k}k}들이 필사 존재에게 단순히 대여된다. 여기서는 {k{k{관찰자}k}k}들이 그런 내주를 통해서 인격 융합을 획득할 수 없지만, 필사자의 생애 동안에, {k{k{유란시아}k}k} 필사자들에게 줄 수 있는 것보다 훨씬 더 많이, 자신의 인간 상대자에게 도움을 준다. {k{k{조율사}k}k}들은 여기서 더 높은 영적 달성을 위한 원형{原型}으로서, 생존하는 성품을 완성시키는 흥미로운 과제에 임시 협조자로서, 짧은 단 한 번의 생애 동안 필사 피조물에게 대여된다. 그 {k{k{조율사}k}k}들은 자연사{自然死} 후에도 돌아가지 않으며;생존하는 이 필사자들은, {k{k{영}k}k} 융합을 통해서 영원한 생명을 얻는다.
[26]| (제3 계열 집단의) {k{k{유란시아}k}k}같은 세계에서는, 신성한 선물과 실제로 약혼하는 관계, 즉 삶과 죽음을 정하는 계약이 있다. 너희가 생존하면, 영원한 합동, 즉 사람과 {k{k{조율사}k}k}가 하나의 존재로 되는 영구적 융합이 있게 된다.
[27]| 이 계열의 세계에서 삼분{三分}된_뇌를 가진 필사자의 경우에, {k{k{조율사}k}k}들은, 하나의_뇌 그리고 이분{二分}된_뇌 유형보다 현세의 생애 동안 훨씬 많은 실제 접촉을 상대자와 가질 수 있다. 그러나 죽음 이후의 생애에서는, 삼분된_뇌 유형도 하나의_뇌 유형이나 이분된_뇌 유형과--곧 {k{k{유란시아}k}k} 인종들과-- 똑같이 진행한다.
[28]| 이분된_뇌 세계들에서는, 증여되는 {k{k{낙원}k}k} {k{k{아들}k}k}이 머문 후에, 의심할 여지없이 생존할 수 있는 능력을 가진 사람에게 무체험 {k{k{조율사}k}k}가 배정되는 경우는 거의 없다. 우리가 믿기로, 그런 세계에서 생존 수용력을 가진 총명한 남녀에게 내주하는 모든 {k{k{조율사}k}k}는, 실제로 진보된 유형 또는 최상의 유형에 속한다. 
[29]| {k{k{유란시아}k}k}의 초기 진화 인종 가운데 많은 경우에 세 가지 집단의 존재들이 있었다. 그들 중에는, 너무 동물에 가까워서 {k{k{조율사}k}k}를 받을 능력이 전혀 없는 존재들이 있었다. 의심할 여지없이 {k{k{조율사}k}k}를 받을 수 있는 능력을 드러내고, 도덕적으로 책임질 나이가 되면, 즉시 {k{k{조율사}k}k}를 받는 자들도 있었다. 셋째 부류는 경계선에 있는 자들이었는데;그들은 {k{k{조율사}k}k}를 받을 수 있는 능력은 갖췄으나, 각자 몸소 청원해야만 {k{k{관찰자}k}k}들이 그 정신에 내주할 수 있었다.
[30]| 그러나 부적당하고 열등한 조상의 영향 때문에 상속권을 상실함으로 말미암아, 실질적으로 생존할 자격을 잃어버린 자의 경우에, 많은 무체험 {k{k{조율사}k}k}는, 진화 정신과 접촉하면서 값진 예비 체험을 가졌고, 그리하여 어떤 다른 세계에서 더 높은 유형의 정신에게 나중에 배정될 수 있는, 더 나은 자격을 갖췄다.
[31]| {b{b{4. }b}b}{b{b{{k{k{조율사와}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{인간}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{인격}k}k}}b}b}
[32]| 내주하는 {k{k{조율사}k}k}는, 인간들 사이에서 높은 형태의 지성적 상호_연락에 많은 도움을 준다. 동물도 동료의 느낌을 갖지만, 서로 개념을 전달하지는 않으며;감정을 표현할 수 있을 뿐, 관념이나 이상{理想}은 표현하지 못한다. 동물에서 기원된 사람도, {k{k{사고}k}k} {k{k{조율사}k}k}가 증여되기 전에는, 동료들과 높은 유형의 지적 교제나 영적 교류를 체험하지 못하지만, 그럼에도, 말하기를 개발할 때, 그런 진화 피조물은 {k{k{조율사}k}k}를 받아들이게 되는 순탄한 길을 밟고 있다. 
[33]| 동물은 서로 미숙한 방법으로 대화하지만, 그런 원시적 접촉에는 {i{i{인격}i}i}이 거의 또는 전혀 없다. {k{k{조율사}k}k}는 인격체가 아니며;인격이전 존재다. 그러나 그들은 인격의 근원에서 쏟아져 나오고, 그들이 현존함으로 인간 인격의 질적{質的} 표현이 증대되며;{k{k{조율사}k}k}가 이전의 체험을 지녔다면, 특히 이것이 참말이다.
[34]| {k{k{조율사}k}k}의 유형은, 인간 인격의 표현 잠재력과 크게 상관있다. 오랜 시절 동안, {k{k{유란시아}k}k}에서 많은 위대한 지적 및 영적 지도자가 영향을 끼칠 수 있었던 것은, 주로 그들에게 내주했던 {k{k{조율사}k}k}의 우수성과, 이전{以前} 체험 때문이었다. 
[35]| 내주하는 {k{k{조율사}k}k}들은, 고대의 원시인 자손을 인간화시키고 변모시키는 데 다른 영적 영향과 적지 않게 협동해 왔다. {k{k{유란시아}k}k}에 거주하는 자들의 정신에 내주하던 {k{k{조율사}k}k}가 모두 떠나게 된다면, 세상은 많은 부분이 다시 원시 시대 사람의 모습과 풍습으로 서서히 돌아갈 것이며;신성한 {k{k{관찰자}k}k}들은, 진보하는 문명의 진정한 잠재력 가운데 하나다. 
[36]| 나는 {k{k{유란시아}k}k}에서 어느 정신에 내주하는 {k{k{사고}k}k} {k{k{조율사}k}k}를 관찰한 적이 있는데, {k{k{우버사}k}k}의 기록에 의하면, 그는 {k{k{오르본톤}k}k}에서 전에 열다섯 명의 정신에 내주했었다. 우리는 이 {k{k{관찰자}k}k}가 다른 연방우주들에서도 비슷한 체험을 했는지는 알지 못한지만, 나는 그렇다고 추정한다. 이 {k{k{조율사}k}k}는 불가사의한 존재였으며, 현재 이 시대 동안에 {k{k{유란시아}k}k}에서 가장 유용하고 유력한 세력 가운데 하나다. 다른 이들이 생존하기를 거절함으로써 잃어버렸던 것을, 이 인간이 (그리고 너희 세계 전체가) 지금 쟁취한다. 체험된 {k{k{조율사}k}k}를 지금 갖고 있는 자라도, 생존할 자질이 그에게 갖춰지지 않았다면 이를 뺏기게 돼있으며, 한편 생존할 것으로 예상되는 자에게는, 게을러서 포기한 자가 가졌던, 앞서_체험한 {k{k{조율사}k}k}까지도 주어질 것이다.
[37]| 어떤 의미에서는 아마 {k{k{조율사}k}k}들이, 진리, 아름다움, 및 선함의 영역에서 행성의 상호간_교류를 어느 정도 촉진시키고 있는지 모른다. 그러나 그들이 동일한 행성에서 두 번 내주 체험이 주어지는 일은 거의 없으며;이 세상에 전에 왔던 {k{k{조율사}k}k}가 {k{k{유란시아}k}k}에서 지금 다시 일하는 경우는 없다. 내가 무엇을 말하는지 아는 것은, {k{k{우버사}k}k}의 기록보관소에 있는 그들의 번호와 기록을 우리가 갖고 있기 때문이다.
[38]| {b{b{5. }b}b}{b{b{{k{k{조율사의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{내주에}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{대한}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{물질적}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{장애}k}k}}b}b}
[39]| 스스로_행동하는 최상 {k{k{조율사}k}k}들은 종종, 해방됐으나 통제되는 창조적 상상력의 경로에서 인간의 정신이 자유롭게 흘러갈 때, 영적 중요성이 있는 요소들을 그 정신에게 제공할 수 있다. 그럴 때, 그리고 때로는 잠자고 있는 동안에, {k{k{조율사}k}k}가, 정신의 흐름을 붙잡아서 그 흐름을 멈추게 하고, 그 다음에 그 관념의 진행을 다른 데로 돌릴 수 있으며;이 모든 것은, 초월_의식이 있는 높은 심중{心中}에 깊은 영적 전환을 일으키기 위해서 행해진다. 이처럼 정신의 세력 및 에너지가, 현재와 장래의 영적 수준에서 접촉하는 어조{語調}에 더 온전하게 맞춰진다.
[40]| 정신에 빛을 비추는 것, 즉 네 안에 끊임없이 내주하는 잠재 인격체의 지혜, 진리, 선함, 및 아름다움을 네가 부분적으로나마 의식할 수 있도록, 네 안에서 계속 이야기하는 신성한 음성을 듣는 것이 때때로 가능하다. 
[41]| 그러나 불안정하고 빠르게 바뀌는 너희의 정신 태도 때문에, {k{k{조율사}k}k}들의 업무가 종종 방해받고 계획이 훼방된다. {k{k{조율사}k}k}들의 일은, 필사자 종족들의 타고난 본성으로 인해 간섭 받을 뿐만 아니라, 또한 이 사역은 너희 자신의 선입견, 고정된 관념, 그리고 오래_계속된 편견으로 인해서도 매우 많이 지연된다. 이런 장애물 때문에, 오직 {k{k{조율사}k}k}들의 미완성 작품만이 의식 속으로 여러 번 떠오르며, 개념상 혼란은 불가피하다. 따라서, 정신의 상황을 세밀히 살펴볼 때, 모든 체험과 생각 하나하나가 무엇이 될 뻔 했는지를 전혀 무시하면서, 바로 그것이 실제로 무엇이고 근본적으로 무엇인가를 기민하게 인식하는 것만이 가장 안전하다. 
[42]| 인생에서 중대한 문제는, 조상에게서 물려받는 삶의 성향을, {k{k{신비}k}k} {k{k{관찰자}k}k}의 신성한 현존이 시작한 영적 충동의 요구에 맞추는 일이다. 우주와 연방우주의 생애에서 두 주인을 섬길 수 있는 사람은 아무도 없지만, {k{k{유란시아}k}k}에서 네가 지금 사는 인생에서는, 누구나 할 수 없이 두 주인을 섬길 수밖에 없다. 인간은 계속해서 현세에 타협하는 기술에 반드시 숙달돼야 하고, 한편 오직 한 주인에게 영적으로 충성해야 하며;이것이 바로, 왜 그토록 많은 사람이 비틀거리고 실패하는지, 점점 더 피로하고 진화 갈등의 긴장감에 굴복하는지, 그 이유다.
[43]| 대뇌{大腦}의 재능이라는 유전적 유산과, 전기화학적으로 전면통제하는 유전적 유산, 이 두 가지는 효과적인 {k{k{조율사}k}k} 활동을 제한하도록 작용하지만, (정상적 정신에서는) 어떤 유전적 장애도, 종국의 영적 성취를 방해하지 못한다. 인격체가 획득하는 속도에 영향을 줄지는 몰라도, 유전은 상승하는 모험을 종국에 완성하는 것을 막지는 못한다. 네가 {k{k{조율사}k}k}와 협동한다면, 그 신성한 선물은 조만간에 불멸의 모론시아 혼을 발전시킬 것이며, 그 융합이 있은 후에, 그 새 피조물을 지방우주의 주권자인 {k{k{으뜸}k}k} {k{k{아들}k}k}에게, 그리고 결국은 {k{k{낙원}k}k}에 계신 {k{k{조율사}k}k}들의 {k{k{아버지}k}k}께 나타낼 것이다.
[44]| {b{b{6. }b}b}{b{b{{k{k{참된}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{가치의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{영속}k}k}}b}b}
[45]| {k{k{조율사}k}k}는 결코 실패하지 않으며;생존 가치가 있는 것은 하나도 잃어버리지 않으며;의미를_발견하거나 평가하는 인격체가 생존하든지 못하든지 상관없이, 의지를 지닌 모든 피조물 속의 중요한 모든 가치는 확실히 살아남는다. 그리고 그와 마찬가지로, 필사 피조물은 생존을 거부할 수 있으며;그래도 생애의 체험은 낭비되지 않으며;영원한 {k{k{조율사}k}k}는 그런 외견상 실패한 생애의 가치_있는 특색을 어떤 다른 세계로 가져가서, 생존 수용력이 있는 더 높은 유형의 어떤 필사 정신에게, 이 살아남은 의미와 가치를 증여한다. 가치_있는 체험은 결코 헛되이 일어나지 않으며;어떤 진정한 의미나 실제 가치도 결코 사라지지 않는다.
[46]| 융합 후보자들과 관련해서, {k{k{신비}k}k} {k{k{관찰자}k}k}가 동료 필사자에게 버림받고, 그 인간 동반자가 상승하는 생애를 추구하지 않겠다고 거절하면, 자연사로 인해 (또는 그 전에) 해방될 때, {k{k{조율사}k}k}는 생존하지 못하는 그 피조물의 정신 속에서 진화돼 온, 생존할 가치가 있는 모든 것을 가져간다. 이어지는 인간 상대자들이 생존하지 못해서, {k{k{조율사}k}k}가 융합 인격 달성에 반복적으로 실패하고, 이 {k{k{관찰자}k}k}가 나중에 인격화 된다면, 이 필사 정신들에게 내주했던, 그리고 그 정신을 통달하면서 획득한 모든 체험은, 그런 새롭게 {k{k{인격화된}k}k} {k{k{조율사}k}k}의 실제 소유물, 즉 장래의 모든 시대에 걸쳐서 활용하고 즐길 수 있는 자산이 될 것이다. 이 계층의 {k{k{인격화된}k}k} {k{k{조율사}k}k}는, 모든 예전 피조물 주인의 살아남은 특징을 전부 혼합해서 조립한 것이다.
[47]| 오랜 우주 체험을 가진 {k{k{조율사}k}k}는, 증여 사명을 수행중인 신성한 {k{k{아들}k}k}에게 내주하기 위해서 자원할 때, 이 봉사를 통해서 인격 달성이 결코 이뤄질 수 없음을 잘 안다. 그러나 영들의 {k{k{아버지}k}k}께서는, 이 지원자에게 종종 인격을 수여하며, 그들 부류의 지휘자로 세우신다. 이들은 {k{k{디비닝톤}k}k}에서 영화롭게 권위를 받은 인격체다. 그리고 그들의 독특한 본성은, 필사자에게 여러 번 내주한 체험을 모자이크식으로 인간성을 구현한 것이고, 또한 마지막으로 내주하는 체험을 하려고 증여되는 {k{k{낙원}k}k} {k{k{아들}k}k}의 인간적 신성{神性}을 가리키는 영 이력서다.
[48]| 너희 지방우주에서 {k{k{조율사}k}k}들의 활동은 {k{k{네바돈}k}k} {k{k{미가엘}k}k}의 {k{k{인격화된}k}k} {k{k{조율사}k}k}의 지휘를 받는데, 바로 그 {k{k{관찰자}k}k}는 {k{k{미가엘}k}k}이 {k{k{요셉}k}k}의 아들 {k{k{예수}k}k}의 육신 속에서 인간 생애를 살았을 때, 그를 한 걸음 한 걸음 안내했다. 이 비범한 {k{k{조율사}k}k}는 자신이 맡은 책임에 충실했고, 이 용맹스런 {k{k{관찰자}k}k}는 현명하게 인간 본성을 지휘했는데, {k{k{아버지}k}k}의 완전한 뜻을 찾아가는 선택을 할 때, 그 {k{k{낙원}k}k} {k{k{아들}k}k}의 필사 정신을 항상 안내했다. 이 {k{k{조율사}k}k}는, 이전에 {k{k{아브라함}k}k} 때 {k{k{마키벤타}k}k} {k{k{멜기세덱}k}k}과 함께 봉사했고, 이렇게 내주하기 전에, 그리고 이 두 증여 체험 사이에, 엄청난 공훈을 세우는 일에 종사했다.
[49]| 이 {k{k{조율사}k}k}는 {k{k{예수}k}k}의 인간 정신 속에서 참으로 승리했다--이것은 인생에서 거듭되는 상황 하나하나에서, “내 뜻이 아니라, 당신의 뜻대로 이뤄지이다”라고 말하면서, {k{k{아버지}k}k} 뜻에 전념하는 헌신을 계속 유지했던 그 정신이었다. 그런 확고한 헌신은, 인간 본성의 한계를 벗어나서, 신성을 달성하는 결말에 이르는 확실한 통행증에 해당한다.
[50]| 바로 이 {k{k{조율사}k}k}는, 자신의 강력한 인격의 불가사의한 본성 속에, {k{k{요셉}k}k}의 아들 {k{k{예수}k}k}의 세례받기 이전의 인간성을 지금 나타내는데, 그 인간성은, 전체 {k{k{유란시아인}k}k} 가운데서 가장 위대한 자가, 필사자 체험에서 얻을 수 있는 영적 가치가 완전히 소모되기까지 살았던, 그 평범한 인생의 비천한 환경으로부터 창조한, 영원하고 생생한 가치를 담은 영원하고 살아 있는 증명서다.
[51]| {k{k{조율사}k}k}에게 위임된 영원한 가치를 갖는 모든 것은 영원한 생존이 보장된다. 어떤 경우에는, 장차 내주할 필사 정신 속에 증여하려고 {k{k{관찰자}k}k}가 이 소유물을 보관하고 있으며;다른 어떤 경우에는, 인격화됨에 따라서, 살아남아 보존되는 이 실체들이 {k{k{총괄우주}k}k}의 {k{k{설계자}k}k}들을 섬길 때 장차 쓰려고 보관돼 있다.
[52]| {b{b{7. }b}b}{b{b{{k{k{인격화된}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{조율사의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{운명}k}k}}b}b}
[53]| {k{k{조율사}k}k}가_아닌 {k{k{아버지}k}k} 단편들이 인격화 될 수 있는지 없는지, 우리는 알지 못하지만, 너희는 인격이 {k{k{만유의}k}k} {k{k{아버지}k}k}의 주권적 자유의지로 증여된 것이라고 들었다. 우리가 아는 한, {k{k{아버지}k}k}의 단편 가운데 {k{k{조율사}k}k} 유형은, 오직 개인 존재에 대한 봉사_사역을 통해서 인격적 속성을 습득함으로써만 인격을 획득한다. 이 {k{k{인격화된}k}k} {k{k{조율사}k}k}들은 {k{k{디비닝톤}k}k}에서 지내고, 거기서 인격이전의 동역자들을 가르치고 지도한다.
[54]| {k{k{인격화된}k}k} {k{k{사고}k}k} {k{k{조율사}k}k}는, 광범한 온갖 우주에서, 속박 받지 않고, 배정되지 않고 통치하는, 안정시키고 보상하는 존재다. 그들은 {k{k{창조주}k}k}의 체험과 피조물의 체험을--곧 실존적인 것과 체험적인 것을-- 결합시킨다. 그들은 시간과 영원이 결합된 존재다. 그들은 우주 경영에서 인격이전 존재와 인격있는 존재를 연합시킨다.
[55]| {k{k{인격화된}k}k} {k{k{조율사}k}k}들은 {k{k{총괄우주}k}k} {k{k{설계자}k}k}들의 온전히_지혜롭고 강력한 행정관이다. 그들은 {k{k{만유의}k}k} {k{k{아버지}k}k}의 온전한 사역을--곧 인격있는, 인격이전의, 그리고 인격을 초월하는 사역을-- 친히 베푸는 대행자다. 그들은 {k{k{궁극자}k}k} {k{k{하나님}k}k}의 영토에 속하는 초월 유한절대 구체들의 모든 영역에 두루, 심지어 {k{k{절대자}k}k} {k{k{하나님}k}k}의 수준에 이르기까지, 비범한 것, 진기한 것, 및 예기치 않은 것을 몸소 베푸는 사역자다.
[56]| 그들은 알려진 모든 인격 관계를 자신의 존재 안에 받아들이는, 우주들에서 독자적인 존재이며;전{全}인격자다--인격 이전, 인격, 및 인격 이후의 존재다. 그들은 영원한 과거, 영원한 현재, 그리고 영원한 미래에서 한 것처럼, {k{k{만유의}k}k} {k{k{아버지}k}k}의 인격을 보살핀다. 
