[1]| 제147편{{{br}}} 막간의 예루살렘 방문
[13]| 그들은 {k{k{베다니}k}k}에서 {k{k{유월절}k}k}을 조용히 축하했다. 그리고 {k{k{예수}k}k}와 열두 사도 모두가 희생 제물 없이 {k{k{유월절}k}k} 축제를 지내기는 이번이 처음이었다. {k{k{요한}k}k}의 사도들은, {k{k{유월절}k}k} 음식을 먹을 때 {k{k{예수}k}k} 및 그의 사도들과 함께 있지 않았으며;{k{k{아브넬}k}k}과 함께, 그리고 {k{k{요한}k}k}의 전도를 초기에 믿었던 여러 신자들과 함께 그 축제일을 지켰다. 이것은 {k{k{예수}k}k}께서 {k{k{예루살렘}k}k}에서 사도들과 함께 보낸 두 번째 {k{k{유월절}k}k}이었다.
[14]| {k{k{예수}k}k}와 열두 사도가 {k{k{가버나움}k}k}으로 떠났을 때, {k{k{요한}k}k}의 사도들은 그들과 함께 돌아가지 않았다. 그들은 {k{k{아브넬}k}k}의 지도 아래 {k{k{예루살렘}k}k}과 그 근방의 지역에 남아서 조용히 천국을 확장시키는 일을 했으며, 한편 {k{k{예수}k}k}와 열두 사도는 일하기 위해 {k{k{갈릴리}k}k}로 돌아갔다. 70명의 복음 전도자를 임명해서 파견하기 직전까지는, 스물네 명이 다 함께 일하는 경우는 다시 이뤄지지 않았다. 그러나 두 집단은 협조적이었고, 의견이 달랐음에도 좋은 감정을 유지했다.
[15]| {b{b{3. }b}b}{b{b{{k{k{베데스다}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{연못에서}k}k}}b}b}
[16]| {k{k{예루살렘}k}k}에서 둘째 {k{k{안식일}k}k} 오후에, {k{k{주님}k}k}과 제자들이 성전 예배에 막 참석하려고 했을 때,{k{k{요한}k}k}이 {k{k{예수}k}k}께 말했다:“나와 함께 가주십시오. 내가 좀 보여드릴 것이 있습니다.” {k{k{요한}k}k}은 {k{k{예수}k}k}를 {k{k{예루살렘}k}k} 성문 밖으로 모시고 나가서, {k{k{베데스다}k}k}라고 부르는 연못으로 안내했다. 이 연못 주위에는 다섯 개의 행각{行閣}이 있었는데, 그 밑에는 큰 무리의 고통당하는 자들이 치유 받으려고 모여 있었다. 이곳은 온천{溫泉}이었고, 불그스레한 색의 물이, 연못 아래 있는 바위 동굴에 축적된 공기로 인해 불규칙적인 간격으로 끓어오르곤 했다. 많은 이가, 이런 주기적인 온수 소용돌이는 초자연적 영향에서 온다고 믿었으며, 그래서 물이 움직인 직후에 맨 먼저 물에 들어간 자는 어떤 병이든지 치유될 것이라는 믿음이 널리 퍼져 있었다.
[17]| 사도들은 {k{k{예수}k}k}께서 부과한 금지조치 하에서 조바심을 냈는데, 열두 사도 가운데 가장 어린 {k{k{요한}k}k}이 이 금지조치에 특히 더 침착하지 못했다. {k{k{요한}k}k}은, 모여 있는 환자들의 광경이 어쩌면 {k{k{주님}k}k}의 동정심을 유발해서 그를 감동시킬지도 모른다고 생각했고, 그래서 어쩌면 그가 치유의 기적을 행할지도 모르며, 그렇게 되면 {k{k{예루살렘}k}k} 전체가 경탄할 것이고, 곧 천국 복음을 믿도록 이끌 수 있으리라는 생각으로, {k{k{예수}k}k}를 그 연못으로 모시고 왔다. {k{k{요한}k}k}이 {k{k{예수}k}k}께 말했다:“{k{k{주님}k}k}, 이 모든 고생하는 자들을 보십시오. 우리가 그들을 위해 할 수 있는 일이 없습니까?” 그러자 {k{k{예수}k}k}께서 대답했다:“{k{k{요한}k}k}아, 어찌하여 내가 선택한 길에서 옆길로 가도록 나를 유혹하느냐? 어찌하여 너는 영원한 진리의 복음을 선포하는 대신, 이적을 행하고 병자 치유하기를 바라느냐? 얘야, 나는 네가 원하는 일은 하지 않겠지만, 병들어 괴로워하는 이 사람들을 모아 놓고, 사기를 북돋아 줄 수 있는 영원한 위안의 말을 해주겠다.”
[18]| 모인 자들에게 이야기하는 중에 {k{k{예수}k}k}께서 말씀했다:“여기 있는 너희 대부분은, 여러 해 잘못된 삶으로 인해 병들어 괴로워한다. 더러는 뜻밖의 사고로, 더러는 조상이 잘못한 결과로 고생하며, 한편 너희 가운데 더러는 현세에 실존하는 불완전한 조건이 방해함으로 인해 고전한다. 그러나 내 {k{k{아버지}k}k}께서는, 너희의 이 세상 입지를 개선하기 위해서, 그리고 특히 너희의 영원한 신분을 보장하기 위해서 일하고 계시며, 나도 일하려고 한다. 하늘에 계신 {k{k{아버지}k}k}께서 그렇게 뜻하신다는 것을 우리가 발견하지 않는 한, 우리 가운데 누구도 인생의 어려움을 거의 바꿀 수 없다. 결국, 우리는 모두 {k{k{영원자}k}k}의 뜻을 행하도록 은혜를 입고 있다. 너희의 육체적 고난이 모두 치유된다면 너희가 정말로 경탄하겠지만, 너희에게 훨씬 더 중요한 것은, 모든 영적 질병에서 깨끗하게 되고, 모든 도덕적 허약함에서 치유됨을 발견하는 것이다. 너희는 모두 {k{k{하나님}k}k}의 자녀이며;하늘에 계신 {k{k{아버지}k}k}의 아들이다. 시간의 속박이 너희를 괴롭히는 듯이 보이지만, 영원한 {k{k{하나님}k}k}께서 너희를 사랑하신다. 심판의 날이 임할 때 두려워 말라, 너희는 모두 응보뿐 아니라 풍성한 자비도 함께 발견할 것이다. 내가 진실로 진실로 너희에게 말하는데:천국 복음을 듣고 {k{k{하나님}k}k}의 아들신분에 대한 이 가르침을 믿는 자는 영원한 생명을 소유했으며;그런 신자는 이미 심판과 죽음으로부터 빛과 생명으로 건너가고 있다. 그리고 무덤 속에 있는 자들도 부활의 소식을 들을 때가 다가오고 있다.”
[19]| 그리고 듣고 있던 사람 가운데 다수가 천국 복음을 믿었다. 고난당하는 자들 가운데 더러는 너무나 큰 영감을 받고 영적으로 소생해서, 자신의 육신의 병까지도 고침을 받았다고 전파하며 다녔다.
[20]| 불안한 정신적 질환으로 인해 여러 해 우울하고 심하게 고통 받던 한 사람이, {k{k{예수}k}k}의 말씀을 듣고 기쁨에 넘쳤으며, {k{k{안식일}k}k}인데도 자기 자리를 들고 일어나서 집으로 갔다. 고통 받던 이 사람은, {i{i{누군가가}i}i} 자기를 도와주기를 그 모든 세월 동안 기다리고 있었으며;자신이 무기력하다는 느낌의 피해자였으므로, 스스로 해결해야 한다는 생각을 한 번도 해 본 적이 없었는데, 바로 그것이 회복을 위해 그가 행해야 했던 한 가지였음이--곧 자기 자리를 들고 일어나서 걸어가는 것이었음이-- 증명됐다.
[21]| 그리고 나서 {k{k{예수}k}k}께서 {k{k{요한}k}k}에게 말씀했다:“제사장과 서기관들이 우리에게 와서, 우리가 고난당하는 이 사람들에게 생명의 말을 했다고 꼬투리 잡기 전에, 여기를 떠나자.” 그래서 그들은 동무들과 합류하기 위해 성전으로 돌아왔고, 그들은 모두 {k{k{베다니}k}k}에서 밤을 지내기 위해 곧 떠났다. 그러나 {k{k{요한}k}k}은 자신과 {k{k{예수}k}k}가 이 {k{k{안식일}k}k} 오후에 {k{k{베데스다}k}k}의 연못에 갔었다는 사실을 다른 사도들에게는 결코 말하지 않았다.
[22]| {b{b{4. }b}b}{b{b{{k{k{삶의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{규율}k}k}}b}b}
[23]| 같은 날인 이 {k{k{안식일}k}k} 저녁에 {k{k{베다니}k}k}에서, {k{k{예수}k}k}와 열두 사도 그리고 신자 무리가 {k{k{나사로}k}k}의 정원에서 불 옆에 모여 있을 때, {k{k{나다니엘}k}k}이 {k{k{예수}k}k}께 질문했다:“{k{k{주님}k}k}, 남들이 우리에게 해주기 원하는 것처럼, 우리도 저들에게 행해야 한다고 가르치시고, 삶의 옛 규정들에 대한 긍정적인 해석을 가르쳐주셨음에도, 나는 우리가 그런 권면을 어떻게 항상 지킬 수 있는지 잘 모르겠습니다. 교제하려는 사람을 이처럼 죄 속에서 사악하게 바라보는 음탕한 사람의 경우를 예로 들어, 제 뜻을 설명하겠습니다. 이렇게 사악한 마음을 가진 사람에게, 남들이 자신에게 해주기 바라는 대로 저들에게 하라고, 우리가 어떻게 가르칠 수 있습니까?”
[24]| {k{k{예수}k}k}께서는 {k{k{나다니엘}k}k}의 질문을 듣고, 곧 자리에서 일어나, 서서 손으로 그 사도를 가리키면서 말씀했다:“{k{k{나다니엘}k}k}아, {k{k{나다니엘}k}k}아! 너는 마음에 무슨 생각을 하고 있느냐? 너는 영으로 난 자로서 내 교훈을 받지 않았느냐? 너는 지혜와 영적 이해를 가진 사람으로서 진리를 듣지 못하느냐? 다른 사람이 너희에게 해주기 원하는 것처럼 저들을 대하라고 너희에게 가르쳤을 때, 나는 높은 이상을 가진 사람들에게 말한 것이지, 내 가르침을 왜곡해서 악한 행위를 장려하는 면허증으로 삼도록, 유혹받는 자들에게 말한 것이 아니었다.”
[25]| {k{k{주님}k}k}께서 말을 마치자, {k{k{나다니엘}k}k}이 일어나서 말했다:“그러나 {k{k{주님}k}k}, 내가 당신의 가르침을 그렇게 해석한다고 생각하지 마십시오. 나는 단지 그런 많은 사람이 그런 식으로 당신의 훈계를 잘못 판단하지 않을까 추측하면서 이 질문을 했습니다. 이 문제에 관한 설명을 좀 더 우리에게 해 주시기 바랍니다.” 그리고 나서 {k{k{나다니엘}k}k}이 자리에 앉자, {k{k{예수}k}k}께서 말씀을 계속했다:“{k{k{나다니엘}k}k}아, 나는 네가 마음 속에서 그런 악한 관념에 동의하지 않는다는 것을 잘 알지만, 내 평범한 교훈에 대해 너희가 순전히 영적으로 해석하기에 그토록 자주 실패하는 것에 실망하는데, 그 교훈은 인간의 언어로, 그리고 틀림없이 사람들이 말하듯 너희에게 제시한 설명이었다. 이제 너희에게 ‘다른 사람들이 네게 해주기 원하는 것처럼, 저들을 대하라’는 이 훈계, 즉 이 삶의 규율에 대한 해석에 부가돼있는 여러 다른 수준의 의미에 관하여 가르쳐 주겠다:
[26]| “ 1. {i{i{육신}i}i} {i{i{수준}i}i}. 그런 순전히 이기적이고 음탕하게 해석한 예는, 네가 추측하면서 질문한 것이 잘 보여줄 것이다.
[27]| “ 2. {i{i{감정}i}i} {i{i{수준}i}i}. 이 경지는 육신의 수준보다는 한 단계 높으며, 동정심과 불쌍히 여김은, 이 삶의 규율을 사람이 높게 해석하리라는 것을 의미한다.
[28]| “ 3. {i{i{정신}i}i} {i{i{수준}i}i}. 이제 정신의 논리와 체험의 지성이 활동하게 된다. 훌륭한 판단은, 그런 삶의 규율을 고귀하고 심오한 자존감이라는 가장 높은 이상주의에 조화되도록 해석해야 한다고 명령한다.
[29]| “ 4. {i{i{형제다운}i}i} {i{i{사랑의}i}i} {i{i{수}i}i}준. 동료들의 안녕에 이타적으로 헌신하는, 좀 더 높은 경지의 수준이 발견된다. 더 높은 이 수준은, {k{k{하나님}k}k}이 아버지이심을 의식하고, 그 결과로 사람들이 형제관계임을 인식함으로써 생기는, 진심으로 사회에 봉사하는 수준에서, 이런 삶의 기본 규율에 대한 새롭고 훨씬 아름다운 해석이 발견된다.
[30]| “ 5. {i{i{도덕}i}i} {i{i{수준}i}i}. 그다음에 너희가 참된 철학적 수준에서 해석할 때, 사물의 {i{i{옳고}i}i} {i{i{그름}i}i}에 대한 진정한 통찰력을 갖게 될 때, 영원이 건전한 인간관계를 감지할 때, 마치 너희 삶의 상황에 적응하는 너희의 개인 문제에 적용하듯이 좀 더 고상한 정신으로, 이상적이고, 현명하게, 그리고 치우치지 않는 제 삼자가 그런 명령을 바라보고 해석할 것이라고 너희가 상상하는바 대로, 너희는 그런 해석의 문제를 비로소 바라볼 것이다.
[31]| “ 6. {i{i{영적}i}i} {i{i{수준}i}i}. 그다음에 마지막으로, 그러나 가장 중대한, 영 통찰력과 영적 해석의 수준에 도달하는데, 이는 {k{k{하나님}k}k}께서 모든 사람을 어떻게 대하시리라고 우리가 아는바 대로 저희를 대하라는 신성한 명령을, 이 삶의 규율에서 인식하도록 우리에게 재촉한다. 이것이 우주에서 인간관계의 이상{理想}이다. 그리고 {k{k{아버지}k}k} 뜻을 항상 행하기를 너희가 최상으로 바라게 될 때, 이것이 그런 모든 문제에 대해 너희가 가져야 할 태도다. 그러므로 비슷한 상황에서, 내가 모든 사람에게 하리라고 너희가 아는 그것을, 너희도 저들에게 행하기를 바란다.”
[32]| 이때처럼 {k{k{예수}k}k}께서 사도들을 놀라게 한 적은 이제까지 한 번도 없었다. 그들은 {k{k{예수}k}k}께서 물러간 후에도 한동안 {k{k{주님}k}k}의 말씀을 계속 검토했다. {k{k{나다니엘}k}k}은 자신이 한 질문의 성격을 {k{k{예수}k}k}께서 오해했을 것이라는 추측에서 헤어나기 힘들어했지만, 다른 사도들은, 깊이 사색할 수 있는 그런 질문을, 철학적인 동료 사도가 용감하게 던진 것에 대해 고맙게 생각했다.
[33]| {b{b{5. }b}b}{b{b{{k{k{바리새인}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{시몬을}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{방문함}k}k}}b}b}
[34]| {k{k{유대인}k}k} {k{k{산헤드린}k}k} 회원은 아니었더라도, {k{k{시몬}k}k}은 {k{k{예루살렘}k}k}에서 상당히 유력한 {k{k{바리새인}k}k}이었다. 그는 반신반의{半信半疑}하는 신도였으며, 심한 비난을 살 수 있음에도, {k{k{예수}k}k}와 그의 개인 동역자인, {k{k{베드로}k}k}, {k{k{야고보}k}k}, {k{k{요한}k}k}을 대담하게 자기 집으로 연회 자리에 초대했다. {k{k{시몬}k}k}은 오랫동안 {k{k{주님}k}k}을 지켜봤으며, 그의 교훈에 많이 감동됐고, 그의 인격에 더 감동됐다.
[35]| 부유한 {k{k{바리새인}k}k}은 자선 행위에 몰두했고, 자신의 자선 행위가 공공연히 알려지는 것을 피하지 않았다. 그들이 어떤 거지에게 자선을 베풀고자 할 때, 때로는 나팔을 불기까지 했다. {k{k{바리새인}k}k}이 저명한 손님들을 위한 만찬을 베풀 때, 심지어 거리의 거지들도 들어오도록 그 집의 문을 열어 놨고, 거지들은 식사하는 사람의 의자 뒤에서 방의 벽을 따라 둘러서서, 손님들이 던져 줄지도 모르는 음식 조각 받을 준비를 하며 기다리게 하는 것이 그들의 관례였다
[36]| 이 특별한 기회에 거리에서 {k{k{시몬}k}k}의 집으로 들어온 자들 중에는, 평판이 좋지 않은 여자가 하나 있었는데, 그 여자는 최근에 천국 복음의 기쁜 소식을 받아들여 신자가 됐다. 이 여자는 전에 이방인의 성전 뜰 가까이에서 노골적으로 장사하는 소위 고급 매음 장소를 갖고 있던 주인으로서, {k{k{예루살렘}k}k} 전역에 잘 알려져 있었다. 그 여자는 {k{k{예수}k}k}의 교훈을 받아들인 후에, 좋지 못한 사업을 그만뒀고, 자신과 관련된 대다수의 여자에게도 복음을 받아들이라고 권해서, 그들의 생활 방식을 바꾸도록 인도했으나;그럼에도 그 여자는 여전히 {k{k{바리새인}k}k}으로부터 경멸을 받았고, --매춘부 표시로-- 머리를 내리도록 강요받고 있었다. 이 이름 없는 여자가 향유{香油}를 담은 큰 병을 갖고 와서, 식탁에 앉은 {k{k{예수}k}k}의 뒤에 서서 울며, 감사의 눈물로 그 발을 적시면서 그의 발에 향유를 붓기 시작했고, 머리카락으로 닦았다. 그리고 그 여자는 이런 향유 바르기를 끝낸 후에도, 눈물을 계속 흘리면서 그의 발에 입을 맞췄다.
[37]| {k{k{시몬}k}k}이 이 모든 것을 보고 속으로 생각했다:“이 사람이 선지자라면, 자기를 만지는 이 여자가 누구이며, 악명 높은 죄인인 줄도 알았을 것이다.” {k{k{예수}k}k}께서는 {k{k{시몬}k}k}의 생각을 알아차리고, 그에게 말씀했다:“{k{k{시몬}k}k}아, 내가 네게 말하고 싶은 것이 있다.” “{k{k{선생}k}k}님, 말씀하십시오”라고 {k{k{시몬}k}k}이 대답했다. 그러자 {k{k{예수}k}k}께서 말씀했다:“어느 부자에게 빚진 자가 둘 있었는데, 하나는 오백 데나리온, 하나는 오십 데나리온의 빚을 졌다. 그런데 갚을 돈이 없으므로 둘 다 탕감해 줬다. {k{k{시몬}k}k}아, 너는 둘 중에 누가 저를 더 사랑했을 것이라고 생각하느냐?” {k{k{시몬}k}k}은 “제 생각에는 많이 탕감 받은 자일 것입니다”라고 대답했다. 그러자 {k{k{예수}k}k}께서, “네 판단이 옳다”고 말씀하고, 여자를 가리키면서 말씀을 계속했다:“{k{k{시몬}k}k}아, 이 여자를 잘 봐라. 내가 네 집에 초대된 손님으로 들어 왔을 때, 너는 내게 발 씻을 물도 주지 않았다. 감사를 표시하는 이 여자는 눈물로 내 발을 씻기고, 머리털로 닦았다. 너는 내게 영접하는 입맞춤을 하지 않았으나, 이 여자는 내가 들어올 때부터 내 발에 입 맞추기를 그치지 않았다. 너는 내 머리에 기름도 붓지 않았으나, 저 여자는 귀한 향유를 내 발에 부었다. 이 모든 것이 무엇을 말해 주느냐? 이것은 단지 그 여자의 많은 죄가 용서받았기 때문에, 그것이 그로 하여금 더 많이 사랑하게 했다. 그러나 용서받은 일이 적은 자는 적게 사랑하는 경우가 있다.” 그리고 그 여자를 돌아보고, 그의 손을 잡아 일으키면서 말씀했다:“너는 네 죄를 진정으로 회개했고, 네 죄는 용서함을 받았다. 지각없고 불친절한 네 동료들의 태도로 인해 낙망하지 말고, 하늘 나라의 기쁨과 자유를 누리면서 가거라.”
[38]| {k{k{시몬}k}k} 및 함께 식사를 하던 친구들은, 이 모든 말씀을 듣자 더 놀랐으며, “이 사람이 누구기에 감히 죄까지도 용서하는가?”라고 자기들끼리 수군거렸다. {k{k{예수}k}k}께서는 그들이 그렇게 중얼거리는 소리를 듣고, 여자를 보내면서 말씀했다:“여자여, 평안히 가라;네 신앙이 너를 구원했다.”
[39]| 친구들과 함께 떠나려고 일어나면서, {k{k{예수}k}k}께서 {k{k{시몬}k}k}을 돌아보며 말씀했다:“네 마음이 신앙과 의심 사이에서 얼마나 갈팡질팡하는지, 네가 얼마나 두려움으로 인해 괴롭고, 자존심 때문에 고통을 받는지, 그런 네 심정을 잘 알지만;나는 네가 빛으로 채워질 수 있도록 기도하고, 초대받지 않고 환영받지 못한 네 손님의 마음 속에 이미 찾아온 천국 복음이 엄청난 변화를 가져온 것처럼, 네 인생의 처소에서도 정신과 영이 강력한 변화를 체험하도록 너를 위해 기도하겠다. 그리고 내가 너희 모두에게 선언하겠는데, {k{k{아버지}k}k}께서는 들어오려는 신앙을 가진 모든 이에게 하늘 나라의 문을 열어놓으셨으며, 가장 천박한 혼 또는 지상에서 가장 악명 높기로 소문난 죄인이라도, 진심으로 들어오기를 구한다면, 어떤 사람이나 사람들 연합체도 그 문을 닫지 못할 것이다.” 그리고 {k{k{예수}k}k}께서는, {k{k{베드로}k}k}, {k{k{야고보}k}k}, {k{k{요한}k}k}과 함께 청한 주인에게 작별을 알리고, {k{k{겟세마네}k}k} 동산의 야영지에 머무는 나머지 사도들과 합류하려고 떠났다.
[40]| {k{k{예수}k}k}께서는 바로 그날 밤, {k{k{하나님}k}k}과 관련된 신분의 상대적 가치와, {k{k{낙원}k}k}으로 영원히 상승하는 진보에 관해, 오래_기억에_남을 긴 연설을 사도들에게 했다. {k{k{예수}k}k}께서 말씀했다:“얘들아, 자녀와 {k{k{아버지}k}k} 사이에 참되고 살아있는 관계가 실존한다면, 그 자녀는 {k{k{아버지}k}k}의 이상{理想}을 향해서 확실히 계속 진보할 것이다. 사실, 처음에는 자녀가 느리게 발전할지도 모르지만, 그럼에도 그 발전은 확실하다. 중요한 점은, 너희가 발전하는 속도가 아니라, 오히려 확실성이다. 너희가 실제로 성취하는 성과는, 너희의 나아가는 {i{i{방향}i}i}이 {k{k{하나님}k}k}을 향한다는 사실만큼 중요하지는 않다. 너희가 하루하루 어떤 사람이 되고 있는가 하는 것이, 오늘 너희가 어떤 사람인가 하는 것보다 무한히 더 중요하다.
