[1]| 제103편{{{br}}} 종교 체험의 실체
[14]| 종교가 처음에는 무언가에 대한 원시적 믿음이고, 가치 추구가 그다음에 뒤따라온다고 가정할 때, 합리주의는 오류를 범한다. 종교는 원래 가치기준의 추구이며, 그 다음에 해석하는 믿음 체계가 형성된다. 사람들은 믿음--곧 해석--보다 종교적 가치기준--곧 목표--에 대해서 동의하기가 훨씬 쉽다. 이것은 종교가 어떻게 해서 수백 가지 모순되는 신념--곧 신조--에 대한 믿음을 유지하는 혼란된 형상을 보여주면서, 동시에 가치와 목표에 대해서 동의할 수 있는지 설명한다. 또한 이것은, 특정한 개인이 자신의 종교 신념을 많이 포기하거나 바꿈에도, 자신의 종교 체험을 지속할 수 있는 이유를 설명한다. 종교는, 종교적 믿음에 혁신적 변화가 있음에도 존속한다. 신학은 종교를 산출하지 못하며;종교가 신학 사상을 산출한다.
[15]| 종교인이 거짓된 것을 너무 깊게 믿어왔다고 해서 종교가 무효화되지는 않는데, 이는 종교가 가치기준에 대한 인식 위에 기초하고, 개인의 종교 체험이라는 신앙으로 입증되기 때문이다. 게다가 종교는 체험과 종교적 사고에 기초하며;신학, 즉 종교에 관한 철학은, 그 체험을 해석하려는 정직한 시도다. 그런 해석적 믿음은 옳거나 옳지 않을 수 있으며, 그렇지 않으면 진리와 오류의 혼합일 수도 있다.
[16]| 영적 가치기준을 인식한다는 깨달음은, 관념 작용을 초월하는 체험이다. {k{k{하나님}k}k}을_의식{意識}하는 것이라고 명명하기로 우리가 결정했던 이 “감각”, “느낌”, “직관”, 또는 “체험”을 가리키기 위해서 채택될 수 있는 인간 언어가 전혀 없다. 사람 속에 거하는 {k{k{하나님}k}k}의 영은 인격있는 존재가 아니지만--곧 {k{k{조율사}k}k}는 인격이전{人格以前}이지만, 이 {k{k{관찰자}k}k}는 어떤 가치를 제시하는데, 가장 고상하고 무한한 의미에서 인격적인, 신성{神性}의 향기를 발산한다. {k{k{하나님}k}k}이 적어도 인격있는 존재가 아니시라면, 그분은 의식하실 수 없으며, 의식이 없다면 인간보다 열등한 존재일 것이다.
[17]| {b{b{2. }b}b}{b{b{{k{k{종교와}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{개인}k}k}}b}b}
[18]| 종교는 인간 정신 속에서 작용하며, 종교가 인간의 의식 속에 나타나기 전에 체험 속에서 인식돼 왔다. 어린아이는 {i{i{출생}i}i}을 체험하기 전에 약 아홉 달 동안 실존했다. 그러나 종교의 “출생”은 갑작스럽지 않으며;오히려 점진적인 출현이다. 그럼에도, 곧 “출생일”이 있게 된다. 너희는 “다시 태어나지 않으면”--즉 {k{k{영}k}k}으로 태어나지 않으면-- 하늘 나라에 들어가지 못한다. 대부분의 육체적 출생의 특징이, “격렬한 산고{産苦}”와 “출산”이라는 기타 비정상상황인 것과 마찬가지로, 허다한 영적 출생에 영의 고뇌가 많이 따르고, 심리적 동요의 흔적이 남는다. 그 밖의 영적 출생은, 영적 체험이 증진됨과 함께 최고의 가치를 인식하는 자연스럽고 정상적인 성장이지만, 의식해서 기울이는 노력과 분명한 개인적 결심 없이는 종교적 발전이 일어나지 않는다. 종교는 결코 소극적 체험, 즉 부정적 태도가 아니다. “종교의 탄생”이라고 부르는 것은, 소위 회심{回心} 체험이라는 것과 직접 관련되지는 않으며, 이런 감화는, 정신의 갈등, 감정의 억압, 및 기질의 동요가 일어난 결과로, 후기 생애에 발생하는 종교적 사건의 특징을 대개 나타낸다.
[19]| 그러나 사랑이 넘치는 하늘 {k{k{아버지}k}k}의 자녀임을 의식하면서 자라날 만큼, 부모의 양육을 잘 받은 사람은, 심리적 위기, 감정적 격변을 통해서만 {k{k{하나님}k}k}과의 동행을 그렇게 의식할 수 있는 동료 필사자들을, 탐탁지 않은 눈으로 봐서는 안 된다.
[20]| 계시된 종교의 씨가, 사람의 정신 속에 있는 진화의 토양에서 싹트며, 이 토양은 아주 일찍부터 사회 의식을 낳는 도덕적 본성이다. 어린이의 도덕적 본성을 처음 자극하는 것은, 남녀, 죄의식, 또는 개인의 자존심이 아니라, 오히려 공의, 공정성, 및 친절을 베풀려는 충동--곧 동료들에게 유익한 사역--과 관련된다. 그리고 그런 어린 시절의 도덕적 각성이 성숙될 때, 갈등, 격변, 또는 위기에 속박 받지 않는 종교 생활이 차츰 발달한다.
[21]| 인간은 누구나, 매우 일찍부터 사리{私利}를_꾀하는 자극과 이타적 자극 사이에 일어나는 어떤 갈등을 체험하며, 그런 도덕적 갈등을 해결하는 과제에서 초인적 도움을 구하는 결과로서, {k{k{하나님}k}k}을_의식하는 첫 체험을 얻을 수 있다.
[22]| 어린이의 심리 상태는, 태어나면서부터 부정적이 아니라 긍정적이다. 수많은 필사자가 부정적인 까닭은 그렇게 훈련받았기 때문이다. 아이가 긍정적이라고 할 때, 그의 도덕적 충동을 언급하는 것인데, 이런 정신의 힘이 솟아나는 것은, {k{k{사고}k}k} {k{k{조율사}k}k}가 도착했음을 나타낸다.
[23]| 잘못된 가르침이 없으면, 정상적인 어린이의 정신은, 부정적으로 죄와 죄책감으로부터 멀어지기보다는 오히려, 종교적 의식{意識}이 출현함에 따라서, 도덕적 정의와 사회 봉사를 향해 적극적으로 움직인다. 종교적 체험이 발달하는 과정에서, 갈등이 생길 수 있고 생기지 않을 수도 있지만, 인간 의지의 결정, 수고, 및 역할은 필연적으로 언제나 있다.
[24]| 도덕적 선택은 대개 다소간의 도덕적 갈등을 동반한다. 그리고 어린아이의 마음 속에서 맨 처음 생기는 바로 이런 갈등은, 자기중심적 충동과 이타주의적 자극 사이에 있다. {k{k{사고}k}k} {k{k{조율사}k}k}는, 자기중심의 동기를 갖는 인격의 가치기준을 무시하지는 않지만, 인간의 행복이라는 목표에 이르고 하늘 나라의 기쁨에 이르는 것으로서, 이타심의 충동을 조금 더 우대하도록 작용한다.
[25]| 한 도덕적 존재가, 이기적이 되려는 충동에 직면해서 이타적이 되기로 선택했을 때, 그것은 원시적 종교 체험이다. 어떤 동물도 그런 선택을 할 수 없으며;그런 결정은 인간다운 동시에 종교적이다. 그것은 {k{k{하나님}k}k}_의식이라는 사실을 포함하고, 사회에 봉사하려는 충동을 나타내며, 이 충동이 사람의 형제관계의 기초다. 어떤 정신이 자유의지 행위로 올바른 도덕적 판단을 내릴 때, 그런 결정은 종교적 체험이 된다.
[26]| 그러나 한 어린이가 도덕적 수용력을 얻고, 따라서 이타적 봉사를 선택할 수 있을 만큼 충분히 성장하기 전에, 그는 이미 튼튼하고 잘_통합된 자기중심의 본성을 개발했다. 그리고 바로 이런 사실에 입각한 상황이, “높은” 본성과 “낮은” 본성 사이에, 즉 “죄 속에 있는 옛 사람”과, 은혜로운 “새 본성” 사이에 갈등이 있다는 이론을 낳았다. 정상적인 어린이는 “주는 것이 받는 것보다 더 복되다”는 것을 삶에서 매우 일찍 배우기 시작한다.
[27]| 사람은, 자기를_섬기려는 충동을, 자아와--곧 그 자신과-- 동일시하는 경향이 있다. 이와 반대로, 이타적이 되려는 의지를, 자신의 바깥에 있는 어떤 영향력--곧 {k{k{하나님}k}k}--과 동일시하고 싶어 한다. 정말로 그런 판단은 옳은데, 이는 이타적인 그런 모든 욕구가, 내주하는 {k{k{사고}k}k} {k{k{조율사}k}k}의 인도함에서 실제로 기원되기 때문이며, 이 {k{k{조율사}k}k}는 {k{k{하나님}k}k}의 단편이기 때문이다. 인간은, 그런 영 {k{k{관찰자}k}k}의 자극을, 이타적이 되려는, 즉 동료_피조물에게 신경 쓰려는 충동으로서, 의식 속에서 인식한다. 적어도 이것이 어린이의 정신이 일찍부터 겪는 근본적인 체험이다. 자라는 어린이가 인격 통합을 이루지 못할 때, 이타적 충동은 자신의 복지에 심각한 상처를 입힐 만큼 과도하게 자랄 수도 있다. 잘못 인도된 양심은, 많은 갈등, 염려, 슬픔, 및 끝없는 인간적 불행을 초래할 수 있다.
[28]| {b{b{3. }b}b}{b{b{{k{k{종교와}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{인류}k}k}}b}b}
[29]| 영, 꿈, 및 다양한 기타 미신에 대한 믿음은 모두, 원시 종교들의 진화적 기원에 어떤 역할을 했지만, 너희는 씨족 또는 부족의 단결하는 기풍의 영향을 간과해서는 안 된다. 초기 인간 정신의 도덕적 본성에서 생기는, 이기적_이타적 갈등에 도전한 엄밀한 사회 상황이, 집단 관계에서 제시됐다. 원시적 {k{k{오스트레일리아인}k}k}은 영들을 믿음에도, 여전히 자기 종교의 초점을 씨족에 둔다. 시간이 지나면, 그런 종교 개념은 처음에는 동물로, 나중에는 초인간이나 {k{k{하나님}k}k}으로 인격화되는 경향이 있다. 토템 믿음조차 갖지 못하는, {k{k{아프리카}k}k}의 {k{k{부시먼}k}k} 같은 열등한 인종도, 자기_이익과 집단_이익의 차이를 인식하며, 세속의 것과 신성시되는 것의 가치를 원시적으로 구별한다. 그러나 사회 집단은 종교 체험의 근원이 아니다. 인간의 초기 종교에 이 모든 원시적 공헌이 어떤 영향을 미치든지 상관없이, 참된 종교적 충동은, 이타적이 되려는 의지를 촉진하는 진짜 영 현존에서 기원되는 것이 여전히 사실이다.
[30]| 자연의 경이로움과 신비, 즉 비인격적 {k{k{마나}k}k}에 대한 원시적 믿음은, 후일에 종교가 나타날 것을 예시한다. 그러나 진화하는 종교는 머지않아, 개인이 사회 집단의 유익을 위해서 어느 정도 몸소 희생해야 한다고, 즉 다른 사람들을 더 행복하고 더 낫게 만들기 위해서 무언가 해야 한다고 요구할 것이다. 궁극적으로, 종교는 {k{k{하나님}k}k}에 대한 예배와 사람에 대한 봉사가 되게 마련이다.
[31]| 종교는 사람의 환경을 변경시키도록 설계돼 있지만, 오늘날 필사자들 가운데서 발견되는 종교에서 대부분은 이렇게 행할 힘을 잃어버렸다. 환경이 너무나 자주 종교를 지배해 왔다.
[32]| 어느 시대의 종교에서든지, 지극히 중요한 체험은, 신학적 교의 또는 철학적 이론에 관한 사고{思考}가 아니라, 도덕적 가치와 사회적 의미에 관한 느낌이라는 것을 기억하기 바란다. 도덕 개념이 마술의 요소를 대체함에 따라서 종교는 순조롭게 진화한다.
[33]| 사람은, {k{k{마나}k}k}, 마술, 자연 숭배, 영에 대한 두려움, 및 동물숭배 등의 미신을 거쳐서, 다양한 예식절차로 진화했는데, 그런 예식으로 인해, 개인의 종교적 태도는 씨족의 집단 반응이 됐다. 그다음에 이 예식은 부족 믿음으로 집중되고 형태화 됐으며, 결국 이 두려움과 신앙이 신{神}들로 인격화됐다. 그러나 이 모든 종교적 진화에서 도덕적 요소가 통째로 빠진 적은 없었다. 사람 안에서 {k{k{하나님}k}k}의 자극은 항상 효력 있었다. 그리고 --하나는 인간적이고 다른 하나는 신성한-- 이런 강력한 영향력은, 천 가지의 파괴적 성향과 냉담한 적개심으로 인해 사멸될 위기에 자주 처했음에도, 세월의 변천에서 종교가 살아남도록 보장했다.
[34]| {b{b{4. }b}b}{b{b{{k{k{영적}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{친교}k}k}}b}b}
[35]| 사회의 행사와 종교적 모임의 특징적 차이점은, 세속의 모임과는 반대로, 종교적 모임이 {i{i{교류}i}i} 분위기로 충만되는 것이다. 인간 연합체는 이런 방법으로 신성한 존재들과 교제하는 느낌을 창출하며, 이것이 집단 숭배의 시발점이다. 공동 식사에 참여하는 것이 가장 초기 유형의 사회 교류였으며, 그래서 초기 종교들은, 예식절차로 바친 제물의 일부분을 숭배자들이 반드시 먹도록 규정했다. {k{k{그리스도교}k}k}에서도 {k{k{주}k}k}{{k{k{主}k}k}}{k{k{의}k}k} {k{k{만찬}k}k}이 이런 교류 방식을 유지한다. 교류하는 분위기는, 사리를_꾀하는 자아와, 내주하는 영{靈} {k{k{관찰자}k}k}의 이타적 충동의 싸움에서, 신선한 느낌을 주고 위로하는 휴전 기간을 마련해 준다. 이것이 참된 경배에 이르는 전주곡이다--즉 {k{k{하나님}k}k}의 임재{臨在}를 실습하는 것이요, 결국 사람의 형제관계가 출현되게 만든다.
[36]| {k{k{하나님}k}k}과의 교류가 단절됐다고 느낄 때, 원시인은 속죄{贖罪}하기 위한, 즉 친한 관계를 회복시키기 위한 노력으로, 어떤 종류의 제물을 바치는 방법에 의존했다. 정의에 대한 배고픔과 목마름이, 진리를 발견하도록 인도했으며, 진리가 이상{理想}을 증대시켰고, 이것이 종교인 개인에게 새로운 문제를 안겨줬는데, 이는 우리의 이상이 기하급수로 성장하는 경향이 있는 반면, 그 이상에 맞춰 생활하는 우리의 역량은 오직 산술급수로 증대되기 때문이다.
[37]| (죄를 인식함이 아니라) 죄의식은, 영적 교류가 단절되거나, 사람이 도덕적 이상{理想}을 낮추는 데서 생긴다. 사람의 가장 높은 도덕적 이상이 반드시 {k{k{하나님}k}k} 뜻과 일치할 필요는 없다는 것을 깨달아야, 그런 곤경에서 벗어날 수 있다. 사람은 자신의 가장 높은 이상에 부끄럽지 않게 살기를 바랄 수 없지만, {k{k{하나님}k}k}을 발견하고 점점 더 그를 닮아가는 목적에 충실할 수 있다.
[38]| {k{k{예수}k}k}께서는 제물과 속죄의 모든 예식절차를 제거했다. 그는 사람이 {k{k{하나님}k}k}의 자녀라고 선언함으로써 즉:피조물_{k{k{창조주}k}k} 관계를 자녀_부모 기초 위에 놓음으로써, 이런 모든 허구적 죄의식의 근본과 우주에서의 고독감을 파괴했다. {k{k{하나님}k}k}은 필사 아들과 딸들에게 사랑하는 {k{k{아버지}k}k}가 되신다. 그런 친밀한 가족 관계에 맞지 않는 모든 예식절차는 영원히 폐기됐다.
[39]| {k{k{아버지}k}k} {k{k{하나님}k}k}께서는, 자녀의 실제 덕행이나 자격에 따라서가 아니라, 그 동기{動機}--곧 피조물의 목적과 의지--에 대한 보답으로, 사람을 자녀로 취급하신다. 그 관계는 부모_자녀 관계이며, 신성한 사랑으로 작동된다.
[40]| {b{b{5. }b}b}{b{b{{k{k{이상의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{기원}k}k}}b}b}
[41]| 주로 감정적 두려움에서 유래되는, 사회적 의무와 도덕적 책임을 져야 한다는 느낌을, 초기의 진화적 정신이 발생시킨다. 사회에 봉사하려는 더 적극적인 충동과 이타주의라는 관념론은, 인간 정신에 내주하는 신성한 영의 직접 충동에서 파생된다.
[42]| 다른 사람에게 선을 행한다는 관념_이상{理想}--곧 이웃의 유익을 위해서 자신이 무언가 희생하려는 충동--은 처음에는 매우 제한적이다. 원시인은, 자신에게 매우 가까운 자들, 즉 자신에게 친절한 자들만 이웃으로 간주하며;종교 문명이 발전함에 따라서, 사람의 이웃 개념은, 씨족, 부족, 국가를 포함하는 개념으로 확장된다. 그리고 마침내 {k{k{예수}k}k}께서는, 온 인류, 심지어 우리가 원수도 사랑해야 하는 정도까지, 이웃에 대한 관점을 확대시켰다. 그리고 모든 정상 인간에게는, 이 가르침이 도덕적이라고--즉 옳다고-- 말해주는 어떤 존재가 들어있다. 이런 이상을 거의 실천하지 않는 사람조차, 이것이 이론적으로는 옳다고 시인한다.
[43]| 모든 사람은, 이기심을 버리고 이타적이 되려는, 이 보편적 인간 충동이 도덕적이라는 것을 인식한다. 인본주의자는, 이런 충동의 근원이 물질 정신의 자연스런 작용이라고 설명하지만;종교인은, 필사 정신의 정말로 이타적인 충동은, {k{k{사고}k}k} {k{k{조율사}k}k}가 내부에서 영적으로 인도하는 것에 반응하는 것이라고, 더 명확하게 인식한다.
[44]| 그러나 자아_의지와 자아_이외의_의지 사이의 이런 초기 갈등에 대한 사람의 해석은, 반드시 신뢰할 만하지는 않다. 정말로 잘 통합된 인격만이, 자아의 열망과 싹트는 사회 의식이 여러 형태로 논쟁하는 것을 중재할 수 있다. 자아는 이웃과 마찬가지로 권리를 갖고 있다. 어느 쪽도, 개인의 친절과 봉사를 독점적으로 요구할 수 없다. 이런 문제를 해결하지 못함으로써, 인간의 가장 초기 유형의 죄책감이 기원됐다.
[45]| 인간의 행복은, 오로지 자아의 자기 욕구와, 더 높은 자아(신성한 영)의 이타적 충동이, 통합하고 감독하는 인격의 단일화된 의지로 조정되고 절충될 때에만 성취된다. 진화하는 사람의 정신은, 감정적 충동의 자연스런 증가와, 영적 통찰력--곧 진실된 종교적 숙고--에 입각한 이타적 충동의 도덕적 성장, 이 둘 사이의 싸움을 중재하는 복잡한 문제에 늘 부딪친다.
[46]| 자아를 위해서 그리고 수많은 다른 자아를 위해서 균등한 유익을 보장하려는 시도는, 시_공간 틀 속에서는 항상 만족스럽게 해결할 수 없는 어떤 문제를 제기한다. 영원히 산다면 그런 적대감이 해결될 수 있지만, 한 번의 짧은 인간 생애에서는 해결책을 찾을 수 없다. {k{k{예수}k}k}께서는 그런 모순을 언급하면서 말씀했다:“자기 목숨을 구하려는 자는 누구든지 잃게 되지만, 천국을 위해 자기 목숨을 버리는 자는 누구든지 얻을 것이다.”
[47]| 이상{理想}을 추구하는 것--곧 {k{k{하나님}k}k}처럼 되고자 애쓰는 것--은 죽기 전과 후에 계속되는 노력이다. 죽은 후의 삶은 본질적인 면에서 필사자 실존 상태와 전혀 차이가 없다. 이 세상의 삶에서 행하는 선한 모든 것은, 미래의 삶을 증진시키는 데 직접 기여한다. 사람에게 부여된 고귀한 성품의 모든 덕행을, 자연사의 관문을 통과한 결과로 소유하게 될 것이라는 헛된 희망을 불어넣음으로써, 도덕적 나태함과 영적 게으름을 조장하는 것은, 참 종교가 아니다. 참 종교는 필사자가 수명이 다하기까지 앞으로 나아가려는 사람의 수고를 경시하지 않는다. 필사자가 획득한 것은 모두, 첫 단계에 생존하는 불멸 체험을 강화하는 데 직접 기여한다.
[48]| 사람의 모든 이타적 충동은 단지 자연스런 군집 본능이 발달한 것에 불과하다고 가르칠 때, 그의 이상주의에 치명적이다. 그러나 자기 혼의 이런 수준 높은 충동이, 자신의 필사 정신에 내주하는 영적 세력에서 나옴을 알게 될 때, 사람은 고상하게 되고 크게 에너지를 얻는다.
[49]| 사람은 영원하고 신성한 어떤 존재가 자기 속에 살면서 애쓰고 있음을 일단 완전히 자각하면, 그것이 그를 향상시키고 초월하게 한다. 그래서 우리의 이상{理想}이 초인적으로 기원됐다는 생생한 신앙이, 우리가 {k{k{하나님}k}k}의 아들이라는 우리 믿음이 옳다는 것을 확인시키고, 우리의 이타적 신념, 즉 사람이 형제관계라는 느낌을 실제화 시킨다.
[50]| 사람은 자신의 영적인 영역에서 자유 의지가 있다. 필사적 사람은, 전능하신 {k{k{하나님}k}k}의 완고한 주권 아래 아무 힘없는 노예가 아니며, 기계적인 시공우주 결정론에서 절망적인 운명에 희생되는 자도 아니다. 사람은 정말로 확실하게 자신의 영원한 운명을 이뤄가는 건축가다.
[51]| 그러나 사람은 강압으로 구원되거나 고귀하게 되지 않는다. 영의 성장은 진화하는 혼 속에서 솟아난다. 강압은 인간성을 비뚤어지게 만들 수는 있지만, 결코 성장을 도모하지 않는다. 심지어 교육적 강압도 겨우 부정적 유익을 줄 수 있을 뿐인데, 그렇게 함으로써 비참한 체험을 예방하는 데 도움을 줄 수는 있을 것이다. 영적 성장은 모든 외부적 강압이 최소화 될 때 극대화된다. “{k{k{주}k}k}{主}의 영이 있는 곳에 해방이 있다.” 사람은, 가정, 공동체, 교회, 및 국가의 강압이 최소화 될 때 최고로 발달한다. 그러나 이것은, 진취적 사회집단에서, 가정, 사회 기관, 교회, 및 국가가 나설 자리가 없음을 뜻하지는 않는다.
[52]| 사회의 종교 집단에서 한 구성원이 그런 집단의 요구에 순응해 왔을 때, 종교적 신념이 진실인가, 그리고 종교 체험이 사실인가에 관해서, 그는 자신의 개인적 해석을 완전히 표현하는 종교적 자유를 누리도록 장려돼야 한다. 한 종교 집단의 안전은, 신학적으로 동일한가가 아니라, 영적으로 통일됐는가에 달려있다. 종교 집단은, “자유 사상가”가 되지 않고도 자유롭게 생각하는 자유를 누릴 수 있어야 한다. 어떤 교회든지, 살아 계신 {k{k{하나님}k}k}께 경배 드리고, 사람이 형제관계인 것이 옳다고 인정하고, 신조{信條}로 인한 어떤 압력도 구성원에게 주지 않을 때 큰 희망이 있다.
[53]| {b{b{6. }b}b}{b{b{{k{k{철학적}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{조화}k}k}}b}b}
[54]| 신학은 인간의 영의 작용과 반응에 대한 연구이며;신학의 개별 표현에는 심리학과, 신학의 체계적 묘사에는 철학과, 반드시 어느 정도 결합돼야 하기 때문에, 신학은 결코 학문이 될 수 없다. 신학은 항상 {i{i{너의}i}i} 종교에 대한 연구이며;다른 사람의 종교에 대한 연구는 심리학이다.
[55]| 사람이 자신의 우주를 {i{i{외부}i}i}로부터 연구하고 조사하는 일에 접근할 때, 다양한 자연 과학을 만들어내며;자신과 우주에 대한 연구를 {i{i{내부}i}i}에서 접근할 때, 신학과 형이상학을 기원시킨다. 사물과 존재들로 이뤄진 우주에 접근하는, 이런 두 가지 정 반대되는 방법에서 얻은 조사 결과와 교훈 사이에, 처음에 나타나도록 정해진 많은 차이점을 조화시키려는 노력으로, 후일에 철학이라는 기술이 발달한다.
[56]| 종교는 영적 관점, 즉 인간 체험의 {i{i{내면성}i}i}에 대한 자각을 다뤄야 한다. 사람의 영적 본성은, 우주를 밖에서 안으로 뒤집어볼 수 있는 기회를 사람에게 제공한다. 그러므로 순전히 인격이 체험하는 내면성의 견지에서 볼 때에는, 모든 창조가 본질에서 영적인 듯 보인다는 것이 참말이다.
[57]| 사람이 자신의 육체적 감각으로 이뤄진 물질 재능 및 관련된 정신의 인식을 통해서 우주를 분석적으로 조사할 때, 시공우주는 기계적이고 에너지_물질인 것처럼 보인다. 실체를 연구하는 그런 기법은, 우주를 안에서 밖으로 뒤집어보는 것이다.
[58]| 우주에 대한 논리적이고 모순 없는 철학적 개념은, 유물론 또는 심령술{心靈術}의 가정{假定} 위에 세워질 수 없는데, 이 두 가지 사고{思考} 체계는, 보편적으로 적용될 때, 왜곡된 상태로 시공우주를 볼 수밖에 없기 때문이며, 전자{前者}는 안에서 밖으로 뒤집힌 우주와 접촉하고, 후자는 밖에서 안으로 뒤집힌 우주의 본질을 인식한다. 그래서, 과학이든지 종교든지, 독립된 상태에서 그 자체로는 그리고 그 스스로는, 인간 철학과 신성한 계시의 조명의 인도함 없이 보편적 진리 및 관계를 결코 합당하게 깨닫기를 바랄 수 없다.
[59]| 사람 속에 있는 영은, 자체를 표현하고 자아_실현을 위해서 항상 정신의 심리과정과 기법에 의존할 수밖에 없다. 마찬가지로, 물질적 실체에 대한 사람의 외부 체험은, 체험하는 그 인격체의 정신 의식{意識}에 입각한다. 따라서 영적인 것과 물질적인 것, 즉 인간의 내적 체험과 외적 체험은, 반드시 정신의 기능과 상호 관련되며, 그들이 의식으로 깨닫는 것에 따라서, 정신의 활동에 제약을 받는다. 사람은 정신 속에서 물질을 체험하며;혼{魂} 속에서 영적 실체를 체험하지만, 이 체험을 정신 속에서 의식하게 된다. 지능은 필사자가 겪는 체험 전체를 조화시키고, 항상 조절하고 제한하는 도구다. 에너지_물체와 영 가치기준, 양쪽 모두, 의식이라는 정신 매개체를 통한 해석에 따라서 채색{彩色}된다.
