[1]| 제149편{{{br}}} 2차 전도여행
[13]| 2. 인간의 그런 신앙과 공존하는, 거의 무제한적이고 무시간적인 창조적 치유 능력과 특권을 그의 인격자 안에 실제로 소유하고 있는, 육신화 하고 자비가_지배하는 {k{k{하나님}k}k}의 {k{k{창조주}k}k} {k{k{아들}k}k}의 큰 동정심과 연민이 실존함.
[14]| 3. 피조물의 신앙과 창조자의 생애와 더불어, 이 {k{k{하나님}k}k}_사람이 {k{k{아버지}k}k} 뜻의 의인화된 표현이었다는 점 또한 주목해야 한다. 인간의 필요와 그것을 만족시키는 신성한 능력이 접촉할 때, {k{k{아버지}k}k}께서 다르게 뜻하시지 않으면, 그 둘이 하나가 됐고, 인간 {k{k{예수}k}k}께는 치유가 무의식적으로 발생됐지만, 그의 신성한 본성에게는 즉각 인식됐다. 다수의 이런 치유에 대한 설명은, 우리가 오래 알아 온 위대한 법칙, 즉 {k{k{창조주}k}k} {k{k{아들}k}k}이 원하고 영원하신 {k{k{아버지}k}k}께서 뜻하시는 것은 {b{b{{k{k{그렇게}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{된다}k}k}}b}b}는 법칙에서 발견할 수밖에 없다.
[15]| 우리의 의견은, 그때, {k{k{예수}k}k}께서 몸소 현존하는 앞에서, 당시에 {k{k{사람의}k}k} {k{k{아들}k}k}과 매우 가깝게 연합돼 있던 어떤 창조 세력 및 우주 인격체들로 말미암아 치유가 일어나기 위해, 어떤 형태의 심오한 인간 신앙이, 글자 그대로 그리고 정말로 {i{i{있어야}i}i} {i{i{했다}i}i}는 것이다. 그러므로 {k{k{예수}k}k}께서 자주, 자신이 보는 앞에서, 병든 사람이 강렬한 개인 신앙으로 스스로를 치유하도록 하셨음이, 기록된 사실대로다.
[16]| 다른 많은 사람은 전적으로 이기적인 목적으로 치유를 추구했다. {k{k{두로}k}k}의 부유한 과부가 시종들과 함께 질병을 치유 받으러 왔었는데, 그에게는 여러 가지 병이 있었으며;그 여자는 {k{k{하나님}k}k}의 권능이 가장 돈을 많이 낸 사람에게 돌아가기라도 한다는 듯이, {k{k{갈릴리}k}k} 지방 여기저기서 {k{k{예수}k}k}를 따라 다니면서 계속 점점 더 많은 돈을 바쳤다. 그러나 그 여자는 천국 복음에는 한 번도 거들떠보려 하지 않았으며;그 여자가 추구한 것은 육신의 질병 치료뿐이었다.
[17]| {b{b{2. }b}b}{b{b{{k{k{사람들의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{태도}k}k}}b}b}
[18]| {k{k{예수}k}k}께서는 사람의 정신을 이해했다. 그는 사람의 마음에 무엇이 있는지 알았으며, 그의 교훈이 그가 제시한대로 간직됐더라면, 그에 관한 유일한 해설서가 그의 이 세상 생애로 인해 제공된 영감 어린 설명일 것이므로, 세상의 모든 민족과 종교가 신속하게 천국 복음을 받아들였을 것이다. {k{k{예수}k}k}의 교훈을, 특정한 민족, 종족, 및 종교가 받아들이기 쉽게 만들려고 초기 추종자들이 애쓴 것은, 의도는 좋았지만, 모든 다른 민족, 종족, 및 종교가 그런 교훈을 받아들이기 어렵게 하는 결과를 가져왔을 뿐이다.
[19]| {k{k{사도}k}k} {k{k{바울}k}k}은, {k{k{예수}k}k}의 교훈이 당시의 특정한 집단에 쉽게 받아들여지도록 하기 위해 지침과 훈계를 주는 많은 편지를 썼다. {k{k{예수}k}k}의 복음을 가르쳤던 다른 선생들도 그와 비슷한 일을 했는데, 이런 글들 가운데 일부를, {k{k{예수}k}k}의 교훈이 구체화된 것이라고 주장하려는 사람들이 나중에 함께 수집하게 되리라는 것을, 아무도 알지 못했다. 따라서 {k{k{주님}k}k}의 복음이, 다른 종교보다는 {k{k{그리스도교}k}k}라고 불리는 것에 더 많이 포함돼 있기는 하지만, {k{k{그리스도교}k}k}는 {k{k{예수}k}k}께서 가르치지 않은 것도 또한 많이 포함하고 있다. {k{k{페르시아}k}k} 신비주의로부터 온 여러 교훈과 많은 {k{k{그리스}k}k} 철학이 초기 {k{k{그리스도교}k}k}에 들어온 것 외에도, 두 가지 큰 잘못을 저질렀다:
[20]| 1. {k{k{그리스도교}k}k}의 속죄 교리가--곧 {k{k{예수}k}k}께서 {k{k{아버지}k}k}의 엄격한 공의를 만족시키는 동시에, 신성한 분노를 완화시켜주는 희생양 {k{k{아들}k}k}이라는 가르침이-- 설명하듯이, 복음의 가르침을 직접 {k{k{유대}k}k} 신학에 연결시키려는 노력. 이런 교훈은, 믿지 않는 {k{k{유대인}k}k}이 천국 복음을 좀 더 쉽게 받아들일 수 있도록 만들려는 갸륵한 노력에서 나왔다. {k{k{유대인}k}k}의 환심을 사려는 이런 노력은 실패했지만, 모든 후세 세대에서 많은 정직한 혼을 혼란시키고 따돌리기에서는 실패하지 않았다.
[21]| 2. {k{k{주님}k}k}의 초기 추종자들의 두 번째 큰 실수, 그리고 모든 후세 세대가 지속적으로 범한 실수는, {k{k{그리스도교}k}k}의 가르침을, 아주 온통 {k{k{예수}k}k}라는 {i{i{인격자}i}i}에 관한 것으로 조직한 것이었다. {k{k{그리스도교}k}k} 신학에서 {k{k{예수}k}k}의 인간성에 관한 이런 과잉 강조가 그의 교훈을 애매하게 만들었고, 이 모든 것이, {k{k{유대인}k}k}, {k{k{모하멧}k}k} {k{k{교도}k}k}, {k{k{힌두인}k}k}, 그리고 {k{k{동방}k}k}의 다른 종교가들이 {k{k{예수}k}k}의 교훈을 점점 더 받아들이기 어렵게 만들었다. 우리는 그의 이름을 전할 수 있는 종교에서, {k{k{예수}k}k}라는 인격자의 위치를 과소평가하지 않지만, 그런 배려가 그의 영감 어린 생애를 덮어버리고, 그의 구원의 메시지, 즉:{k{k{하나님}k}k}이 {k{k{아버지}k}k}이시고 사람이 형제관계라는 것을 대신하도록 허용하지는 않을 것이다.
[22]| {k{k{예수}k}k}의 종교를 가르치는 선생들은, 공통으로 유지되는 진리를(많은 것이 직접 또는 간접으로 {k{k{예수}k}k}의 메시지에서 왔음을) 인정하면서 다른 종교에 접근하는 동시에, 차이점을 지나치게 강조하기를 삼가야 한다.
[23]| 그런 독특한 시기에, {k{k{예수}k}k}의 명성은 주로 치유자로서의 평판에 의거했지만, 그렇게 오래 지속되지는 않았다. 시간이 지나면서, 사람들이 점점 더 영적 도움을 구하려고 그를 찾아왔다. 그러나 일반 사람의 흥미를 즉시 직접 가장 많이 끈 것은 역시 육신의 치유였다. 도덕적으로 예속되고 정신적으로 괴로워하는 희생자들이 점점 더 {k{k{예수}k}k}를 찾았으며, 그는 구원되는 길을 변함없이 그들에게 가르쳤다. 아버지들은 아들을 다루는 것에 대해 조언을 구했고, 어머니들은 딸을 지도하는 것에 대해 도움을 요청했다. 어두움 속에 앉아있던 자들이 그에게로 나왔으며, 그는 그들에게 생명의 빛을 드러냈다. 그의 귀는 언제나 인류의 슬픔을 향해서 열려 있었고 그의 보살핌을 구하는 자들을 항상 도와줬다.
[24]| {k{k{창조주}k}k} 자신이 필사자 육신의 모습으로 이 세상에 있었을 때, 어떤 별난 일들이 발생할 수밖에 없음은 불가피했다. 그러나 이런 소위 기적적인 사건을 통해서 {k{k{예수}k}k}께 접근하려고 해서는 결코 안 될 것이다. {k{k{예수}k}k}를 통해서 기적이 일어나는 것을 배워야지, 기적을 통해서 {k{k{예수}k}k}를 알려는 오류를 범하지 마라. 그리고, {k{k{나사렛}k}k} {k{k{예수}k}k}께서 이 세상에서 초물질 행동을 실행한 유일한 종교 창시자임에도, 이런 경고는 정당하다.
[25]| 이 세상에서 {k{k{미가엘}k}k}의 사명 가운데 가장 놀랍고 혁명적인 부분은, 여자를 대하는 태도였다. 공공장소에서 남자가 자기 아내에게도 아는 척 하지 않아야 했던 시절에, {k{k{예수}k}k}께서는 3차 {k{k{갈릴리}k}k} 여행과 관련하여 여자들이 감히 복음을 가르치는 교사로서 따라오도록 했다. 그리고 그는, “율법의 말씀을 여자에게 주기보다 차라리 태워버림이 더 낫다”는 율법학자의 가르침에도 불구하고 이런 일을 행할 만큼 최고의 용기를 가졌다.
[26]| {k{k{예수}k}k}께서는 한 세대 만에, 멸시 당하고 잊혀진 상태에서, 또한 그 시대의 노예 같은 고역에서 여자들을 풀어줬다. 그리고 감히 {k{k{예수}k}k}의 이름을 취하고자 하는 그 종교가, 그 후에 여자들에 대한 이 고귀한 모범을 따를만한 도덕적 용기를 잃어버린 것은, 하나의 부끄러운 일이 아닐 수 없다.
[27]| {k{k{예수}k}k}께서 사람들과 함께 지내는 동안, 그들은 {k{k{예수}k}k}께서 그 시대의 미신의 영향을 전혀 받지 않는 것을 발견했다. 종교적 편견이 없었으며;결코 편협함이 없었다. 사회적 적대감과 비슷한 어떤 것도 마음에 담아 두지 않았다. 선조의 종교에서 좋은 점은 따르는 반면, 사람이_만든 미신과 속박의 전통을 무시하는 데는 조금도 주저하지 않았다. 자연의 큰 재해, 시간세계의 사고, 그리고 다른 비참한 사건은, 신성한 심판이나 {k{k{섭리}k}k}의 신비스러운 처방이 아니라고, 대담하게 가르쳤다. 의미 없는 예식절차에 노예처럼 헌신하는 것을 비난했고, 물질적인 경배의 오류를 폭로했다. 그는 사람의 영적 해방을 담대하게 선포했고, 육신에 속하는 필사자들이 진정으로 그리고 진실로, 살아 계신 {k{k{하나님}k}k}의 아들임을 담대하게 가르쳤다.
[28]| 청결한 손이 아니라 청결한 마음이 진정한 종교의 표시라고 용감하게 선언했을 때, {k{k{예수}k}k}께서는 선조의 모든 교훈을 뛰어넘었다. 전통 대신 현실을 존중했고, 허영과 위선의 모든 겉치레를 부정했다. 그렇지만 두려워하지 않는 이 {k{k{하나님}k}k}의 사람은, 파괴적인 비난의 말을 하거나, 당시의 종교, 사회, 경제, 및 정치 관례를 무시하는 말은 하지 않았다. 그는 투쟁적 혁명가가 아니었으며;점진적 진화를 주장하는 이였다. 그가, {i{i{돼있는}i}i} 그것을 파기하는 일에 가담한 것은, 오직 그렇게 {i{i{돼야}i}i}{i{i{하는}i}i} 뛰어난 일을 동료들에게 동시에 제시했을 때뿐이었다.
[29]| {k{k{예수}k}k}께서는 추종자들에게 강요하지 않으면서도 그들의 순종을 받았다. 그에게 직접 부르심 받았던 사람 가운데 단지 세 사람만이, 제자신분으로 초청받기를 거절했다. 사람들을 끌어당기는 특유의 힘을 발휘했지만, 독재적이지 않았다. 신용을 요구했으며, 누구도 그의 요구에 불만을 품지 않았다. 제자들에게 절대 권위를 행사했지만, 아무도 거부하지 않았다. 그는 추종자들이 그를 {k{k{주님}k}k}으로 부르도록 허락했다.
[30]| 뿌리_깊은 종교적 편견에 빠진 자들, 또는 그의 교훈에서 정치적 위험을 식별했다고 생각하는 자들을 제외하면, {k{k{주님}k}k}은 만나는 모든 사람으로부터 존경을 받았다. 사람들은 그의 가르침의 독창성과 권위에 감탄했으며, 우둔하고 성가신 질문자들에게 인내심으로 대하는 그의 태도에 경탄했다. 그는 자신의 활동 영역에 들어온 모든 사람의 마음 속에 희망과 확신을 심어 줬다. 그를 만나보지 못한 사람들만 그를 두려워했으며, 어떤 대가를 치르더라도 매달리기로 작정해왔던 악과 오류를 뒤집어엎게 돼있는 진리를 그가 옹호한다고 생각한 사람들만 그를 미워했다.
[31]| 그는 친구와 적 모두에게, 강력하고 기묘하게 매혹적인 영향을 미쳤다. 수많은 사람이, 단지 그의 우아한 말을 듣고 그의 간결한 생활을 보기 위해, 몇 주 동안 따라다니곤 했다. 헌신하는 남녀들이 거의 초인간적 애정으로 {k{k{예수}k}k}를 사랑했다. 그들은 그를 알면 알수록, 그를 더 사랑했다. 그리고 이 모든 것은 여전히 진실인데:오늘날에도, 그리고 모든 미래 시대에도, 사람들은 이 {k{k{하나님}k}k}_사람을 알면 알수록, 그를 더 사랑하고 따르게 될 것이다.
[32]| {b{b{3. }b}b}{b{b{{k{k{종교}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{지도자들의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{적개심}k}k}}b}b}
[33]| 보통 사람들이 {k{k{예수}k}k}와 그의 교훈을 호의적으로 받아들였음에도, {k{k{예루살렘}k}k}의 종교 지도자들은 점점 더 경계심과 적대감을 품게 됐다. {k{k{바리새인}k}k}은 조직적이고 교리적인 신학을 형성했다. {k{k{예수}k}k}께서는 기회가 주어지는 대로 가르치는 선생이었으며;조직적인 선생이 아니었다. {k{k{예수}k}k}께서는, 율법에 의거해서 가르치는 것이 아니라, 생활에서 비유를 들어 가르쳤다. (그리고 그가 자신의 메시지를 설명하려고 비유를 사용했을 때, 그 목적을 위하여, 이야기의 단 {i{i{한}i}i} {i{i{가지}i}i} 특색만 사용했다. 그의 비유에서 우화{寓話}를 만들어내려고 시도함으로써, {k{k{예수}k}k}의 교훈에 관한 많은 잘못된 관념이 만들어질 수 있다.)
[34]| {k{k{예루살렘}k}k} 종교 지도자들은, 최근에 젊은 {k{k{아브라함}k}k}이 개종했던 사건의 결과로, 그리고 {k{k{베드로}k}k}에게 세례를 받고 이제는 {k{k{갈릴리}k}k}의 이 2차 전도여행에서 전도자들과 함께 나가 있는 세 정탐꾼이 탈퇴한 사건 때문에, 거의 정신이 나갈 지경이었다. {k{k{유대인}k}k} 지도자들은, 두려움과 편견으로 인해 점점 더 눈이 멀었으며, 한편으로는 천국 복음의 심금을 울리는 진리를 계속 배척함으로 인해 마음이 굳어졌다. 사람에게 내주하는 영의 호소에 귀를 막을 때, 그 태도를 변경시키기 위해 할 수 있는 일은 거의 없다.
[35]| {k{k{예수}k}k}께서 {k{k{벳새다}k}k} 야영지에서 전도자들과 처음 만났을 때, 강연을 마치면서 말씀했다:“너희는 육체와 정신속에서 --감정적으로-- 사람들이 서로 다르게 반응한다는 것을 기억해야 한다. 사람들에게 유일하게 {i{i{한결같은}i}i} {i{i{것}i}i}은 내주하는 영이다. 체험의 본질과 정도가 다소 다를지라도, 신성한 영들은 모든 영적 호소에 한결같이 반응한다. 인류는 오직 이 영을 통해서만, 그리고 이 영에게 호소함으로써만, 언제라도 하나가 되고 형제관계를 달성할 수 있다.” 그러나 {k{k{유대인}k}k} 지도자 가운데 다수는 복음의 영적 호소에 마음 문을 닫았다. 그들은 이날부터 계속, {k{k{주님}k}k}을 없애려는 계획과 음모를 멈추지 않았다. 그들은, 종교 범죄자, 즉 {k{k{유대}k}k}의 신성시되는 율법의 주요 교훈을 어긴 자로서 {k{k{예수}k}k}를 체포하고, 유죄를 선고하여 처형해야 한다고 확신했다.
[36]| {b{b{4. }b}b}{b{b{{k{k{전도여행의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{진행}k}k}}b}b}
[37]| {k{k{예수}k}k}께서는, 이 전도여행에서 대중 활동은 거의 하지 않았으나, {k{k{야고보}k}k}와 {k{k{요한}k}k}과 함께 우연히 머물게 된 대부분의 도시나 동네에서 밤에 신자{信者}들에게 여러 차례 강의했다. 이런 저녁 수업시간 중에 한 번은, 나이 어린 전도자가 분노에 관하여 {k{k{예수}k}k}께 질문했고, {k{k{주님}k}k}이 다른 것들과 함께 다음과 같이 대답했다:
[38]| “분노는 대체로, 혼합된 지적 및 육체적 본성을 영적 본성이 통제하지 못한 정도를 나타내는 물질적 증상이다. 분노는, 너그러운 형제다운 사랑이 모자라고, 자존감과 자기_통제가 모자라는 것을 가리킨다. 분노는 건강을 해치고, 정신의 질을 저하시키며, 사람의 혼을 가르치는 영 선생을 무력하게 만든다. ‘진노가 어리석은 사람을 죽인다’, 사람이 ‘분노해서 스스로를 파괴한다’, 그리고 ‘진노하기를 더디 하는 자는 크게 명철하지만,’ 반면에 ‘마음이 조급한 자는 어리석음을 나타낸다’라는 글을 너희가 {k{k{성서}k}k}에서 읽지 않았느냐? 너희는 모두 이런 말도 잘 알고 있다:‘유순한 대답은 진노를 가라앉혀도, 과격한 말은 분노를 격동한다.’ ‘신중함이 분노를 지연시킨다.’ ‘자신을 통제하지 않는 자는 성벽 없는 무방비한 성과 같다.’ ‘진노는 잔인하고 분노는 난폭하다.’ ‘분노하는 자는 다툼을 일으키고, 격노 하는 자는 계명을 많이 어기게 된다.’ ‘영으로 조급하지 마라, 분노가 우매자의 품에 머물기 때문이다.’” {k{k{예수}k}k}께서 말씀을 마치기 전에 좀 더 계속했다:“사랑이 너희 마음을 다스려서, 신성한 아들신분의 상태와 어울리지 않는 동물적 분노를 발하는 경향으로부터, 영 안내자가 너희를 구원하는 데 아무 어려움이 없게 하라.”
[39]| 바로 이 경우에, {k{k{주님}k}k}은 균형_잡힌 성품을 소유하는 것이 바람직하다는 점에 관해 그 무리에게 이야기했다. 대부분의 사람은 어떤 직업에 숙련되기까지 몰두하는 것이 필요하다고 {k{k{예수}k}k}께서 인정했다. 그러나 그는, 지나치게 전문화하고, 일생의 활동을 편협하게 만들고 제한하는 모든 경향에 대해 개탄했다. 그는 어떤 장점이든지 극단으로 치우치게 되면 결점이 될 수 있다는 사실에 주의를 환기시켰다. {k{k{예수}k}k}께서는 항상 절제를 설교했고, 일관성--곧 삶의 문제를 균형 있게 조정하는 것--을 가르쳤다. 과잉 동정심과 연민은 심각한 감정적 불안감으로 퇴보할지도 모르며;그 열성이 광신으로 변할지도 모른다고 지적했다. {k{k{예수}k}k}께서는 옛 동역자 가운데 하나에 관하여, 그의 상상력이 그를 몽상적이고 비실제적인 이행업무 속으로 빠져들게 했다고 언급했다. 동시에 {k{k{예수}k}k}께서는, 지나친 보수적 진부함은 둔감한 자가 되게 할 위험이 있다고 그들에게 경고했다.
[40]| 그리고 나서 {k{k{예수}k}k}께서는, 용기와 신앙이 때로는 어떻게 지각없는 혼들을 무모함과 억측으로 이끌어 가는지, 그 위험성에 대해 이야기했다. 또한 신중함과 분별력이 너무 지나치면, 그것들이 어떻게 비겁함과 실패로 이끌어 가는지에 대해서도 설명했다. 듣는 이들에게, 지나치게 되는 모든 경향을 피하고, 독창성을 가지라고 권했다. 감정에 치우치지 않는 동정심과, 독실한 신자인 척 하지 않는 경건함을 갖도록 호소했다. 두려움과 미신에 구속받지 않는 경의를 가르쳤다.
[41]| 동역자들을 감동시킨 것은, 균형 잡힌 성품에 관한 그의 가르침보다는, {k{k{예수}k}k}의 생애 자체가 그 가르침의 감동적인 본보기였다는 사실이었다. 그는 압박과 격동 한가운데서 살았지만, 결코 흔들리지 않았다. 적들은 계속해서 그의 앞에 덫을 놓았지만, 그는 결코 걸려들지 않았다. 교활하고 박식한 자들이 그를 넘어뜨리려고 했으나, 그는 비틀거리지 않았다. 그들은 그를 논쟁에 휩쓸어 넣으려고 했지만, 그의 대답은 항상 교화를 주고, 위엄 있으며, 또한 확정적이었다. 여러 종류의 질문으로 말미암아 강론이 중단됐을 때에도, 그의 대답은 항상 의미심장하고 결정적이었다. 적들의 계속된 압력에 맞서면서, 그는 결코 비열한 전략을 동원하지 않았는데, 그들은 온갖 종류의 거짓되고 부당하며 불의한 방법을 써서 그에게 공격을 퍼부었다.
[42]| 많은 남녀가 생계를 위한 직업으로 어떤 분명한 업무에 부지런히 힘써야 하는 것이 사실이지만, 그럼에도 이 세상에서 살아가는 대로, 인생에 대해 폭넓은 문화적 지식을 개발하는 것이 전적으로 바람직하다. 진정으로 학식 높은 사람이라면, 동료들의 삶과 활동을 모르고 지내는 것에 만족하지 않는다.
[43]| {b{b{5. }b}b}{b{b{{k{k{만족에}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{대한}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{교훈}k}k}}b}b}
[44]| {k{k{열심당}k}k} {k{k{시몬}k}k}과 함께 일하던 전도자 집단을 {k{k{예수}k}k}께서 방문했을 때, 저녁 회담 시간에 {k{k{시몬}k}k}이 {k{k{예수}k}k}께 질문했다:“어찌하여 어떤 사람들은 다른 사람들보다 더 행복하고 만족하는지요? 만족은 종교 체험의 문제인가요?” 다른 여러 가지 가운데, {k{k{예수}k}k}께서 {k{k{시몬}k}k}의 질문에 대답했다:
[45]| “{k{k{시몬}k}k}아, 어떤 사람은 천부적으로 남들보다 더 행복해 한다. 사람 안에 거하시는 {k{k{아버지}k}k}의 영이 인도하고 지도하시는 것을 그 자신이 얼마나 기꺼이 받아들이는지에, 많이, 아주 많이 달려있다. ‘사람의 영은 {k{k{주}k}k}의 등불인데, 중심에 있는 모든 것을 살핀다’고 현자가 한 말을 너는 {k{k{성서}k}k}에서 읽지 않았느냐? 또한 그런 영으로 인도된 필사자들이 말했다:‘내게 줄로 재어 준 구역은 아름다운 곳에 있으니;그렇다, 내 기업이 실로 아름답다.’ ‘한 의인의 작은 재산이 여러 악인의 풍부한 재산보다 크다.’ ‘선한 사람은 자기 행위로 만족하기 때문이다.’ ‘즐거운 마음은 얼굴을 빛나게 하고, 항상 잔칫날이다. 재물이 적어도 {k{k{주}k}k}를 경외하는 것이, 크게 부하고 번뇌하는 것보다 낫다. 채소를 먹고 서로 사랑하는 것이, 살진 소를 먹으면서 서로 미워하는 것보다 낫다. 적은 소득이 의를 겸하면, 많은 소득이 불의를 겸한 것보다 낫다.’ ‘마음의 즐거움은 좋은 약이다.’ ‘한 움큼 밖에 없지만 평온한 것이, 남아돌지만 영이 슬프고 속상한 것보다 낫다.’
