[1]| 제194편{{{br}}} 진리의 영이 증여됨
[15]| {k{k{오순절}k}k}은 세례 받는 큰 축제였는데, 대문 밖의 개종자들, 즉 {k{k{야훼}k}k}를 섬기기 원하는 이방인을 회원으로 가입시키는 기간이었다. 그러므로 믿는 이방인과 {k{k{유대인}k}k} 중에서 많은 무리가 이날 세례에 참여하기는 훨씬 쉬운 일이었다. 이렇게 함으로써 그들은 어떤 면에서도 {k{k{유대인}k}k} 신앙으로부터 떨어져나가지 않을 수 있었다. 이 일이 있은 후에도 한동안, {k{k{예수}k}k}를 믿는 사람들이 {k{k{유대교}k}k}의 한 분파로서 남아 있었다. 사도들을 포함해서 그들 모두, {k{k{유대인}k}k}의 예식 체계의 기본 요건에 여전히 충실했다.
[16]| {b{b{2. }b}b}{b{b{{k{k{오순절의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{의미}k}k}}b}b}
[17]| {k{k{예수}k}k}께서는 이 세상에 살면서, 사람이 마귀의 자손이라는 미신으로부터 사람을 건져내고, {k{k{하나님}k}k}의 신앙 아들임을 믿는 존엄성에 이르도록 높여주는 복음을 가르쳤다. {k{k{예수}k}k}께서 전파하고 또 그대로 삶에서 실천한 그 메시지는, 그것을 전한 그 시대에 사람이 갖는 영적 고난에 대한 효과적인 해결책이었다. 그리고 이때 그가 몸으로는 이 세상을 떠났지만, 자기를 대신하는, 자신의 {k{k{진리의}k}k} {k{k{영}k}k}을 보냈는데, 이 {k{k{진리의}k}k} {k{k{영}k}k}은 사람 속에 살도록, 그리고 새 세대들마다 {k{k{예수}k}k}의 메시지를 다시 진술하도록 고안됐으며, 그리하여 이 세상에 새로 태어나는 새 집단의 각 필사자마다 새로운 최신 복음 개정판을 갖게 될 것이요, 바로 그런 개인적 깨우침과 집단적 지침이, 사람의 늘_새롭고 다채로운 영적 고난에 대한 효과적인 해결책이라는 것이 입증될 것이다.
[18]| 이 영의 첫째 사명은, 당연히 진리를 촉진시키고 개인의 것으로 만드는 것인데, 진리를 납득하는 것이 최고 형태의 인간 자유를 성립시키기 때문이다. 다음으로, 이 영의 목적은 신자들이 자신을 고아처럼 느끼지 않도록 하는 것이다. {k{k{진리의}k}k} {k{k{영}k}k}이 사람의 마음 속에 내주하기 위해 아직 도래하지 않은 상태에서는, {k{k{예수}k}k}께서 사람들 가운데 있는 동안에도 신자들이 고독감을 느낄 수 있었다.
[19]| 이렇게 증여된 {k{k{아들}k}k}의 영은, 그다음에 일어나는 {k{k{아버지}k}k}의 영(곧 {k{k{조율사}k}k})의 보편적 증여가 모든 인류에게 일어나도록, 정상적인 모든 사람의 정신을 효과적으로 준비시켰다. 어떤 면에서 보면, {k{k{진리의}k}k} {k{k{영}k}k}은, {k{k{만유의}k}k} {k{k{아버지}k}k}와 {k{k{창조주}k}k} {k{k{아들}k}k}, 두 분의 영이다.
[20]| 쏟아 부어진 {k{k{진리의}k}k} {k{k{영}k}k}을 지적으로 강하게 의식하게 되기를 기대하는 실수를 범하지 마라. 그 영은 결코 자신을 의식{意識}하게 만들지 않고, 오직 {k{k{미가엘}k}k}, 즉 {k{k{아들}k}k}을 의식하게 만든다. 그 영은 스스로 말하지 않을 것이라고, {k{k{예수}k}k}께서 처음부터 가르쳤다. 그러므로, 너희가 {k{k{진리의}k}k} {k{k{영}k}k}과 교제하고 있는지 아닌지에 대한 증거는, 너희가 이 영을 의식함에서가 아니라, 오히려 너희가 {k{k{미가엘}k}k}과 더 향상된 교제를 나누는 체험에서 발견된다.
[21]| 또한 이 영은, 사람이 {k{k{주님}k}k}의 말씀을 잘 기억해 내고 이해하도록 돕기 위해서 왔을 뿐만 아니라, 그의 이 세상 생애를 조명하고 재해석하기 위해서 왔다.
[22]| 다음으로, {k{k{진리의}k}k} {k{k{영}k}k}은, {k{k{예수}k}k}가 육신 속에서 살았던 대로, 그리고 지나가는 각 세대마다 그 영으로 채워진 {k{k{하나님}k}k}의 아들인 신자 개인 속에서 그가 지금 다시 한 번 새롭게 사는 것 같이, {k{k{예수}k}k}의 교훈과 그의 생애라는 실체들에 대해 증인이 되도록, 신자를 돕기 위해서 왔다.
[23]| 그래서 {k{k{진리의}k}k} {k{k{영}k}k}은, 정말로 모든 신자를 모든 진리로 인도하려고, 즉 {k{k{하나님}k}k}의 영원하고 상승하는 아들신분의 실체를 생생하게 점점 더 영적으로 의식하는 체험을 더 폭넓게 알도록 이끌려고 오는 것처럼 보인다.
[24]| {k{k{예수}k}k}께서는, 어떤 사람에게든지 {k{k{아버지}k}k} 뜻을 곧이곧대로 따르려고 시도하는 하나의 예{例}로서가 아니라, {k{k{아버지}k}k} 뜻에 복종하는 사람을 드러내는 생애를 살았다. 육신 속에서 산 이런 생애는 이내 새로운 속죄의 복음이 됐는데, 그 복음은 십자가 위에서 죽으심과 그 후에 일어난 부활과 함께, 악한 자의 손아귀로부터--곧 화나신 {k{k{하나님}k}k}의 유죄판결로부터-- 사람을 다시 사들이기 위해서 그렇게 값을 지불했다는 것이다. 비록 복음이 크게 왜곡됐어도, {k{k{예수}k}k}에 관한 이런 새로운 메시지가, 천국에 대한 그의 초기 복음 중에서 근본적인 많은 진리를 전수했음은 사실이다. 그리고 {k{k{하나님}k}k}이 {k{k{아버지}k}k}시고 사람이 형제관계라는 감춰진 진리는, 모든 인류의 문명을 효과적으로 변모{變貌}시키기 위하여 세상에 조만간 드러날 것이다.
[25]| 그러나 지식인들의 이런 실수는, 신자의 영적 성장이 크게 진보하는 것을 조금도 방해하지 않았다. {k{k{진리의}k}k} {k{k{영}k}k}이 증여된 지 한 달도 못되어, 사도들은 거의 4년에 걸친 {k{k{주님}k}k}과의 개인적이고 사랑하는 교제에서 얻은 것보다 훨씬 많은 영적 진보를 개인마다 이뤘다. 게다가, {k{k{하나님}k}k}의 아들신분이라는 구원하는 복음의 {i{i{진리}i}i}를, {k{k{예수}k}k}의 부활이라는 {i{i{사실}i}i}로 대치시킨 것도, 그들의 교훈이 신속하게 퍼져나가는 것을 어떤 방법으로도 방해하지 못했으며;도리어, 그의 인품과 부활에 관한 새로운 교훈으로 인해 {k{k{예수}k}k}의 메시지에 드리워진 이 그늘이, 기쁜 소식의 전파를 크게 촉진시키는 것처럼 보였다.
[26]| “영의 세례{洗禮}”라는 용어가 당시에 널리 쓰이게 됐는데, 단순히 {k{k{진리의}k}k} {k{k{영}k}k}이라는 이 선물을 받은 것에 대해 의식했음을, 그리고 이런 새로운 영적 능력은 {k{k{하나님}k}k}을 아는 혼들이 전에 체험했던 모든 영적 영향력이 증대된 것이라고 개인적으로 고백했음을 의미했을 뿐이다.
[27]| {k{k{진리의}k}k} {k{k{영}k}k}이 증여된 후에, 사람은 다음과 같이 자신에게 부여된 삼중적 영 재능의 인도와 가르침을 받게 됐다:{k{k{아버지}k}k}의 영, 즉 {k{k{사고}k}k} {k{k{조율사}k}k};{k{k{아들}k}k}의 영, 즉 {k{k{진리의}k}k} {k{k{영}k}k};{k{k{영}k}k}의 영, 즉 {k{k{거룩한}k}k} {k{k{영}k}k}. 
[28]| 어떤 면에서, 인류는 칠중{七重} 매력의 우주 영 영향력 중에서 이중{二重} 영향력에 종속된다. 초기 진화 과정에 있던 필사자 인종들은, 지방우주의 {k{k{어머니}k}k} {k{k{영}k}k}의 일곱 보조 정신_영의 점진적 접촉에 지배를 받는다. 지성과 영적 감지의 정도에서 사람이 위쪽으로 진보되면, 결국 더 높은 일곱 영{靈} 영향력이 그에게 임하고 그의 안에 거한다. 그리고 진보하는 세계들의 이 일곱 영은 다음과 같다:
[29]| 1. {k{k{만유의}k}k} {k{k{아버지}k}k}가 증여하신 영{靈}--{k{k{사고}k}k} {k{k{조율사}k}k}.
[30]| 2. {k{k{영원한}k}k} {k{k{아들}k}k}의 영 현존--온갖 우주의 영 인력{引力}, 및 모든 영 친교의 특정한 경로.
[31]| 3. {k{k{무한한}k}k} {k{k{영}k}k}의 영 현존--모든 창조물의 보편적 영_정신, 즉 진보하는 모든 지성체의 지적 유사성의 영적 근원.
[32]| 4. {k{k{만유의}k}k} {k{k{아버지}k}k}와 {k{k{창조주}k}k} {k{k{아들}k}k}의 영--일반적으로 {k{k{우주}k}k} {k{k{아들}k}k}의 영으로 간주되는, {k{k{진리의}k}k} {k{k{영}k}k}.
[33]| 5. {k{k{무한한}k}k} {k{k{영}k}k}과 {k{k{우주}k}k} {k{k{어머니}k}k} {k{k{영}k}k}의 영--일반적으로 {k{k{우주}k}k} {k{k{영}k}k}의 영으로 간주되는, {k{k{거룩한}k}k} {k{k{영}k}k}. 
[34]| 6. {k{k{우주}k}k} {k{k{어머니}k}k} {k{k{영}k}k}의 정신_영--지방우주의 일곱 보조 정신_영.
[35]| 7. {k{k{아버지}k}k}와 {k{k{아들}k}k}들과 {k{k{영}k}k}들의 영--영으로_태어난 필사자의 혼이 {k{k{낙원}k}k} {k{k{사고}k}k} {k{k{조율사}k}k}와 결합한 후에, 그리고 나중에 {k{k{낙원}k}k} {k{k{완}k}k}결{k{k{성취}k}k} {k{k{단체}k}k}에서 신성{神性}과 영화로운 신분을 달성한 후에, 그 영역에서 상승하는 필사자가 갖는 새로운_이름의 영.
[36]| 그리고 {k{k{진리의}k}k} {k{k{영}k}k}이 그렇게 증여됨으로써, {k{k{하나님}k}k}을 찾아서 상승하는 것을 도와주도록 계획된 마지막 영 재능을 그 세계에, 그리고 거기 있는 사람들에게 가져왔다.
[37]| {b{b{3. }b}b}{b{b{{k{k{오순절에}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{일어난}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{일}k}k}}b}b}
[38]| 기묘하고 이상한 많은 교훈이, {k{k{오순절}k}k} 날에 대한 초기 전승들과 결합됐다. {k{k{진리의}k}k} {k{k{영}k}k}, 즉 새 선생이 인류에게 내주하기 위해 임한 이날의 사건 이후로 계속, 어리석게도 폭발적으로 번져나간 감정주의와 혼동돼 왔다. {k{k{아버지}k}k}와 {k{k{아들}k}k}로부터 쏟아 부어진 이 영의 주된 사명은, {k{k{아버지}k}k}의 사랑과 {k{k{아들}k}k}의 자비라는 진리에 관해 사람을 가르치는 것이다. 이것은 사람이 다른 모든 신성한 성품 특징보다 더 충분히 이해할 수 있는 신성{神性}에 대한 진리다. {k{k{진리의}k}k} {k{k{영}k}k}은 1차적으로 {k{k{아버지}k}k}의 영 본성과 {k{k{아들}k}k}의 도덕적 성품을 드러내는 데 관여한다. {k{k{창조주}k}k} {k{k{아들}k}k}은 육신 속에서 {k{k{하나님}k}k}을 사람에게 드러냈으며;{k{k{진리의}k}k} {k{k{영}k}k}은 마음 속에서 {k{k{창조주}k}k} {k{k{아들}k}k}을 사람에게 드러낸다. 인생에서 “영의 열매”를 맺을 때, 사람은 다만 {k{k{주님}k}k}이 이 세상에서 자신의 생애 속에 형태화했던 특징을 나타내 보이는 것이다. {k{k{예수}k}k}께서는 이 세상에 있을 때, 하나의 인격체로서--곧 {k{k{나사렛}k}k} {k{k{예수}k}k}로서-- 일생을 살았다. {k{k{주님}k}k}은, {k{k{오순절}k}k} 후에, “새 선생”이라는 내주하는 영으로서, 진리의_가르침을 받는 각 신자의 체험 속에서 생애를 새로이 살 수 있다.
[39]| 인간 생애의 과정에서 이해하기 힘든 일이 많이 발생되는데, 이 우주에서 진리가 지배하고 의가 승리한다는 관념과 조화시키기 어렵다. 중상과 거짓말 그리고 부정직과 불의가--곧 죄가-- 승리하는 상황이 너무 자주 발생한다. 신앙이 결국에는, 악, 죄, 및 죄악을 이기게 될까? 물론이다. 그리고 {k{k{예수}k}k}의 생애와 죽음은, 선한 진리와 영으로_인도함을 받는 피조물의 신앙이 항상 정당화 되리라는 영원한 증거다. 그들은 십자가 위에 있는 {k{k{예수}k}k}께, “{k{k{하나님}k}k}이 오셔서 저를 구출하시는지 보자”고 말하며 조롱했다. 십자가형이 있던 날에는 암울하게 보였지만, 부활의 아침에는 찬란하게 빛났으며;{k{k{오순절}k}k} 날에는 더욱 밝았고 기쁨이 넘쳤다. 염세적인 절망의 종교들은 인생의 무거운 짐에서 벗어나기를 추구하며;끝없는 수면과 휴식 속에서 사멸돼 가기를 갈망한다. 그런 것은 원시적 두려움과 공포의 종교다. {k{k{예수}k}k}의 종교는, 허덕이고 있는 인류에게 선포돼야 할 신앙의 새 복음이다. 이 새 종교는, 신앙, 희망, 및 사랑에 바탕을 둔다.
[40]| 필사자 인생이, {k{k{예수}k}k}에게 가장 힘들고 가장 잔인하며 가장 비통한 일격을 가했으며;이 사람은 {k{k{아버지}k}k} 뜻을 행하기 위해, 신앙, 용기, 및 확고한 결단력으로 이런 절망스런 직무에 대처했다. {k{k{예수}k}k}께서는 인생의 혹독한 현실 속에서 인생에 대처했고, --죽을 때에도-- 인생을 통달했다. 그는 삶에서 풀려나는 방편으로 종교를 이용하지 않았다. {k{k{예수}k}k}의 종교는, 또 다른 실존에서 기다리는 기쁨을 누리려고 이 생애에서 벗어나기를 추구하지 않는다. {k{k{예수}k}k}의 종교는, 사람이 육신 속에서 지금 살고 있는 인생을 증진시키고 고상하게 하기 위해, 또 다른 영적 실존의 기쁨과 평강을 제공한다.
[41]| 종교가 사람에게 마취제라면, 그것은 {k{k{예수}k}k}의 종교가 아니다. 십자가 위에서, 그는 마취시키는 약을 마시기를 거절했으며, 모든 육체에게 부어진 그의 영은 사람을 위로 이끌어주고 앞으로 나가도록 재촉하는 강력한 세계적 영향력이다. 영적으로 전진하도록 하는 그 충동은, 이 세상에 존재하는 것 중에서 가장 강력한 추진력이며;진리를_배우는 신자는 이 땅에서 유일한 진취적이고 적극적인 혼이다.
[42]| {k{k{오순절}k}k} 날에, {k{k{예수}k}k}의 종교는 모든 민족적 제약과 인종적 족쇄를 깨뜨렸다. “{k{k{주}k}k}의 영이 임하는 곳에 자유가 있다”는 말은 영원한 진리다. {k{k{진리의}k}k} {k{k{영}k}k}은, 이날에 {k{k{주님}k}k}이 모든 필사자 마다 친히 주시는 선물이 됐다. 천국 복음을 더 효과적으로 전파하는 자격을 신자들에게 줄 목적으로 이 영이 증여됐지만, 그들은 쏟아 부어진 그 영을 받는 체험을, 자신이 무의식중에 형성한 새 복음의 일부분으로 삼는 실수를 범했다.
[43]| {k{k{진리의}k}k} {k{k{영}k}k}이 모든 진실한 신자에게 증여됐다는 사실을 경시하지 말라;이 영 선물은 오직 사도들에게만 주어진 것이 아니었다. 다락방에 모여 있던 120명의 남녀 모두 새로 나타난 선생을 받았으며, 온 세상의 정직한 마음을 가진 모든 사람도 마찬가지였다. 새로 나타난 이 선생은 인류에게 수여됐으며, 진리를 사랑함에 따라서, 그리고 영적 실체들을 파악하고 납득하는 역량만큼, 각자의 혼이 그를 받아들인다. 마침내, 참 종교는 사제{司祭}들 및 모든 신성시되는 계층의 손아귀에서 벗어나서, 각 사람의 혼 속에서 실질적으로 나타난다.
[44]| {k{k{예수}k}k}의 종교는, 가장 고상한 유형의 인간 문명을 촉진시키고 있으며, 그 문명에서 가장 고귀한 유형의 영적 인격을 생성하고, 그 사람의 신성함을 선포한다.
[45]| {k{k{오순절}k}k}에 {k{k{진리의}k}k} {k{k{영}k}k}이 옴으로써, 급진적이지 않고 보수적이지도 않은 종교를 가능하게 했으며;그 종교는 낡은 것도 새로운 것도 아니며;늙은이나 젊은이에게 지배돼서도 안 된다. {k{k{예수}k}k}께서 이 땅에서 살았다는 그 사실은, 시간이라는 닻을 고정시키기 위한 위치를 제공해 주며, 한편 {k{k{진리의}k}k} {k{k{영}k}k}의 수여는, 그가 실천했던 종교와 그가 전파했던 복음을 영구히 확장하고 끝없이 성장하게 만든다. 그 영이 {i{i{모든}i}i} 진리 속으로 안내하며;그 영은, 끝없이 진보하고 신성하게 펼쳐지는 종교, 확장하고 항상 자라가는 종교를 가르치는 선생이다. 새로 나타난 이 선생은, {k{k{사람의}k}k} {k{k{아들}k}k}의 인품과 본성 속에 너무도 신성하게 감춰져 있던 것을, 진리를 추구하는 신자에게 끊임없이 밝혀줄 것이다.
[46]| “새로 나타난 선생”의 증여와 관련된 현상, 그리고 {k{k{예루살렘}k}k}에 함께 모인 다양한 종족 및 민족이 사도들의 전도를 받아들였다는 것은, {k{k{예수}k}k}의 종교의 보편성을 암시한다. 천국 복음은 특정한 종족이나 문화 또는 언어와 관계되지 않는다. 이 {k{k{오순절}k}k} 날에, {k{k{유대인}k}k}에게 상속돼 오던 속박 상태에서 {k{k{예수}k}k}의 종교를 해방시키려고, 그 영이 엄청나게 수고했음이 입증됐다. 심지어 그 영이 모든 육체에게 드러나게 부어진 이 사건 이후에도, 사도들이 처음에는 개종하는 그들에게 {k{k{유대주의}k}k}의 요구조건을 강요하려고 했다. 심지어 {k{k{바울}k}k}도, 이방인들에게 이런 {k{k{유대}k}k} 관습을 따르도록 강요하는 일을 거부함으로써, {k{k{예루살렘}k}k}의 형제들과 불편한 관계가 됐었다. 어떤 계시된 종교든지, 어떤 민족적 문화가 그것에 스며들거나, 아니면 기존의 인종적, 사회적, 또는 경제적 관습과 연합될 때에는, 결코 세계적으로 퍼져나가지 못한다.
[47]| {k{k{진리의}k}k} {k{k{영}k}k}의 증여는, 모든 형식, 예식, 신성시되는 장소, 그리고 그 영이 충만하게 나타나는 것을 맛본 자들의 특별한 행태와 무관했다. 다락방에 모인 사람들에게 그 영이 임했을 때, 그들은 다만 침묵 속에서 기도에 참여하면서 거기에 앉아 있었을 뿐이다. 그 영은 그 도시에서뿐 아니라 시골 지역에서도 수여됐다. 사도들은, 그 영을 받을 목적으로, 몇 년 동안 각자 외롭게 묵상하려고 한적한 곳으로 멀리 떠나있을 필요가 없었다. {k{k{오순절}k}k}은 언제든지, 각별히 유리한 환경에서 받는다는 어리석은 생각으로부터, 영적 체험의 관념을 분리시킨다.
[48]| {k{k{오순절}k}k}은, 그 영을 부여함으로써, {k{k{주님}k}k}의 종교가 물리적인 힘에 전혀 의존하지 않도록 영원히 해방시키려고 고안됐으며;이런 새 종교를 가르치는 선생들은 이제 영적 무기를 갖추게 됐다. 그들은, 끊임없는 용서, 비길 데 없는 선한 의지, 그리고 풍부한 사랑으로 세상을 정복하기 위해 나아가게 됐다. 그들은, 선으로 악을 극복하고, 사랑으로 미움을 정복하며, 진리에 대한 용감하고 생생한 신앙으로 두려움을 파괴시킬 준비가 됐다. {k{k{예수}k}k}께서는 자신의 종교가 결코 부정적이지 않음을 이미 제자들에게 가르쳤으며;제자들은 자신의 사랑을 나타내는 일과 자비를 베푸는 사역을 하는 데 적극적이고 긍정적이었다. 이 신자들은 {k{k{야훼}k}k}를 더 이상 “{k{k{만군의}k}k} {k{k{주}k}k}”로 보지 않았다. 그들은 이제 영원한 {k{k{신격}k}k}을, “{k{k{주}k}k} {k{k{예수}k}k} {k{k{그리스도}k}k}의 {k{k{하나님}k}k} 및 {k{k{아버지}k}k}”로 간주하게 됐다. {k{k{하나님}k}k}이 각 개인의 영적 {k{k{아버지}k}k}가 되시기도 한다는 진리를 충분히 파악하기에는 어느 정도 실패했지만, 그들은 적어도 그런 진보는 이뤘다.
[49]| {k{k{오순절}k}k}은, 개인의 무례를 용서하는 능력, 가장 심각하게 불공평한 상황에서 상냥할 수 있는 능력, 무시무시한 위험에 직면해서 여전히 태연할 수 있는 능력, 그리고 사랑과 관용으로 두려움 없이 행동하여 미움과 분노의 악에게 대항할 수 있는 능력을 필사적 사람에게 부여했다. {k{k{유란시아}k}k}는 자체 역사에서 엄청난 파괴적 전쟁들로 인한 참혹한 피해를 겪어 왔다. 이런 끔찍한 투쟁에 참여했던 모든 사람은 좌절을 체험했다. 승리자는 하나였으며;이런 비참한 투쟁들에서, 드높아진 명성과 함께 떠오른 승리자는 오직 하나밖에 없었는데--{k{k{나사렛}k}k} {k{k{예수}k}k} 그리고 선으로 악을 정복하는 그의 복음이었다. 더 나은 문명의 비결은, 사람의 형제관계에 대한 {k{k{주님}k}k}의 교훈, 즉 상호적 신뢰와 사랑의 선한 의지에 밀접하게 관련된다.
[50]| {k{k{오순절}k}k}이 있기 전에는, 종교가 {k{k{하나님}k}k}을 추구하는 사람만 드러내 왔었다면;{k{k{오순절}k}k} 이후로는, 사람이 여전히 {k{k{하나님}k}k}을 찾기는 하지만, {k{k{하나님}k}k}께서도 사람을 찾으시고, 그를 발견하신 후에는 그에게 내주하기 위해 자신의 영을 보내시는 광경을 온 세상에 드러내고 있다.
[51]| {k{k{오순절}k}k}에 최고조에 달했던 {k{k{예수}k}k}의 교훈이 있기 전에는, 여자들은 전통적 종교의 테두리 속에서 영적 지위가 전혀 없는 것이나 다름없었다. {k{k{오순절}k}k} 이후로, 여자는 천국의 형제관계에서 남자와 동등하게 {k{k{하나님}k}k} 앞에 서게 됐다. 그 영의 이런 특별한 방문을 받은 120명 중에는 여제자가 다수 있었고, 그들은 이 복을 남자 신도와 동등하게 누렸다. 종교 예배를 위한 성직자의 자리를, 더 이상은 남자만 독점할 수 없게 됐다. {k{k{바리새인}k}k}은, “여자나 나병 환자 또는 이방인으로 태어나지 않은 것”에 대해 {k{k{하나님}k}k}께 감사했겠지만, {k{k{예수}k}k}를 따르는 무리 가운데서, 여자는 모든 종교적 성{性} 차별에서 영원히 해방됐다. {k{k{오순절}k}k}은, 종족의 구별, 문화적 차이, 사회 신분계층, 또는 성적{性的} 편견에 근간을 둔 모든 종교적 차별을 없애버렸다. 새 종교를 믿는 이 사람들이 “{k{k{주}k}k}의 영이 임하는 곳에 자유가 있다”고 외쳤던 것은 당연하다.
