[1]| 제167편{{{br}}} 필라델피아 방문
[14]| “어떤 성주{城主}가 큰 만찬을 베풀면서 많은 손님을 초대했고, 만찬 시간이 되자 초대받은 사람에게 종들을 보내서, ‘모든 것이 준비됐으니 오십시오’라고 했다. 그런데 그들은 이구동성으로 핑계를 대기 시작했다. 첫 사람이 말했다:‘방금 농장을 샀기 때문에, 그것을 검사하러 가야하니;나를 용서하기 바랍니다.’ 다른 사람은, ‘다섯 쌍의 소를 샀으므로, 그것들을 받으러 가야 하니;나를 용서하기 바랍니다’라고 말했다. 또 다른 사람은 이렇게 말했다:‘나는 아내와 방금 결혼했기 때문에 갈 수 없습니다.’ 그래서 종들은 돌아와서 이 모든 것을 주인에게 보고했다. 이 말을 들은 집 주인은 매우 화가 나서 종들에게 말했다:‘내가 이 결혼 잔치를 준비시키고;살찐 송아지들을 잡았으며, 손님 맞을 준비가 다 됐지만, 그들이 내 초대를 거절했으며;각자 자기 땅과 일터로 가버렸고, 내 잔치에 초대하러 간 종들을 무례히 대했다. 그러므로, 성읍 길거리와 골목, 큰길은 물론 샛길로 빨리 나가서, 가난한 자와 버림받은 자, 눈 먼 자와 절름발이를 막론하고 모두 데려와서, 결혼 잔치에 손님이 있게 하라.’ 그리고 종들이 주인의 명대로 했지만, 아직도 손님을 위한 자리가 비어 있었다. 그러자 주인이 종들에게 말했다:‘길거리와 시골에 지금 가서, 거기에 있는 사람을 강제로 데려다가 내 집을 채우도록 하라. 내가 선언하겠는데, 처음에 초대됐던 사람은 아무도 내 잔치를 맛보지 못할 것이다.’ 그리고 종들이 주인의 명대로 해서 그 집이 가득 찼다.”
[15]| 그들은 이 말씀을 듣고 모두 떠났으며;각자 처소로 돌아갔다. 냉소하던 {k{k{바리새인}k}k} 가운데 적어도 한 사람이, 그날 아침 이 비유의 의미를 납득했음을 표했는데, 그날 세례를 받고 대중 앞에서 복음에 대한 신앙을 고백했기 때문이다. {k{k{아브넬}k}k}은 그날 밤에 신자들의 총회에서 이 비유에 대해 설교했다.
[16]| 이튿날 사도들은 모두, 큰 잔치에 관한 이 비유의 의미를 철학적 방법으로 해석하려고 애썼다. {k{k{예수}k}k}께서는 서로 다른 이 해석들을 재미있게 들었지만, 비유를 잘 이해할 수 있도록 더 도와주는 것은 단호히 거절했다. 그는 다만, “각자 자기 혼 속에서 스스로 의미를 찾도록 하라”고 말씀할 뿐이었다.
[17]| {b{b{3. }b}b}{b{b{{k{k{무기력한}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{기질의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{여자}k}k}}b}b}
[18]| 이 {k{k{안식일}k}k}에 {k{k{주님}k}k}이 회당에서 가르칠 수 있도록 {k{k{아브넬}k}k}이 준비해 뒀는데, {k{k{산헤드린}k}k}의 명령으로 그의 교훈이 모두 금지된 이후 처음으로 {k{k{예수}k}k}께서 회당에 모습을 드러냈다. 예배를 마치면서, {k{k{예수}k}k}께서는 잔뜩 구부러진 모습과 풀 죽은 표정으로 앞에 있는 나이 든 어떤 여자를 내려다봤다. 이 여자는 오랫동안 두려움에 시달려 왔으며, 모든 기쁨이 그 여자의 인생에서 사라졌다. {k{k{예수}k}k}께서는 설교단에서 내려와 그 여자에게 가서, 활같이 휘어진 어깨에 손대며 말씀했다:“여자여, 네가 믿기만 한다면, 무기력한 기질{氣質}에서 온전히 풀려날 것이다.” 그리고 18년 이상이나 두려워하는 우울증에 사로잡혔고 굽어졌던 이 여자는 {k{k{주님}k}k}의 말씀을 믿었으며, 신앙으로 즉시 똑바로 서게 됐다. 이 여자는 똑바로 선 자신을 보자 소리 높여 {k{k{하나님}k}k}께 영광을 돌렸다.
[19]| 이 여자의 병은 온전히 정신적인 것이었고, 휘어진 모습 역시 억압된 정신의 결과였음에도, 사람들은 {k{k{예수}k}k}께서 실제적인 육체의 질환을 치유했다고 생각했다. {k{k{필라델피아}k}k}에 있는 회당의 회중은 {k{k{예수}k}k}의 교훈에 우호적이었지만, 그 회당의 최고 책임자는 우호적이지 않은 {k{k{바리새인}k}k}이었다. 그리고 그가 {k{k{예수}k}k}께서 육체의 질환을 치유한 것에 대해 회중과 의견을 나누다가, {k{k{예수}k}k}께서 감히 {k{k{안식일}k}k}에 그런 일을 했다는 것에 분개하면서, 회중 앞으로 나아가 말했다:“사람이 무엇이든지 자기 일을 할 수 있는 날이 엿새나 되지 않는가? 그러므로 일할 수 있는 그런 날에는 와서 치유 받을 수 있지만, {k{k{안식일}k}k}에는 안 된다.”
[20]| 적의를 가진 그 관리가 이렇게 말하자, {k{k{예수}k}k}께서 단상으로 돌아가서 말씀했다:“왜 위선자의 역할을 맡아서 하느냐? 너희는 모두 {k{k{안식일}k}k}에 마구간에서 소를 끌어내어 물을 마시게 하지 않느냐? 그런 일이 {k{k{안식일}k}k}에 허용된다면, 오늘이 {k{k{안식일}k}k}일지라도, 18년 동안 악한 세력에 묶였던 {k{k{아브라함}k}k}의 딸인 이 여자도, 이런 묶임으로부터 풀려나서 자유와 생명의 물을 마시도록 인도하는 것이 마땅하지 않으냐?” 그리고 여자가 계속 {k{k{하나님}k}k}께 영광을 돌리자, 비난하던 그는 부끄럼을 당했으며, 회중은 그 여자가 치유 받은 것에 대해 함께 기뻐했다.
[21]| 이 {k{k{안식일}k}k}에 {k{k{예수}k}k}를 공개적으로 비난한 것으로 인해 그 회당의 최고 책임자가 물러나고, {k{k{예수}k}k}를 따르는 다른 사람이 그 자리에 앉았다.
[22]| {k{k{예수}k}k}께서는 공포에 시달리는 그런 사람들을, 그들의 무기력한 기질에서, 정신적 우울증에서, 그리고 공포의 속박에서 종종 구해냈다. 그러나 사람들은, 그런 모든 고난이 육체적인 병 또는 악한 영에 사로잡혔기 때문이라고 생각했다. 
[23]| {k{k{예수}k}k}께서는 일요일에 다시 회당에서 가르쳤고, 그날 오후에, 그 도시의 남쪽으로 흐르는 강에서 많은 사람이 {k{k{아브넬}k}k}에게서 세례를 받았다. {k{k{예수}k}k}와 열 명의 사도는 다음 날 {k{k{펠라}k}k} 야영지로 돌아가려고 했지만, {k{k{다윗}k}k}의 심부름꾼 하나가 도착해서, {k{k{예루살렘}k}k} 근처 {k{k{베다니}k}k}에 있는 {k{k{예수}k}k}의 친구들이 보내온 급한 소식을 전했다.
[24]| {b{b{4. }b}b}{b{b{{k{k{베다니에서}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{온}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{소식}k}k}}b}b}
[25]| 2월 26일 일요일 아주 늦은 밤에, {k{k{베다니}k}k}에서 한 심부름꾼이 {k{k{필라델피아}k}k}에 도착했고, {k{k{마르다}k}k}와 {k{k{마리아}k}k}로부터 “{k{k{주님}k}k}, 당신이 사랑하시는 그가 매우 아픕니다”라는 소식을 가져왔다. 이 소식은, 저녁 회담이 끝나고 {k{k{예수}k}k}께서 잠자기 위해 사도들을 떠날 무렵에 전해졌다. 처음에는 {k{k{예수}k}k}께서 아무 대답도 하지 않았다. 그가 몸 바깥 저편에 있는 다른 어떤 존재와 대화하는 것처럼 보이는 이상한 순간이 이번에도 있었다. 그리고 나서 그 전달자를 보면서, 사도들도 들을 수 있는 정도로 말씀했다:“이 병으로는 결코 죽지 않을 것이다. {k{k{하나님}k}k}을 찬미하고 {k{k{아들}k}k}을 높이도록 그것이 사용될 것임을 의심하지 마라.”
[26]| {k{k{예수}k}k}께서는 {k{k{마르다}k}k}와 {k{k{마리아}k}k} 그리고 그들의 형제인 {k{k{나사로}k}k}를 매우 좋아했으며;뜨거운 애정으로 그들을 사랑했다. 그에게 인간적으로 처음 생각난 것은 도와주러 즉시 가는 것이었지만, 다른 생각이 복합적인 정신에 떠올랐다. 그는 {k{k{예루살렘}k}k}에 있는 {k{k{유대인}k}k} 지도자들이 천국을 언젠가 받아들일 것이라는 희망을 거의 포기했지만, 여전히 자기 민족을 사랑했고, {k{k{예루살렘}k}k}의 {k{k{바리새인}k}k}과 서기관들이 자신의 교훈을 받아들이도록, 한 번 더 기회를 주려는 계획이 지금 떠올랐으며;이 땅에서 자신의 삶 가운데 가장 난해하고 엄청난 외적{外的} 활동을 마지막으로 {k{k{예루살렘}k}k}에 보여주기로, {k{k{아버지}k}k} 뜻에 따라 결정했다. {k{k{유대인}k}k}은 기적을_행하는 구원자 관념에 젖어 있었다. 그는, 물질적 기적을 연출함에 의존하거나, 정치적 능력을 잠시 드러내는 행사에 의존하기를 거부했었지만, 지금은 이제까지 나타내지 않은 삶과 죽음에 대한 능력을 보여줄 수 있도록, {k{k{아버지}k}k}의 허락을 요청했다.
[27]| {k{k{유대인}k}k}은 죽은 그날로 시신을 묻는 것이 관습이었는데;이런 무더운 날씨에는 꼭 필요한 조치였다. 다만 혼수상태에 있는 사람을 무덤에 둠으로써, 둘째 날 또는 심지어 셋째 날에도 무덤에서 나오는 일이 종종 있었다. 그러나 {k{k{유대인}k}k}은, 영이나 혼이 육신 근처에서 이틀이나 사흘 동안 떠돌아다니지만, 셋째 날이 지나면 머물지 않는다는 것과;넷째 날에는 부패가 상당히 진행된다는 것, 그리고 그 기간이 지나간 후에는 아무도 무덤에서 돌아온 적이 없다는 것을 믿었다. 그리고 {k{k{예수}k}k}께서 {k{k{베다니}k}k}를 향해 출발할 준비를 하기 전에, 만 이틀을 더 {k{k{필라델피아}k}k}에 머문 것은, 이런 이유 때문이었다.
[28]| 따라서, 수요일 아침 일찍 {k{k{예수}k}k}께서 사도들에게 말씀했다:“지금 즉시 {k{k{유대지방}k}k}으로 다시 갈 준비를 하자.” 이런 {k{k{주님}k}k}의 말씀을 들은 사도들은 자기들끼리 물러나서 서로 의논했다. {k{k{야고보}k}k}가 회담을 진행했고, {k{k{예수}k}k}께서 다시 {k{k{유대지방}k}k}으로 들어가도록 내버려두는 것은 어리석은 짓이라는 데 그들 모두 의견이 일치했으며, 한 마음이 되어 돌아가서 보고했다. {k{k{야고보}k}k}가 말했다:“{k{k{주님}k}k}, 몇 주 전에 {k{k{예루살렘}k}k}에 계실 때, 지도자들이 당신을 죽이려 했고, 사람들은 당신께 돌을 던지려고 했습니다. 그 사람들에게는 진리를 받아들일 수 있는 기회를 그때 주셨으니, 다시 {k{k{유대지방}k}k}으로 가시려는 것을 우리는 허락하지 않겠습니다.”
[29]| 그러자 {k{k{예수}k}k}께서 말씀했다:“그러나, 안전하게 일할 수 있는 시간이 하루에 열두 시간 있음을 너희가 모르느냐? 사람이 낮에 걸어가면, 빛이 있으므로 넘어지지 않을 것이다. 사람이 밤에 걸어간다면, 빛이 없으므로 자칫 넘어지기 쉬울 것이다. 내 날이 계속되는 한, 나는 {k{k{유대지방}k}k}에 들어가기가 두렵지 않다. 이 {k{k{유대인}k}k}에게 한 번 더 기적을 행하려고 하며;바로 그들이 바라는 조건--곧 {k{k{아버지}k}k}의 능력과 {k{k{아들}k}k}의 사랑에 대한 눈에 보이는 증거와 외적 영광이 있어야 한다는 조건--으로라도 믿을 수 있는 기회를 한 번 더 주려고 한다. 게다가, 우리 친구 {k{k{나사로}k}k}가 잠들었으니, 내가 가서 깨우고자 함을 깨닫지 못하겠느냐!”
[30]| 그러자 사도 가운데 하나가 말했다:“{k{k{주님}k}k}, {k{k{나사로}k}k}가 잠들었으면, 반드시 깨어날 것입니다.” 당시에는 죽음을 잠들었다고 표현하는 것이 {k{k{유대인}k}k}의 관습이었지만, {k{k{예수}k}k}께서는 {k{k{나사로}k}k}가 이 세상을 떠났다는 의미로 말씀한 것인데, 사도들이 이해하지 못하자, 분명하게 다시 말씀했다:“{k{k{나사로}k}k}가 죽었다. 그리고 다른 사람들도 마찬가지이지만, 너희를 위해 내가 거기 없었던 것을 기뻐하고, 결국 너희가 새로운 이유로 나를 믿게 될 것이며;너희가 증거 할 그것으로 인해, 너희 모두는 내가 너희를 떠나서 {k{k{아버지}k}k}께로 가는 그날을 준비하기에 힘을 얻게 될 것이다.”
[31]| 그가 {k{k{유대지방}k}k}으로 가려는 것을 만류할 수 없게 되고, 어떤 사도들은 함께 가는 것조차 질색하며 싫어할 때, {k{k{도마}k}k}가 동료들을 향해 말했다:“우리의 염려를 {k{k{주님}k}k}께 말씀드렸지만, {k{k{주님}k}k}은 {k{k{베다니}k}k}로 가기로 작정하셨다. 나는 끝이 왔다는 것에 만족하며;그들이 분명히 {k{k{주님}k}k}을 죽이겠지만, 그것이 {k{k{주님}k}k}의 선택이라면, 용감한 사람으로서 행동하자;우리도 가서 {k{k{주님}k}k}과 함께 죽자.” 언제나 그랬듯이;용기를 불러일으키거나 숙고할 필요가 있는 문제에서는, {k{k{도마}k}k}가 항상 열두 사도의 기둥 역할을 했다.
[32]| {b{b{5. }b}b}{b{b{{k{k{베다니로}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{가는}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{길에서}k}k}}b}b}
[33]| {k{k{유대지방}k}k}으로 가는 길에는, 50명 정도 되는 친구 및 반대자 일행이 {k{k{예수}k}k}를 따라갔다. 수요일 점심때가 되자, {k{k{예수}k}k}께서는 사도들과 따라오는 무리에게 “구원의 조건”에 대해 말씀했고, 훈계를 마치면서 {k{k{바리새인}k}k}과 세리(곧 세금 징수원)에 관한 비유를 이야기했다. {k{k{예수}k}k}께서 말씀했다:“자, 너희도 알다시피, {k{k{아버지}k}k}께서 사람의 자녀에게 구원을 주시는데, 이 구원은 신성한 가족 안에서 아들신분을 받아들이는 신앙을 가진 모든 자에게 값없이 주시는 선물이다. 이 구원을 얻기 위해 사람이 할 수 있는 것은 하나도 없다. 스스로_의롭게 여기는 업적으로는 {k{k{하나님}k}k}의 호의를 얻을 수 없으며, 공중 기도를 아무리 많이 했더라도, 가슴 속에 살아있는 신앙의 부족을 보상하지 못한다. 너희의 외적{外的} 예배로 사람은 속일 수 있더라도, {k{k{하나님}k}k}은 너희의 혼을 들여다보신다. 기도하러 성전에 들어간 두 사람이, 내가 너희에게 말하고자 하는 것을 잘 설명할 것인데, 하나는 {k{k{바리새인}k}k}이고 다른 하나는 세리였다. {k{k{바리새인}k}k}은 서서 혼잣말로:‘오 {k{k{하나님}k}k}, 내가 다른 사람들, 즉 착취자, 무식한 자, 불의한 자, 간음한 자, 심지어 이 세리 같은 자가 아님을 감사합니다. 나는 매 주 두 번 금식하며;모든 소득의 십일조를 바칩니다’라고 기도했다. 그러나 세리는, 멀리 서서, 하늘을 우러러보지도 못하고 다만 가슴을 치면서, ‘{k{k{하나님}k}k}이여, 이 죄인에게 자비를 베풀어주십시오’라고 했다. 너희에게 말하겠는데, {k{k{바리새인}k}k}보다 세리가 {k{k{하나님}k}k}의 인정을 받고 집으로 돌아갔으니, 자기를 높이려는 자는 누구든지 낮아지겠지만, 자기를 낮추는 자는 높아질 것이기 때문이다.” 
[34]| 그날 밤 {k{k{여리고}k}k}에서, 대적하는 {k{k{바리새인}k}k}들이, 그들의 동료들이 갈릴리에서 한때 그랬듯이, 결혼과 이혼에 관한 토론에 끌어들임으로써 {k{k{주님}k}k}을 함정에 빠뜨리려고 애썼지만, {k{k{예수}k}k}께서는 이혼에 관한 그들의 법에 저촉되도록 유도하려는 그들의 노력을 기술적으로 피했다. 세리와 {k{k{바리새인}k}k}의 이야기가 좋은 종교와 나쁜 종교를 예증했듯이, {k{k{유대인}k}k} 관례에 의거한 한결 뛰어난 결혼 예법과, {k{k{모세}k}k}의 이혼 법령을 {k{k{바리새주의}k}k}에 맞춰 해석함으로써 수치스러울 정도가 된 방종을, 그들의 이혼 풍습이 대조하여 보여줬다. {k{k{바리새인}k}k}은 가장 낮은 기준과 비교해서 자기를 판단했고, 세리는 가장 높은 이상에 비교해서 자신을 평가했다. {k{k{바리새인}k}k}에게 헌신은, 자신의 의로움을 증명하는 수단이었고, 영적으로 보장받았다는 거짓된 표시였으며;세리에게 헌신은, 회개와 고백의 필요성을 깨닫고, 자비로운 용서를 신앙으로 받아들이도록 자기 혼을 자극하는 수단이었다. {k{k{바리새인}k}k}은 정당성을 구했지만;세리는 자비를 구했다. 우주의 법칙은 이렇다:간청하라, 그러면 받을 것이요;찾아라, 그러면 발견할 것이다.
[35]| 이혼에 관해, {k{k{예수}k}k}께서는 {k{k{바리새인}k}k}과 논쟁에 빠지기는 거절했지만, 결혼을 최고의 이상{理想}으로 간주하는 긍정적 가르침을 선포했다. 결혼을 가장 이상적인 것으로, 그리고 모든 인간관계 가운데 가장 고상한 것으로 칭찬했다. 마찬가지로, 그는 {k{k{예루살렘}k}k} {k{k{유대인}k}k}의 방종하고 불공정한 이혼 관습을 강력히 반박했는데, 그들은 당시에, 음식 솜씨 없는 것, 집안을 잘 돌보지 못한 것, 또는 자신이 더_아름다운 여자에게 반했다는 이유보다 훨씬 못한, 그런 아주 하찮은 이유로 남자가 아내를 버릴 수 있도록 허용했다.
[36]| {k{k{바리새인}k}k}은, 가지각색의 이런 쉬운 이혼이 {k{k{유대인}k}k}에게, 특히 {k{k{바리새인}k}k}에게 부여된, 특별한 섭리라고 가르치기까지 했다. 그래서 {k{k{예수}k}k}께서는 결혼과 이혼에 관계된 어떤 의견도 제시하기를 거절했고, 결혼 관계의 이런 부끄럽고 경멸스런 행동을 몹시 비난했으며, 여자와 아이들에 대한 그들의 불공평함을 지적했다. 여자보다 남자에게 우선권을 주는 어떤 이혼 관습도 허용한 적이 결코 없었으며;{k{k{주님}k}k}은 남자와 여자의 평등함에 어긋나지 않는 그런 교훈에만 찬성했다.
[37]| {k{k{예수}k}k}께서는, 비록 결혼과 이혼에 적용될만한 새로운 명령을 주지는 않았더라도, {k{k{유대인}k}k}에게 그들 자신의 법률과 비교적 더 고상한 교훈에 따라서 살 것을 강조했다. 그들의 풍습이 이런 사회 계통을 따라서 발전하게 하려고, 그는 늘 성문화된 {k{k{성서}k}k}를 참조했다. {k{k{예수}k}k}께서는 결혼에 대한 고상하고 이상적인 개념을 그렇게 변호하는 동시에, 성문화된 법 또는 그들이 무척 소중하게 간직해 온 이혼 특권이 가리키는 사회 풍습에 관하여 질문하는 자들과 충돌되지 않도록 기술적으로 피했다. 
[38]| 과학, 사회, 경제, 및 정치 문제에 관해 언급하기를 확실히 피하는 {k{k{주님}k}k}의 모습을, 사도들은 매우 이해하기 힘들었다. 이 세상에서 그의 사명이 오직 영적이고 종교적인 진리의 계시에 국한된다는 것을, 그들은 충분히 깨닫지 못했다.
