[1]| 제48편{{{br}}} 모론시아 생애
[13]| {k{k{바울}k}k}은 모론시아 세계들이 실존함을, 그리고 모론시아 물질이 실체임을 알고 있었는데, 이렇게 기록했기 때문이다:“저희는 하늘에서 더 낫고 더 영속적인 실체를 갖는다.” 그리고 “{k{k{하나님}k}k}이 건축하고 만드신 기초 위에 세워진 도성”의 경우와 마찬가지로, 이 모론시아 물질은 실재하고 글자 그대로다. 그리고 기묘한 이 구체들은 각각, “더 좋은 나라, 즉 하늘의 나라다.”
[14]| {b{b{2. }b}b}{b{b{{k{k{모론시아}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{동력}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{감독관}k}k}}b}b}
[15]| 독특한 이 존재들은 오로지, 영적 에너지와 물리적 에너지 또는 약간물질 에너지의 실용적 조합을 나타내는 그런 활동에 대한 감독에만 관여한다. 그들은 오로지 모론시아 진보 사역에만 몰두한다. 과도기 체험을 겪는 동안 필사자들에 대한 사역만 많이 하기 때문이 아니라, 진보하는 모론시아 피조물을 위해서 과도기 환경을 가능하게 만들기 때문이다. 그들은, 여러 과도기 세계에서 모론시아 국면들을 지탱하고 활기를 돋우는 모론시아 동력의 경로{經路}다.
[16]| {k{k{모론시아}k}k} {k{k{동력}k}k} {k{k{감독관}k}k}들은 지방우주 {k{k{어머니}k}k} {k{k{영}k}k}의 자손이다. 그들은 다양한 지방 창조계에서 본질적으로는 약간 다름에도, 설계상으로는 제법 표준화 돼있다. 그들은 자신의 특유한 역할을 위해서 창조됐으며, 책무를 수행하기 전에 훈련받을 필요가 없다.
[17]| 첫 {k{k{모론시아}k}k} {k{k{동력}k}k} {k{k{감독관}k}k}들을 창조하는 일은, 지방우주의 첫 모론시아 세계들 중에서 어느 한 세계의 기슭에 첫 필사 생존자가 도착함과 동시에 이뤄진다. 그들은 1,000명씩 무리지어 창조되는데, 다음과 같이 구분된다:
[18]| 1. {k{k{회로}k}k} {k{k{제어자}k}k}{制御者} ----------- 400.
[19]| 2. {k{k{체계}k}k} {k{k{조정자}k}k} ------------------ 200.
[20]| 3. {k{k{행성}k}k} {k{k{관리인}k}k} ------------------ 100.
[21]| 4. {k{k{조합된}k}k} {k{k{통제관}k}k} ---------------- 100.
[22]| 5. {k{k{연락}k}k} {k{k{안정자}k}k} ----------------- 100.
[23]| 6. {k{k{선택적}k}k} {k{k{분류자}k}k} ----------------- 50.
[24]| 7. {k{k{부}k}k}{{k{k{副}k}k}} {k{k{기록원}k}k} ----------------- 50.
[25]| {k{k{동력}k}k} {k{k{감독관}k}k}들은 항상 자신이 태어난 우주에서 근무한다. 오로지 {k{k{우주}k}k} {k{k{아들}k}k}과 {k{k{우주}k}k} {k{k{영}k}k}이 공동으로 하는 영 활동만이 그들을 지시하지만, 그 외에는 전적으로 자체_통치 집단이다. 그들은 지역 체계의 첫 맨션 세계에 본부를 두는데, 거기서 물리 통제관들 및 스라빔과 긴밀하게 연합하여 일하지만, 에너지를 형태화하거나 영을 적용하는 경우에는 그들 자체의 세계에서 활동한다.
[26]| 또한 그들은 때로 진화 세계들에서 임시로 임명된 사역자로서, 초물질 현상과 관련돼 일하기도 한다. 그러나 그들은 인간거주 행성에서 근무하는 경우는 거의 없으며;또한 연방우주의 고등 훈련 세계에서 활동하지도 않는데, 한 지방우주에서 모론시아 진보를 담당하는 과도기 체제에 주로 전념한다.
[27]| 1. {i{i{{k{k{회로}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{제어자}k}k}}i}i}. 이들은 물리적 에너지와 영적 에너지를 조화시키는 독특한 존재이고, 모론시아 영역의 분리된 경로 속으로 들어가는 에너지 흐름을 제어하며, 이 회로들은 전적으로 행성에 속하지만, 한 세계로 국한된다. 모론시아 회로들은, 과도기 세계에 있는 물리적 회로 및 영적 회로와 뚜렷이 다르고, 그것들을 보충해 주며, 심지어 {k{k{사타니아}k}k} 체계와 비슷한 체계의 맨션 세계들에 활력을 주는 데에도, 수백만 명의 이 제어자들이 필요하다.
[28]| 회로 제어자들은, 물질 에너지 안에 그런 변화를 일으키고, 그 에너지가 동역자들의 통제와 규제에 복종하도록 만든다. 이 존재들은 회로를 제어할 뿐만 아니라, 모론시아 동력 발생기이기도 하다. 발전기가 대기{大氣}로부터 전류를 발생시키는 것과 아주 흡사하게, 살아있는 이 모론시아 발생기들도, 편재{遍在}하는 우주 에너지를 물질로 바꾸는 것처럼 보이며, 모론시아 감독관들은 상승하는 필사자의 육체와 생명 활동 속으로 그 물질을 엮어 넣는다.
[29]| 2. {i{i{{k{k{체계}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{조정자}k}k}}i}i}. 각각의 모론시아 세계가, 분리된 계통의 모론시아 에너지를 소유한 까닭에, 인간이 이 구체들을 상상하기는 극도로 어렵다. 그러나 필사자들은, 연속되는 과도기 구체 각각에서, 식물 생명체 및 모론시아 실존에 부속되는 다른 모든 것이, 상승하는 생존자의 발전하는 영화{靈化}에 일치하도록 점진적으로 변경되는 것을 발견하게 될 것이다. 그리고 각 세계의 에너지 체계가 그렇게 개별화 돼있으므로, 이 조정자들은, 어느 특정 집단의 관련된 구체들을 위한 실용 단위 속으로, 그런 차이 나는 여러 동력 체계를 조화시키고 혼합시키려고 활동한다.
[30]| 상승하는 필사자들은, 한 모론시아 세계에서 다른 세계로 전진함에 따라, 물리적인 것으로부터 영적인 것으로 서서히 진보하며;따라서 모론시아 구체들의 상승 등급과 모론시아 형태들의 상승 등급을 규정할 필요성이 생긴다.
[31]| 맨션 세계 상승자들이 한 구체에서 다른 구체로 지나갈 때, 진보하는 세계에 있는 체계 조정자들의 수령자{受領者}들에게로, 운송 스라빔이 그들을 인도한다. 이 독특한 여러 회당에는, 땅에서_기원된 필사자를 영접하는 첫째 세계의 부활실과 비슷한 변환실{變換室}들이 70개의 방사형 부속건물 중심에 있는데, 여기서 체계 조정자들이 피조물 형태에 필요한 변화를 능숙하게 일으킨다. 이 초기 모론시아_형태의 변화는, 완성되기까지 표준시간으로 약 7일이 소요된다.
[32]| 3. {i{i{{k{k{행성}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{관리인}k}k}}i}i}. 맨션 구체들에서 우주 본부에 이르기까지 --모론시아 직무에 관해서 말하자면-- 각 모론시아 세계는 70명의 수호자의 보호 속에 있다. 그들은 최고의 모론시아 권세를 갖는 지방 행성 협의회를 구성한다. 이 협의회는, 그 구체들에 착륙하는 모든 상승하는 피조물에게 모론시아 형태를 지을 물질을 수여하며, 상승자가 그 다음 구체로 진행할 수 있도록 만드는 그런 변화를 피조물 형태에 허락한다. 너희가 맨션 세계들을 지나간 후에는, 의식을 잃을 필요 없이, 모론시아 생애의 한 국면에서 다른 국면으로 전환될 것이다. 오직 초기 변질을 겪을 때, 그리고 한 우주에서 다른 우주로, 그리고 {k{k{하보나}k}k}에서 {k{k{낙원}k}k}으로 나중에 변환될 때에만 무의식이 수반된다.
[33]| 4. {i{i{{k{k{조합된}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{통제관}k}k}}i}i}. 매우 기계적인 이 존재들 가운데 하나가, 모론시아 세계의 각 경영 단위 중심에 항상 자리잡고 있다. 조합된 통제관은, 물리적 에너지, 영적 에너지, 및 모론시아 에너지에 민감하고, 이것들과 함께 작용하며;두 명의 체계 조정자, 네 명의 회로 제어자, 한 명의 행성 관리인, 한 명의 연락 안정자, 그리고 한 명의 부{副} 기록원 또는 한 명의 선택적 분류자가 항상 이 존재와 연합한다.
[34]| 5. {i{i{{k{k{연락}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{안정자}k}k}}i}i}. 이들은 그 영역의 물리적 및 영 세력과 관련된 모론시아 에너지를 제어하는 자다. 그들은, 모론시아 에너지가 모론시아 물질로 전환되는 것을 가능하게 한다. 모론시아 실존 조직 전체가 안정자들에게 의존한다. 그들은, 물질화가 발생하는 지점에 이르기까지 에너지 회전 속도를 낮춘다. 그러나 나는 그런 존재들의 사역에 비교하거나 설명할 수 있는 용어를 갖고 있지 못하다. 그것은 인간의 상상력을 크게 벗어난다.
[35]| 6. {i{i{{k{k{선택적}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{분류자}k}k}}i}i}. 너는 모론시아 세계의 한 부류 또는 국면으로부터 다음으로 진보하는 동안에 재_조율 또는 미리_동조돼야만 되며, 네가 모론시아 생활과의 점진적 동시성을 계속 유지하도록 만드는 것이 선택적 분류자의 과제다.
[36]| 기초 모론시아 형태의 생명과 물질은, 첫 맨션 세계부터 마지막 우주 변환 구체에 이르기까지 동일하지만, 기능상 진보는 물질적인 것으로부터 영적인 것으로 점차 확장한다. 기본적으로는 균일하지만, 연속해서 진보하고 영화{靈化}하는 창조에 대해서는, 이런 선택적 재_조율이 너를 적응시킨다. 너희가 동일한 모론시아 형태를 그대로 유지함에도, 인격 체제에서 그런 조정은 새로 창조되는 것에 상당한다.
[37]| 너는 이 검사관들의 시험을 반복적으로 받을 수 있으며, 네가 합당한 영적 성취를 등록하자마자, 그들은 네 지위가 높아졌음을 기꺼이 보증해 줄 것이다. 이런 점진적 변화는, 음식의 필요성과 수많은 다른 개인 습관에 따라서 생기는 변경과 마찬가지로, 모론시아 환경에 대해 달라진 반응을 일으킨다.
[38]| 선택적 분류자들은 또한, 연구, 가르침, 및 기타 기획사업의 목적을 위해 모론시아 인격체들을 분류하는 데 크게 쓸모가 있다. 그들은 일시적 연합에서 최고로 활동하게 될 자들을 자연스럽게 지명한다.
[39]| 7. {i{i{{k{k{부}k}k}}i}i}{i{i{{}i}i}{i{i{{k{k{副}k}k}}i}i}{i{i{}}i}i} {i{i{{k{k{기록원}k}k}}i}i}. 모론시아 세계에는 자체 기록원들이 있는데, 그들은 모론시아 창조계 고유의 기록과 기타 자료를 감독하고 보호하는 과제에, 영 기록원들과 연합해서 근무한다. 모든 계층의 인격체가 모론시아 기록을 이용할 수 있다.
[40]| 물질 존재와 영 존재가 모든 모론시아 과도기 영역에 똑같이 접근할 수 있다. 너희는 모론시아 진보자로서 물질 세계 및 물질 인격체들과 완전한 접촉을 계속 이루게 되는 한편, 너희는 영 존재들을 점점 더 알아보고 그들과 사귀게 될 것이며;모론시아 체제를 떠나게 될 때까지, {k{k{단독}k}k} {k{k{사자}k}k}들 같은 고등 유형을 제외하고, 모든 계층의 영을 보게 될 것이다.
[41]| {b{b{3. }b}b}{b{b{{k{k{모론시아}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{동무}k}k}}b}b}
[42]| 맨션 세계와 모론시아 세계에 있는 이 무리는 지방우주 {k{k{어머니}k}k} {k{k{영}k}k}의 자손이다. 그들은 여러 시대에 걸쳐서 10만 명씩 무리지어 창조됐으며, {k{k{네바돈}k}k}에는 현재 700억 명 이상의 이 독특한 존재가 있다.
[43]| {k{k{모론시아}k}k} {k{k{동무}k}k}들은, 봉사하기 위해 {k{k{살빙톤}k}k}에 가까운 어떤 특별한 행성에서 {k{k{멜기세덱}k}k}들에게 훈련 받으며;중앙의 {k{k{멜기세덱}k}k} 학교 과정은 이수하지 않는다. 그들은 체계에서 가장 낮은 맨션 세계들로부터 {k{k{살빙톤}k}k}의 가장 높은 연구{硏究} 구체들에 이르기까지 근무하지만, 인간거주 세계에서 그들과 마주치는 일은 드물다. 그들은 {k{k{하나님의}k}k} {k{k{아들}k}k}들의 일반 감독 하에, 그리고 {k{k{멜기세덱}k}k}들의 직접 지휘 하에 근무한다.
[44]| {k{k{모론시아}k}k} {k{k{동무}k}k}들은 한 지방우주에 10,000개의 본부를 --지역 체계의 첫 맨션 세계 각 곳에-- 둔다. 그들은 거의 전적으로 자체_통치하는 계층이며, 일반적으로 지성적이고 충성스런 존재의 집단이지만;때때로 어떤 불행한 천상의 반역이 있을 때마다 타락했다고 알려져 왔다. 이 유익한 피조물 중에서 수천 명이, {k{k{사타니아}k}k}에서 {k{k{루시퍼}k}k} 반역이 있었던 동안에 유실됐다. 너희의 지역 체계는 현재 이 존재의 배정된 숫자를 다 채웠는데, {k{k{루시퍼}k}k} 반역으로 결손 된 부분은 최근에 이르러서야 전부 보충됐다.
[45]| 별개의 두 유형의 {k{k{모론시아}k}k} {k{k{동무}k}k}가 존재하는데;한 유형은 적극적이고, 다른 하나는 비사교적이지만, 다른 면에서는 그들이 동일한 신분을 갖는다. 그들은 남녀 피조물이 아니지만, 서로에게 감동적으로 아름다운 애정을 나타낸다. 그리고 그들은 물질적(곧 인간적) 의미에서는 도저히 동무가 되지 않지만, 피조물 실존의 계층 면에서 보면 인간 종족과 아주 가깝다. 세상의 중도 피조물이 너희와 가장 가까운 친척이며;그 다음에는 모론시아 체루빔이고, 그 다음이 {k{k{모론시아}k}k} {k{k{동무}k}k}들이다.
[46]| 이 동무들은 감동적으로 애정이 깊고, 매력적으로 사회적인 존재다. 그들은 뚜렷한 인격을 소유하며, 너희가 맨션 세계들에서 그들을 만나게 될 때, 그들을 한 계층으로 인식하기를 배운 후에, 곧 그들의 개체성을 식별하게 될 것이다. 필사자는 모두 서로 비슷하며;동시에 너희는 각자 독특하면서도 알아볼 수 있는 인격을 소유한다.
[47]| 한 지역 체계에서 이 {k{k{모론시아}k}k} {k{k{동무}k}k}들의 활동에 관한 다음과 같은 분류로부터, 그들이 하는 업무의 본질에 대한 어떤 관념을 추론할 수 있다:
[48]| 1. {i{i{{k{k{순례자}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{관리인}k}k}}i}i}들은 모론시아 진보자들과 연합할 때 특별한 임무에 배정되지 않는다. 이 동무들은 모론시아 생애 전체를 책임지며, 따라서 다른 모론시아 사역자와 과도기 사역자 전체의 업무를 조정한다.
[49]| 2. {i{i{{k{k{순례자를}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{영접하는}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{자와}k}k}}i}i}{i{i{,}i}i} {i{i{{k{k{자유롭게}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{어울리는}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{자}k}k}}i}i}. 이들은 맨션 세계들에 새로 도착한 자들과 교제하는 동무다. 네가 시간세계에서 처음으로 변환을 위해 잠들었다가 첫 맨션 세계에서 깨어났을 때, 즉 네 육신이 죽은 후에 모론시아 생애로 들어가는 부활을 체험했을 때, 그들 가운데 하나가 너를 환영하려고 틀림없이 네 곁에 있을 것이다. 그리고 네가 깨어나면서 그렇게 공식적으로 환영 받은 때부터, 첫_단계 영으로서 지방우주를 떠나게 되는 날까지, 이 {k{k{모론시아}k}k} {k{k{동무}k}k}가 항상 너와 함께 있다.
[50]| {k{k{동무}k}k}는 개인에게 영구히 배정되지는 않는다. 맨션 세계 또는 그보다 높은 세계에 있는 상승하는 필사자는, 이어지는 각각의 경우마다 다른 동무를 가질 수 있으며, 동무 없이 오랫동안 지낼지도 모른다. 그것은 모두 필요에 따라서 이뤄지며, 또한 가능한 동무의 공급량에 따라서 이뤄질 것이다.
[51]| 3. {i{i{{k{k{천상의}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{방문자들을}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{영접하는}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{자}k}k}}i}i}. 친절한 이 존재들은, 과도기 세계에 우연히 머물게 된, 초월_인간 집단의 학생 방문자 및 기타 천상의 존재들을 영접하는 일에 전념한다. 너는 자신이 체험함으로 달성했던 어떤 영역이든지 방문할 수 있는 충분한 기회를 갖게 된다. 학생 방문자는, 모든 인간거주 행성, 심지어 격리된 행성도 방문할 수 있다.
[52]| 4. {i{i{{k{k{협조자}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{및}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{연락}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{지휘자}k}k}}i}i}. 이 동무들은, 모론시아 교제를 촉진시키기에, 그리고 혼란을 예방하기에 전념한다. 그들은 사회적 행실과 모론시아 진보를 가르치는 자인데, 상승하는 필사자들 가운데서 학습 시간 및 기타 집단 활동을 후원한다. 그들은 광대한 지역을 유지하며, 거기서 학생을 모으고 그들의 계획표를 꾸미기 위해, 때때로 천상의 기능공과 회고 지휘자들을 소집한다. 너희가 진보함에 따라서, 이 동무들과 긴밀히 접촉하게 될 것이며, 이 두 집단을 대단히 좋아하게 될 것이다. 너희가 적극적인 유형의 동무와 연합할 것인가, 또는 비사교적 유형의 동무와 연합할 것인가는, 우연의 문제다.
[53]| 5. {i{i{{k{k{통역관과}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{번역관}k}k}}i}i}. 초기 맨소니아 생애에서, 너희는 통역관과 번역관에게 종종 의지하게 될 것이다. 그들은 한 지방우주의 모든 언어를 알고 말하며;그 영역에서 어학에 능통한 자다.
[54]| 너희는 새 언어를 자동으로 습득하지는 못할 것이며;여기서 하듯이 거기서도 한 언어를 배울 것이고, 이 훌륭한 존재들이 너희의 언어 교사가 될 것이다. 맨션 세계에서 첫 학습은 {k{k{사타니아}k}k} 방언이고, 그 다음에는 {k{k{네바돈}k}k} 언어일 것이다. 그리고 너희가 새로운 이 방언들을 습득하는 동안, {k{k{모론시아}k}k} {k{k{동무}k}k}들은 너희의 유능한 통역관 및 인내심 있는 번역관이 될 것이다. {k{k{모론시아}k}k} {k{k{동무}k}k}들 중에서 누군가가 통역관 직무를 수행하지 않고서, 너희가 이 세계들 가운데 어디서든지 방문자를 만나는 일은 결코 없을 것이다.
[55]| 6. {i{i{{k{k{소풍}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{및}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{회고}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{감독관}k}k}}i}i}. 이 동무들은, 본부 구체로 가는, 그리고 둘러싼 과도기 문화 세계들로 가는 긴 여행을 할 때, 너희와 동행할 것이다. 그들은 체계의 여러 훈련 세계와 문화 세계들을 돌아다니는, 그런 모든 개별 및 집단 여행을 계획하고 운영하고 감독한다.
[56]| 7. {i{i{{k{k{지역}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{및}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{건물}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{관리자}k}k}}i}i}. 너희가 맨소니아 생애에서 진보하는 동안에, 물질 구조와 모론시아 구조조차 점점 더 완비되고 웅장해진다. 개인으로서 그리고 집단으로서, 너희는 다른 맨션 세계에 머물 본부로 배정된 거주지에서, 어떤 변화를 일으키도록 허락돼 있다. 이 여러 구체에서 대부분의 활동은, 다양하게 지정된 원형, 정사각형, 및 삼각형으로 된 열린 구역 울타리 안에서 일어난다. 대다수의 맨션 세계 구조물은 지붕이 없는데, 웅장하게 건축되고 절묘하게 장식된, 울타리 친 구역이다. 건축양식 세계들에 퍼져있는 기후를 비롯해서 기타 물리적 환경들이 지붕을 전혀 필요 없게 만든다.
[57]| 상승자 생애의 과도기 국면들을 관리하는 이들이, 모론시아 직무 관리에서 주권을 갖는다. 그들은 이 일을 위해서 창조됐고, {k{k{지존하신}k}k} {k{k{분}k}k}의 실제화가 미결 상태에 있기 때문에, 그들은 항상 {k{k{모론시아}k}k} {k{k{동무}k}k}로서 남아 있으며;결코 다른 임무를 수행하지 않는다.
[58]| 체계와 우주들이 빛과 생명 속에 안착하게 되면, 맨션 세계들은 모론시아 훈련을 맡은 과도기 구체로서 작동하기를 차츰 멈추게 된다. 완결성취자들이 자신의 새로운 훈련 체제를 점점 더 설립하게 되는데, 이것은 시공우주 의식{意識}을 현재의 광우주 수준으로부터 미래의 바깥 우주들 수준으로 전환시키려고 고안된 것처럼 보인다. {k{k{모론시아}k}k} {k{k{동무}k}k}들은, 갈수록 더 완결성취자들과 연합해서 활약하고, 현재 {k{k{유란시아}k}k}에 계시되지 않은 수많은 다른 영역에서 활약하도록 돼있다.
[59]| 네가 머무는 기간이 길든지 짧든지 상관없이, 맨션 세계들에서 누리는 너의 즐거움에 이 존재들이 아마 많이 기여하게 돼있을 것이라고 예상할 수 있다. 그리고 너는 {k{k{살빙톤}k}k}에 이르는 모든 과정에서 그들과 계속 교제할 것이다. 엄밀하게 보면, 그들은 너의 생존 체험 가운데 어느 부분에도 필수적인 존재가 아니다. 너는 그들 없이도 {k{k{살빙톤}k}k}에 도달할 수 있지만, 그들을 크게 아쉬워할 것이다. 그들은 네가 지방우주에서 상승하는 생애 동안에 인격체가 누릴 사치품이다.
[60]| {b{b{4. }b}b}{b{b{{k{k{회고}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{지휘자}k}k}}b}b}
[61]| 기쁜 환희와 미소_비슷한 것들은 음악만큼 보편적이다. 환희와 웃음에 상당하는 모론시아 상태와 영적 상태가 있다. 상승자의 생활은, 업무와 놀이--곧 임무로부터 해제됨--에 거의 똑같이 배분된다.
[62]| 천상의 휴식과 초인간적 유머는, 그것에 해당하는 인간적 유사물과 매우 다르지만, 양쪽에 속하는 어떤 형태에 우리 모두 실제로 만족하며;이것들은, 이상적인 유머가 {k{k{유란시아}k}k}에서 너희에게 해줄 수 있는 것과 거의 동일한 것을, 우리 상태에서 우리를 위해 실제로 성취한다. {k{k{모론시아}k}k} {k{k{동무}k}k}들은 능숙하게 놀이를 후원하며, 회고{回顧} 지휘자들이 그들을 매우 훌륭하게 후원한다.
[63]| 회고 지휘자를 {k{k{유란시아}k}k}에 있는 높은 유형의 익살꾼에 비유한다면, 아마 너희가 그들의 역할을 잘 이해하겠지만, 그렇더라도, 변화와 휴식에 대한 이 지휘자들, 즉 모론시아 및 영 영역의 고양된 유머를 지휘하는 자들의 기능에 대한 어떤 관념을 옮기려고 애쓸 때, 이것은 지극히 유치하고 어느 정도 유감스런 방법일 것이다.
[64]| 영 유머를 거론하면서, 먼저 너희에게 말해야 할 것은, 무엇이 영 유머가 {i{i{아닌가}i}i} 하는 점이다. 영적 농담은 결코, 열등하거나 잘못을 저지른 자의 불운을 변질시켜서 돋보이게 만들지 않는다. 또한 신성{神性}의 정의와 영광을 모독하지도 않는다. 우리 유머는, 일반적인 세 가지 인식 수준을 포함한다:
[65]| 1. {i{i{추억에}i}i} {i{i{잠기는}i}i} {i{i{농담}i}i}. 투쟁, 갈등, 및 흔히 두려움을 체험했던 과거 사건들에 대한 기억, 그리고 종종 바보스럽고 유치하게 근심했던 기억에서 나오는 우스갯소리. 우리에게, 이 국면의 유머는, 과거를 기억 재료로 이용하는, 뿌리_깊지만 지속적인 역량에서 나오는데, 그 기억 재료로 오늘의 무거운 짐에 즐거움이라는 맛을 곁들이고, 달리 그 짐을 가볍게 만든다.
[66]| 2. {i{i{현재의}i}i} {i{i{유머}i}i}. 매우 종종 우리에게 심각한 염려를 불러일으킨 것들 대부분이, 어리석고, 개인적으로 우리에게 심각한 근심 대부분이 하찮은 것임을 깨닫는 기쁨. 우리가 미래의 확실성을 확신하면서 현재의 근심거리를 최대한 무시할 수 있을 때, 이 국면의 유머를 가장 고마워한다.
