[1]| 제158편{{{br}}} 변형되신 산
[14]| 세 사도는 너무 놀란 나머지, 정신을 차리는 데 시간이 걸렸으나, 그 눈부신 광경이 그들 앞에서 사라지고 {k{k{예수}k}k}만 홀로 서 있음을 보자, {k{k{베드로}k}k}가 맨 먼저 정신을 차리고 말했다:“{k{k{예수님}k}k}, {k{k{주님}k}k}, 여기 있는 것이 좋습니다. 우리가 이 영광을 보니 기쁘기 한량없습니다. 우리는 영화롭지 못한 세상으로 돌아가기 싫습니다. 원하신다면, 우리로 여기 머물게 하십시오, 그러면 우리가 세 개의 장막을 짓되, 하나는 당신을 위해, 하나는 {k{k{모세}k}k}를 위해, 또 하나는 {k{k{엘리야}k}k}를 위해 짓겠습니다.” {k{k{베드로}k}k}는 자신의 혼동 때문에, 그리고 바로 그 순간 다른 어떤 것도 생각나지 않았으므로 이렇게 말했다.
[15]| {k{k{베드로}k}k}가 아직 말을 마치지 않았을 때, 은빛 구름이 가까이 다가와서 그들 네 명 위에 드리웠다. 이때 너무 놀란 사도들이 땅에 엎드려 경배할 때, {k{k{예수}k}k}께서 세례 받으실 때 들렸던 것과 동일한 음성을 들었다:“이는 내 사랑하는 {k{k{아들}k}k}이니;그의 말을 명심하라.” 그리고 구름이 사라지자, {k{k{예수}k}k}와 세 명 외에는 아무도 없었으며, 그들에게 다가와서 손대며 말씀했다:“일어나라, 그리고 두려워 말라;이보다 더 큰 것들을 너희가 보게 될 것이다.” 그러나 사도들은 정말로 두려워했으며;자정이 되기 직전에 산을 내려가려고 준비하는 동안, 그들 세 명은 아무 말도 하지 못하고 생각에 잠겼다.
[16]| {b{b{2. }b}b}{b{b{{k{k{산에서}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{내려옴}k}k}}b}b}
[17]| 산을 반쯤 내려오는 동안, 그들은 한 마디 말도 없었다. 그때 {k{k{예수}k}k}께서 주의를 주는 말씀으로 대화를 시작했다:“{k{k{사람의}k}k} {k{k{아들}k}k}이 죽었다가 다시 살아날 때까지는, 이 산에서 너희가 보고 들은 것을 아무에게도, 심지어 너희 형제에게도 말하지 말라.” 세 사도는, “{k{k{사람의}k}k} {k{k{아들}k}k}이 죽었다가 다시 살아나기까지”라고 {k{k{주님}k}k}께서 말씀하는 것에 크게 당황하고 충격 받았다. {k{k{예수}k}k}가 {k{k{구원주}k}k}, 즉 {k{k{하나님의}k}k} {k{k{아들}k}k}이라고 믿는 신앙이 그들에게 다시 생긴 것은 아주 최근이었고, 방금 전에는 바로 자신의 눈으로 영광 중에 변형되신 {k{k{주님}k}k}을 봤는데, 이제는 “죽었다가 살아날 것”에 관해 말씀하기 시작하다니!
[18]| {k{k{베드로}k}k}는 {k{k{주님}k}k}이 죽으실 것이라는 생각에 몹시 떨었으며--즉 생각조차 하기 싫었으며-- {k{k{야고보}k}k}나 {k{k{요한}k}k}이 이 말씀에 관련된 질문을 할까봐 두려운 나머지, 대화를 다른 데로 돌리는 것이 상책이라고 생각했지만, 다르게 이야기할 것을 찾지 못했으므로, 마음에 처음 떠오른 생각을 말했는데, “{k{k{주님}k}k}, 왜 서기관들은 {k{k{메시야}k}k}가 나타나기 전에 {k{k{엘리야}k}k}가 먼저 와야 한다고 말합니까?”라고 질문했다. 그리고 {k{k{예수}k}k}께서는 자신의 죽음과 부활에 대한 언급을 {k{k{베드로}k}k}가 회피하려 한다는 것을 알고 대답했다. “많은 고통을 받아야 하고 결국 버림받는 {k{k{사람의}k}k} {k{k{아들}k}k}의 길을 예비하기 위해, {k{k{엘리야}k}k}가 정말로 먼저 온다. 그러나 너희에게 말하겠는데, {k{k{엘리야}k}k}가 이미 왔고, 그들은 그를 용납하지 않았을 뿐만 아니라, 자신들이 원하는 바를 그에게 행했다.” 그러자 세 사도는 {k{k{예수}k}k}께서 {k{k{세례}k}k} {k{k{요한}k}k}을 {k{k{엘리야}k}k}로 말씀하고 있음을 감지했다. {k{k{예수}k}k}께서는, 자신을 {k{k{메시야}k}k}라고 그들이 고집한다면, {k{k{요한}k}k}이 예언서의 {k{k{엘리야}k}k}가 돼야 한다는 것을 알았다.
[19]| {k{k{예수}k}k}께서 부활하신 후에 얻게 될 자신의 영광을 미리 맛 본 사실에 대해 그들에게 침묵하도록 명한 것은, 지금 {k{k{메시야}k}k}로 받아들이고 있으므로, 그가 이적을_베푸는 구원자라는 그들의 잘못된 개념을 조금이라도 실현시키리라는 생각을 키워주고 싶지 않았기 때문이다. {k{k{베드로}k}k}, {k{k{야고보}k}k}, 및 {k{k{요한}k}k}은 이 모든 것을 마음 속으로 깊이 숙고했지만, {k{k{주님}k}k}이 부활할 때까지 아무에게도 이야기하지 않았다.
[20]| 그들이 산을 계속 내려오는 동안, {k{k{예수}k}k}께서 그들에게 말씀했다:“너희는 나를 {k{k{사람의}k}k} {k{k{아들}k}k}로 받아들이지 않으려 할 것이며;그래서 너희의 변치 않는 결정에 따라 나를 받아들이도록 허락은 했지만, 그러나 오해하지 말라, 내 {k{k{아버지}k}k} 뜻이 반드시 승리할 것이다. 너희가 자신의 의지의 경향에 따라서 그렇게 선택한다면, 너희는 반드시 많은 실망을 체험하고, 많은 시험을 당할 준비를 해야 하지만, 내가 너희를 훈련시킨 것은, 너희 스스로 선택한 이 슬픔조차 이겨내게 하고, 너희를 승리로 이끌기에 충분할 것이다.”
[21]| {k{k{예수}k}k}께서 {k{k{베드로}k}k}, {k{k{야고보}k}k}, 및 {k{k{요한}k}k}을 데리고 변형되신 산에 올라갔던 것은, 그들이 어떤 면에서든지 다른 사도들보다 잘 준비돼서, 일어날 일을 잘 증거 할 것이기 때문에, 또는 그런 드문 특권을 누리기에 영적으로 더 적당했기 때문이 결코 아니었다. 천만의 말씀이다. 그는 열두 사도 가운데 누구도 이 체험을 할 만한 자격을 영적으로 갖추고 있지 못하다는 것을 잘 알았으며;그렇기 때문에 그는, 혼자만의 교류를 누리기 위해 홀로 있고 싶을 때마다 동행하도록 배정된 세 사도만 데리고 갔던 것이다.
[22]| {b{b{3. }b}b}{b{b{{k{k{변형되심의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{의미}k}k}}b}b}
[23]| 변형되신 산에서 {k{k{베드로}k}k}, {k{k{야고보}k}k}, 및 {k{k{요한}k}k}이 목격한 것은, 그 중대한 날에 {k{k{헤르몬}k}k} {k{k{산}k}k}에서 일어난 천상의 야외극{野外劇}을 잠깐 스쳐 지나가며 본 것에 불과했다. 그 변형은 다음과 같은 경우였다:
[24]| 1. {k{k{유란시아}k}k}에서 {k{k{미가엘}k}k}이 육신화한 증여 생애가 완성됐음을, {k{k{낙원}k}k}에 계신, {k{k{어머니}k}k}이신_{k{k{영원한}k}k} {k{k{아들}k}k}이 승인한 것이었다. {k{k{영원한}k}k} {k{k{아들}k}k}의 요구조건을 고려하는 한, {k{k{예수}k}k}께서는 이제 그 조건을 만족시켰다는 보증을 받았다. 그리고 {k{k{가브리엘}k}k}이 그 보증을 {k{k{예수}k}k}께 전했다.
[25]| 2. 필사자 육신의 모습을 입고 {k{k{유란시아}k}k}에서 증여를 완성함에 따라, {k{k{무한한}k}k} {k{k{영}k}k}이 만족해하신다는 증언이었다. {k{k{무한한}k}k} {k{k{영}k}k}의 우주 대표자, 즉 {k{k{살빙톤}k}k}에 있는 {k{k{미가엘}k}k}의 가까운 동역자이자 항상_같이하는 동역자가, 이 경우에 {k{k{아버지}k}k} {k{k{멜기세덱}k}k}을 통해서 말씀했다.
[26]| {k{k{예수}k}k}는, 이 세상에서 자신의 사명이 성공했음에 관해, {k{k{영원한}k}k} {k{k{아들}k}k}과 {k{k{무한한}k}k} {k{k{영}k}k}의 사자들이 제시한 이 증언을 반갑게 받아들였지만, {k{k{아버지}k}k}께서 {k{k{유란시아}k}k} 증여가 이미 끝났다고 말씀하시지는 않은 것에 주목했으며;{k{k{아버지}k}k}의 보이지 않는 현존만이 {k{k{예수}k}k}의 {k{k{인격화된}k}k} {k{k{조율사}k}k}를 통해서 증언을 전했는데, “이는 내 사랑하는 {k{k{아들}k}k}이니;그의 말을 명심하라”고 말씀했다. 그리고 이것은 세 사도 역시 들을 수 있는 말로 전달됐다.
[27]| 이 천상의 방문이 있은 다음에, {k{k{예수}k}k}께서는 {k{k{아버지}k}k} 뜻을 분별하고자 애썼으며, 자연스럽게 끝날 때까지 필사자 증여를 계속하기로 결정했다. {k{k{예수}k}k}께는 이것이 변형되심의 주요 의미였다. 세 사도에게 그 변형은, {k{k{주님}k}k}이 {k{k{하나님의}k}k} {k{k{아들}k}k}인 동시에 {k{k{사람의}k}k} {k{k{아들}k}k}로서, 이 세상 생애의 마지막 국면에 들어갔음을 표시하는 사건이었다.
[28]| {k{k{가브리엘}k}k}과 {k{k{아버지}k}k} {k{k{멜기세덱}k}k}의 공식 방문이 있은 다음에, {k{k{예수}k}k}께서는 그들, 곧 봉사하는 자기 {k{k{아들}k}k}들과 비공식 대화를 나눴고, 우주 직무에 관해 이야기를 나눴다.
[29]| {b{b{4. }b}b}{b{b{{k{k{간질병에}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{걸린}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{소년}k}k}}b}b}
[30]| {k{k{예수}k}k}와 동행자들이 사도 야영지에 도착한 것은, 이 화요일 아침 식사시간 직전이었다. 가까이 다가갈 때, 그들은 상당한 인파가 사도들 주변에 몰려있음을 발견했고, 곧 50명쯤 되는 사람이 큰 소리로 다투면서 쟁론하는 소리를 듣게 됐는데, 그들 중에는 아홉 명의 사도와 한 무리가 포함돼 있었고, 그 무리는 {k{k{마가단}k}k}으로부터 여행할 때 {k{k{예수}k}k}와 동역자들을 따라왔던 {k{k{예루살렘}k}k} 서기관들과 믿는 제자들로 반씩 갈라져 있었다. 
[31]| 인파는 여러 가지로 쟁론했지만, 주된 논쟁은 {k{k{예수}k}k}를 찾아서 전날 도착했던 {k{k{디베랴}k}k}에 사는 어떤 사람에 관한 것이었다. 이 사람은 {k{k{사페드}k}k}의 {k{k{야고보}k}k}인데, 그에게는 열네 살쯤 되는 외동아들이 있었고, 이 아들은 간질병으로 심하게 고난당하고 있었다. 이 소년은 이 신경성 질병 외에도, 그때 지구상에 현존하면서 통제되지 않는, 떠돌아다니면서 화를 미치고 반역적인 그 중도자들 가운데 하나에게 사로잡히게 됐으며, 그리하여 이 어린아이는 간질병에 걸릴 뿐만 아니라 귀신_들려 있었다.
[32]| 이 아이의 {k{k{아버지}k}k}는 {k{k{헤롯}k}k} {k{k{안티파스}k}k} 정부의 하위직 공무원이었고, 고난당하는 이 아들을 {k{k{예수}k}k}께서 고칠 수 있다고 생각하여, 그를 찾기 위해 거의 두 주 동안 {k{k{빌립}k}k}의 영지{領地} 서쪽 경계선을 따라서 열정을 갖고 두루 찾아다녔다. 그리고 그는 {k{k{예수}k}k}께서 세 사도와 함께 산에 올라가 있던 이날 정오까지도 사도 일행을 따라잡지 못했다.
[33]| {k{k{예수}k}k}를 찾고 있는 거의 40명이나 되는 다른 사람과 함께 이 사람이 갑자기 나타났을 때, 아홉 사도는 몹시 놀라고 심히 동요됐다. 이 무리가 도착했을 때, 아홉 사도는, 적어도 그들 대부분은, 이전에 가졌던 유혹--즉 앞으로 이뤄질 천국에서 누가 클 것인지 의논하는 유혹--에 굴복하고 말았는데;사도 각자에게 어떤 지위가 주어질 것인가에 대해 열심히 쟁론하고 있었다. 그들은 솔직히 {k{k{메시야}k}k}의 물질적 사명에 대해 오랫동안 신봉했던 관념에서 완전히 벗어날 수 없었다. 그리고 이제 {k{k{예수}k}k}가 정말로 {k{k{구원주}k}k}라고 그들이 고백하는 것을 {k{k{예수}k}k} 자신이 용납했으니--적어도 그의 신성{神性}에 대한 사실은 그가 인정했으니--, {k{k{주님}k}k}으로부터 떨어져 있는 이 기간에, 그들의 마음 속에 떠올랐던 기대감과 대망에 관한 대화에 몰두할 수밖에 없었던 그 상황은 아주 자연스런 것이었다. 그리고 {k{k{예수}k}k}를 찾는 {k{k{사페드}k}k}의 {k{k{야고보}k}k}와 동료들이 그들에게 왔을 때, 그들은 이 문제를 토론하기에 열중하고 있었다.
[34]| {k{k{안드레}k}k}가 이 아버지와 아들을 환영하기 위해 다가와서 말했다;“누구를 찾으십니까?” {k{k{야고보}k}k}가 대답했다:“선한 분이시여, 나는 당신의 {k{k{주님}k}k}을 찾고 있습니다. 고난당하는 내 아들을 치유하려고 합니다. 내 아들을 사로잡고 있는 이 마귀를 {k{k{예수}k}k}께서 쫓아 주시기 원합니다.” 이어서 그 아버지는, 아들이 심하게 발작한 결과로 너무나 고난당해서 여러 번 거의 생명을 잃을 뻔했다는 것을, 사도들에게 계속 설명했다.
[35]| 사도들이 듣고 있을 때, {k{k{열심당}k}k} {k{k{시몬}k}k}과 {k{k{가룟}k}k} {k{k{유다}k}k}가 아이의 아버지 앞으로 나서면서 말했다:“우리가 그 아이를 치유할 수 있으니;당신들은 {k{k{주님}k}k}이 돌아오시기까지 기다리지 않아도 됩니다. 우리가 바로 천국의 대사이며;우리는 이것을 더 이상 숨기지 않겠습니다. {k{k{예수}k}k}께서 {k{k{구원주}k}k}시고, 천국 열쇠들을 우리에게 주셨습니다.” {k{k{안드레}k}k}와 {k{k{도마}k}k}는 이때까지 한 쪽에서 의논하고 있었다. {k{k{나다니엘}k}k}과 다른 사도들은 놀라서 지켜봤으며;무례한 행동은 아닐지라도 {k{k{시몬}k}k}과 {k{k{유다}k}k}의 갑작스런 대담성에 모두 아연실색하고 있었다. 그때 아이의 {k{k{아버지}k}k}가 말했다:“당신들에게도 이 일을 할 수 있는 능력이 주어졌다면, 이 속박에서 내 아이를 구출해 줄 수 있는 말로 명해 주시기를 원합니다.” 그러자 {k{k{시몬}k}k}이 앞으로 나서면서, 아이의 머리 위에 손을 얹고 그의 눈을 똑바로 쳐다보면서 명령했다. “너 더러운 영아 그에게서 나오라;{k{k{예수}k}k}의 이름으로 내 말에 복종하라.” 그러나 아이는 더 격렬하게 발작할 뿐이었고, 서기관들은 조소하면서 사도들을 조롱했으며, 실망한 신자들은 비협조적으로 비판하는 이 빈정거림을 그대로 당할 수밖에 없었다.
[36]| {k{k{안드레}k}k}는 이 무분별한 수고와 참담한 실패에 깊이 통분했다. 그는 같이 의논하고 기도하려고 사도들을 따로 불렀다. 이렇게 잠시 묵상한 뒤에, 자신들의 실패에 대한 상처를 예민하게 느끼고, 자신들 모두에게 굴욕감이 남아 있음을 알면서도, {k{k{안드레}k}k}가 귀신을 쫓아내고자 두 번째 시도를 했지만, 결국 그의 수고도 허사였다. {k{k{안드레}k}k}는 솔직히 실패를 인정하고, 아이의 아버지가 하루 더 머물거나, 아니면 {k{k{예수}k}k}께서 돌아올 때까지 기다리라고 권유하면서 말했다:“아마 이런 종류는 {k{k{주님}k}k}이 몸소 명령해야만 쫓겨날 것 같습니다.”
[37]| 그리하여, 원기 넘치고 황홀경에 빠진, {k{k{베드로}k}k}, {k{k{야고보}k}k}, 및 {k{k{요한}k}k}과 함께 {k{k{예수}k}k}께서 산에서 내려오는 동안, 다른 아홉 형제는 혼돈과 기가 꺾인 굴욕감 속에서 마찬가지로 잠을 이루지 못했다. 그들은 낙심되고 징벌 받은 집단 같았다. 그러나 {k{k{사페드}k}k}의 {k{k{야고보}k}k}는 포기하려 하지 않았다. 비록 {k{k{예수}k}k}께서 언제쯤 돌아올 것이라는 대답을 사도들로부터 듣지 못했으나, 그는 {k{k{주님}k}k}이 돌아올 때까지 기다리기로 작정했다.
[38]| {b{b{5. }b}b}{b{b{{k{k{예수께서}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{아이를}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{치유하심}k}k}}b}b}
[39]| {k{k{예수}k}k}께서 가까이 오자, 아홉 사도는 무척 안심하면서 그를 환영했으며, {k{k{베드로}k}k}, {k{k{야고보}k}k}, 그리고 {k{k{요한}k}k}의 표정에서 활력과 보기 드문 열정을 보고, 더욱 용기를 얻었다. 그들은 세 형제와 {k{k{예수}k}k}께 인사하기 위해 달려 나갔다. 그들이 인사하는 동안 인파가 다가왔고, {k{k{예수}k}k}께서 물었다:“우리가 가까이 올 때 너희가 무슨 일로 논쟁했느냐?” 그러나 당황하고 낙심한 사도들이 {k{k{주님}k}k}의 질문에 대답할 겨를도 없이, 고난당하는 아이를 염려하는 그 아버지가 나아와서, {k{k{예수}k}k}의 발 앞에 무릎을 꿇고 말했다:“{k{k{주님}k}k}, 내게 하나뿐인 아들이 있는데, 악한 영에 사로잡혔습니다. 아이가 놀라서 소리 지르고, 입에 거품을 품으며, 발작할 때에는 죽은 사람처럼 넘어질 뿐만 아니라, 이 악한 영이 자주 아이를 사로잡아서 경련을 일으키게 하고 어떤 때에는 물속으로 그리고 심지어 불 속에 넣기도 합니다. 이를 한참 갈며 많은 상처를 입은 후에야 기진맥진합니다. 죽는 것이 차라리 나을 정도이며;아이의 어머니와 나는 너무 슬퍼서 가슴이 찢어질듯 합니다. 당신을 찾다가, 어제 오후에 당신의 제자들을 따라잡았는데, 기다리는 동안 당신의 사도들이 이 귀신을 쫓아내려고 애썼지만, 할 수 없었습니다. {k{k{주님}k}k}, 이제는 당신이 우리를 위해 이것을 해 주시겠습니까? 내 아들을 치유해주시렵니까?
[40]| {k{k{예수}k}k}께서는 자세한 이야기를 들은 후에, 무릎 꿇고 있는 아버지에게 손을 얹고 일어나라 명하면서 가까이 있는 사도들을 자세히 둘러봤다. 그러면서 {k{k{예수}k}k}께서는 앞에 서 있는 모두에게 말씀했다:“오 신앙이 없고 패역한 세대여! 내가 얼마나 더 너희를 참아야 하겠느냐? 내가 얼마나 더 너희와 함께 있어야 하겠느냐? 신앙의 효과가, 의심하면서 내리는 명령에는 반응하여 나타나지 않는다는 것을 배우기까지, 얼마나 오래 걸려야 하겠느냐?” 그리고 나서, {k{k{예수}k}k}께서는 어쩔 줄 모르는 아버지를 가리키며 말씀했다:“네 아들을 여기로 데려 오라.” 그리고 {k{k{야고보}k}k}가 아이를 {k{k{예수}k}k} 앞에 데려오자:“소년이 얼마나 오랫동안 이렇게 고난당했느냐?”고 물었다. 아버지가 대답했다:“아이가 아주 어려서부터입니다.” 그들이 이야기하고 있을 때, 아이는 심한 공격을 당해서 무리 가운데 쓰러졌고며, 이를 갈면서 입에 거품을 물었다. 격렬한 발작이 끝나자, 그들 앞에서 마치 죽은 아이처럼 누웠다. 그러자 아버지는 다시 {k{k{예수}k}k}의 발 앞에 무릎을 꿇고 {k{k{주님}k}k}께 애원하며 말했다:“당신이 내 아이를 고치실 수 있거든, 우리를 측은히 여기셔서, 이 고난에서 우리를 구출해 주십시오.” 이 말을 듣자, {k{k{예수}k}k}께서는 아버지의 근심하는 얼굴을 내려다보며 말씀했다:“내 {k{k{아버지}k}k}의 사랑의 능력을 의심하지 말고, 오직 네신앙의 정직성과 그 한계를 의심해 보라. 진실로 믿는 자에게는 모든 것이 가능하다.” 그때 {k{k{사페드}k}k}의 {k{k{야고보}k}k}는, 신앙과 의심이 뒤섞인 오랫동안 기억될만한 말을 했다:“{k{k{주님}k}k} 내가 믿습니다. 나의 믿음 없음을 도와주시기 바랍니다.”
[41]| {k{k{예수}k}k}께서는 이 말을 듣고, 앞으로 다가가서 아이를 손으로 붙잡고 말씀했다:“내 {k{k{아버지}k}k} 뜻에 따라서, 그리고 살아있는 신앙에 경의를 표하여 이 일을 행하고자 한다. 얘야, 일어나라! 불순종의 영아 그에게서 나와 다시는 그에게로 돌아가지 말라.” 그리고 아이의 손을 아버지 손에 쥐어 주며 말씀했다:“네 길을 가라. {k{k{아버지}k}k}께서 네 혼의 소망을 들어주셨다.” 거기에 있던 모든 사람은, 심지어 {k{k{예수}k}k}의 적들도, 그 광경을 보고 깜짝 놀랐다.
[42]| 변형되신 광경과 체험으로 영적 황홀경을 맛본지 얼마 되지 않는 세 사도에게, 그것은 정말로 환상에서 깨어나, 동료 사도들이 당황하고 좌절하는 이 장면으로 신속히 돌아오게 하는 사건이었다. 그러나 천국의 이 열두 대사에게는 늘 이런 식이었다. 그들은 자신의 인생 체험에서 의기양양함과 좌절 사이에서 계속 오락가락했다.
