[1]| 제110편{{{br}}} 조율사와 개별 필사자의 관계
[13]| {k{k{사고}k}k} {k{k{조율사}k}k}는 인간 정신에 내주할 때, 자신이 그리고 {k{k{디비닝톤}k}k}에 있는 {k{k{인격화된}k}k} {k{k{조율사}k}k}들이 결정하고 미리 정한 대로, 모범적 생애, 즉 이상적 삶을 가져오는데, 이것은 {k{k{유란시아}k}k}의 {k{k{인격화된}k}k} {k{k{조율사}k}k}의 보증을 받았다. 그래서 {k{k{조율사}k}k}들은, 그의 인간 상대자가 지적 및 영적으로 발전하도록 뚜렷하고 미리 정해진 계획을 갖고 일을 시작하지만, 어떤 인간도 이 계획을 의무적으로 받아들이도록 돼있지는 않다. 너희는 모두 예정에 대한 주체{主體}이지만, 너희가 이 신성한 예정을 반드시 받아들이도록 정해져 있지는 않으며;{k{k{사고}k}k} {k{k{조율사}k}k}의 계획표 가운데 전부 또는 일부를 얼마든지 거부할 수 있는 완전한 자유가 너희에게 있다. 너희가 기꺼이 영리하게 허락하는 대로, 인격의 방향설정에 그들이 더 많은 영향력을 행사하기에 이르기까지, 영적 조정을 하고 정신이 바뀌도록 하는 것이 그들의 사명이지만;어떤 상황에서도 이 신성한 {k{k{관찰자}k}k}들은 너를 이용하거나, 아니면 네가 선택하고 결정할 때 어떤 방법으로도 임의로 너에게 영향을 주지 못한다. {k{k{조율사}k}k}는 네 인격의 주권을 존중하며;{i{i{네}i}i} {i{i{뜻에}i}i} {i{i{항상}i}i} {i{i{복종한다}i}i}.
[14]| 일하는 방법에서 그들은 불변적이고 독창적이며 완전하지만, 주인의 의지적 개성을 결코 해치지 않는다. 신성한 {k{k{관찰자}k}k}는, 어떤 인간이든지 결코 그의 의지에 거슬리면서 영성화하지 않으며;생존은 시간세계의 피조물이 원할 때에만 {k{k{하나님}k}k}이 주시는 선물이다. 결국, {k{k{조율사}k}k}가 너를 위해서 어떤 성공적인 일을 했더라도, 네가 협동하겠다고 동의함에 따라서 변형이 성취됐는지를, 기록이 보여줄 것이며;상승하는 생애에서 생기는 엄청난 변형의 단계를 하나하나 달성하는 동안에, 너는 {k{k{조율사}k}k}와 기꺼이 동반자가 됐을 것이다.
[15]| {k{k{조율사}k}k}는, 너의 생각 자체를 통제하려는 것이 아니라, 생각을 영성화 해서 영존하게 하려고 애쓴다. 어떤 천사나 {k{k{조율사}k}k}도, 인간의 사고에 직접 영향을 주려고 몰두하지 않으며;사고는 너희에게만 있는 인격의 특권이다. {k{k{조율사}k}k}는 너희의 생각하는 과정을, 증진, 변경, 조절, 및 조화시키는 역할을 하게 돼있으나;더 특별하고 명확하게, 그들은 생존되게 할 목적으로, 너희 생애의 영적 사본{寫本}, 즉 자라가는 너희의 참된 자아의 모론시아 이력서를 만들어가는 일에 전념한다.
[16]| {k{k{조율사}k}k}는 인간 정신의 상급{上級} 수준 영역에서 일하며, 필사자의 지능에서 생기는 모든 개념의 모론시아 복사판을 만들어 내기 위해서 끊임없이 애쓴다. 따라서 인간 정신 회로들에는, 위에 덧붙여지고 그 안에 집중하는 두 실체가 있는데:하나는, {k{k{생명}k}k} {k{k{운반자}k}k}들의 원래 계획에서 진화돼 온 필사의 자아이고, 다른 하나는, {k{k{디비닝톤}k}k}이라는 높은 구체들에서 온 불멸의 실재, 즉 {k{k{하나님}k}k}으로부터 온 내주하는 선물이다. 그러나 필사의 자아 역시 인격있는 자아이며;인격을 지녔다.
[17]| 너희는 인격있는 피조물로서 정신과 의지를 지녔다. {k{k{조율사}k}k}는 인격이전 피조물로서 선{先}정신과 선{先}의지를 지녔다. 네가 눈을 마주하고 보듯이 {k{k{조율사}k}k}의 정신에 전적으로 순응한다면, 너의 두 정신도 하나가 되고, 너는 {k{k{조율사}k}k}의 정신으로 보강된다. 그 후에, 이 새로운, 즉 결합된 정신의 결정을 네 의지가 이행하라고 명령하고 이를 집행한다면, 그 {k{k{조율사}k}k}의 인격이전 의지는 너의 결단을 통해서 인격 표명{表明}을 달성할 것이며, 그 특정한 기획이 고려되는 한, 너와 {k{k{조율사}k}k}는 하나다. 네 정신은 신성과 조율{調律}됐고, 그 {k{k{조율사}k}k}의 뜻은 인격 표명을 달성했다.
[18]| 이 정체성이 실현되는 정도까지, 너는 모론시아 계층의 실존에 정신적으로 접근하고 있다. 모론시아 정신은, 다양하게 물질적이고 영적인 본성을 지닌, 협동하는 정신들의 본질과 총합{總合}을 가리키는 표현이다. 따라서, 모론시아 지능은 지방우주에서 하나의 뜻에 지배되는 이중{二重} 정신을 의미한다. 그리고 필사자의 경우에, 이것은 인간에서 기원되는 의지인데, 사람이 {k{k{하나님}k}k}의 하고자하심에 인간 정신을 일체화시킴으로써, 그 의지는 신성하게 돼간다.
[19]| {b{b{3. }b}b}{b{b{{k{k{조율사와}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{협동함}k}k}}b}b}
[20]| {k{k{조율사}k}k}들은 신성시되는 고귀한 경기를 오랜 세월에 걸쳐서 벌이고 있으며;공간에서 시간세계의 최고 모험 가운데 하나에 참여하고 있다. 그리고 그들이 더 큰 영원성 과제를 계속 수행하는 동안, 일시적인 너희의 짧은 투쟁에서 너희가 그들에게 협동하여 그들의 도움을 허용할 때 그들은 얼마나 행복한지 모른다. 그러나 대개, {k{k{조율사}k}k}가 너와 대화하려 애쓸 때, 메시지는 인간 정신의 에너지가 흐르는, 물질의 흐름 속에서 분실되며;겨우 이따금, 너는 그 메아리, 즉 신성한 음성의 희미하고 아득한 소리만 듣는다.
[21]| 너의 {k{k{조율사}k}k}가 필사 인생을 통해서 너를 인도하고 너를 생존시키는 계획에서 성공하는 것은, 네가 믿는 이론보다 네 결정, 결심, 및 확고한 {i{i{신앙}i}i}에 달려있다. 이런 모든 인격 성장 경향은, {k{k{조율사}k}k}와 잘 협동하도록 너를 도와주기 때문에, 너의 진보를 촉진시키는 강력한 영향력이 되며;네가 저항하기를 그치도록 너를 도와준다. {k{k{사고}k}k} {k{k{조율사}k}k}는, 필사자들이 완전성을 달성하려고 상승하는 통로를 따라서 나아가도록 정해진, 그 계획에 협조하는 데 성공하거나 실패하는 한까지만, 현세의 이행업무에서 성공하거나 외견상 실패한다. 생존하는 비결은, {k{k{하나님}k}k}처럼 되고자 하는 최상의 인간 욕망에, 그리고 그 소망을 최종적으로 달성하는 데 필수적인 것은 무엇이든지 기꺼이 행하는 동시에 무엇이든지 되고자 함에 달려있다.
[22]| 우리가 한 {k{k{조율사}k}k}의 성공 또는 실패를 언급할 때, 인간의 생존이라는 관점에서 이야기하는 것이다. {i{i{{k{k{조율사}k}k}}i}i}{i{i{들은}i}i} {i{i{결코}i}i} {i{i{실패하지}i}i} {i{i{않으며}i}i}{i{i{;}i}i} 그들은 신성한 본질에 속하고, 각자 맡은 이행업무에서 항상 승리한다.
[23]| 너희 중에서 매우 많은 사람이, 그토록 많은 시간과 생각을 삶의 사소한 일에 소모하는 반면, 영원한 중요성을 가진 더 본질적인 실체들을 거의 전적으로 간과하는 것을, 나는 지켜볼 수밖에 없는데, 바로 이런 성취는, 너희와 너희의 {k{k{조율사}k}k}들 사이에 더욱 조화되는 실무 협정의 진전과 관련된다. 인간 실존의 큰 목표는, 내주하는 {k{k{조율사}k}k}의 신성에 적응하는 것이며;필사자 인생에서 큰 성공은, 너희의 정신 속에서 기다리며 일하는 신성한 영의 영원한 목표에 이르기까지, 진실하면서 이해심 있는 헌신을 달성하는 것이다. 그러나 영원한 운명을 실현하려는 헌신적이고 단호한 노력은, 명랑하고 기쁨 넘치는 삶, 그리고 성공적이고 존경받을 만한 이 세상 생애와 결코 모순되지 않는다. {k{k{사고}k}k} {k{k{조율사}k}k}와의 협동은, 고행, 거짓 신앙심, 또는 위선적이고 과시하는 자기_비하를 수반하지 않으며;이상적인 인생은, 두려움으로 염려하는 생활방식이 아니라 오히려 사랑으로 봉사하는 인생이다.
[24]| 혼동, 당황함, 심지어 때로는 낙심되고 마음이 산란한 것조차, 내주하는 {k{k{조율사}k}k}의 인도에 저항함을 반드시 의미하지는 않는다. 그런 태도는, 때때로 거룩한 {k{k{관찰자}k}k}와 적극 협동하는 자세가 부족함을 뜻할지 모르며, 따라서 영적 진보를 어느 정도 늦출지도 모르지만, 그런 지적이고 감정적인 어려움은, {k{k{하나님}k}k}을_아는 혼이 확실히 생존하는 것을 조금도 훼방하지 못한다. 오직 무지함 때문에 생존이 막힐 수는 결코 없으며;혼란된 의심뿐 아니라 두려움으로 가득 찬 불안도 그럴 수 없다. 오직 {k{k{조율사}k}k}의 인도에 의식적으로 저항하는 것만이, 진화하는 불멸의 혼의 생존을 막을 수 있다.
[25]| {k{k{조율사}k}k}와 협동하는 것을, 특별히 의식{意識}하는 과정으로 간주해서는 안 되는데, 실제로 그렇지 않기 때문이며;그러나 너의 동기와 결정, 충실한 결단과 최상의 소망은, 실제적이고 효과적인 협동을 이룬다. 너희는 다음과 같이 함으로써 {k{k{조율사}k}k}와 조화됨을 의식적으로 증대시켜 나갈 수 있다:
[26]| 1. 신성한 인도에 응답하기를 선택함;진리, 아름다움, 및 선함을 가장 높이 의식하는 데 인간 생애의 기초를 두고, 그 다음에는 이 신성{神性}의 특성들을, 지혜, 경배, 신앙 및 사랑을 통해서 조화시킴.
[27]| 2. {k{k{하나님}k}k}을 사랑하고 그와 같이 되기를 바람--신성한 아버지를 진심으로 인식하고, 하늘의 {k{k{어버이}k}k}를 사랑으로 경배함.
[28]| 3. 사람을 사랑하고 진심으로 그를 섬기기를 바람--동료 필사자들 하나하나를, 총명하고 지헤롭게 사랑함과 더불어, 사람이 형제관계임을 전심으로 인식함.
[29]| 4. 시공우주 시민권을 기쁘게 받아들임--{k{k{지존하신}k}k} {k{k{분}k}k}에 대해서 점진적으로 늘어나는 너의 책무를 솔직히 인정함, 진화하는 인간과 진보하는 {k{k{신격}k}k}의 상호 의존성을 자각함. 이것은 시공우주 도덕성의 탄생이요, 보편적 의무를 깨닫는 첫걸음이다.
[30]| {b{b{4. }b}b}{b{b{{k{k{정신}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{속에서}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{조율사가}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{하는}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{일}k}k}}b}b}
[31]| {k{k{조율사}k}k}들은, 시간과 공간의 주요 회로들을 따라서 들어오는 계속된 시공우주 정보의 흐름을 받을 수 있으며;여러 우주의 영 정보 및 에너지와 온전히 접촉한다. 그러나 공통된 본성이 부족하고 감응하는 인식이 결여되기 때문에, 이 강력한 내주자{內住者}들은 이 풍부한 지혜와 진리를 필사 상대자의 정신에게 아주 많이 전해줄 수는 없다.
[32]| {k{k{사고}k}k} {k{k{조율사}k}k}는 너의 모론시아 혼이 진보하도록 너의 정신을 영성화 시키려고 끊임없이 노력하지만;바로 너 자신은 이런 내적 사역을 거의 의식하지 못한다. 너 자신의 물질 지능으로 인한 결과와, 너의 혼 및 {k{k{조율사}k}k}의 공동 활동으로 인한 결과를 구분할 수 있는 능력이 너에게는 아주 없다. 
[33]| 사고{思考}, 결정, 그리고 정신 속의 다른 심상{心象}들이 갑자기 떠오른 것들 가운데 더러는, 때때로 {k{k{조율사}k}k}가 직접 또는 간접으로 일한 것이지만;그보다 훨씬 더 흔하게, 이것들은 가라앉은 정신 수준에서, 즉 진화하는 동물적 정신의 회로들에 내재된, 정상적이고 평범한 심령 기능의 자연적이고 일상적인 사건들에서 스스로를 조화시켜오던 개념들이 갑자기 의식 속으로 솟아난 것이다. (이 잠재의식의 표출과는 대조적으로, {k{k{조율사}k}k}의 계시는 초의식{超意識} 영역을 통해서 나타난다.)
[34]| 모든 정신의 문제를, 메마른 의식 수준 건너편으로, {k{k{조율사}k}k}의 보호에 맡겨버려라. 때가 되면, 이 세상에서가 아니면 맨션 세계들에서, {k{k{조율사}k}k}는 자신의 청지기_직분을 훌륭히 해낼 것이며, 보호하고 보관하라고 위탁받았던 가치와 의미를 결국 가져다줄 것이다. 너희가 생존한다면, 그들은 필사 정신에게 속한 모든 가치 있는 보화를 다시 살려낼 것이다.
[35]| 인성과 신성 사이, 사람과 {k{k{하나님}k}k} 사이에는 엄청난 간격이 있다. {k{k{유란시아}k}k}의 인종들은 전기적으로 그리고 화학적으로 너무 많이 통제되며, 일반 행태가 너무 동물적이고, 평상시 반응에서 너무 감정적이기 때문에, {k{k{관찰자}k}k}가 그를 인도하고 지시하기가 대단히 어렵다. 너희에게 담대한 결정능력과 헌신된 협동이 너무 결여돼서, 내주하는 {k{k{조율사}k}k}는 인간의 정신과 직접 대화하기가 거의 불가능하다는 것을 발견한다. 심지어 진보하는 필사 혼에게 새로운 진리의 섬광을 비출 가능성을 {k{k{조율사}k}k}가 발견할 때에도, 이 영적 계시는 종종 피조물의 눈을 멀게 해서, 광신적 격동{激動}에 빠지게 하거나 비참한 결과를 가져오는, 어떤 색다른 지적 격변을 일으킨다. 많은 새로운 종교나 이상한 “주의{主義}”들은, {k{k{사고}k}k} {k{k{조율사}k}k}와의 의사소통이 중단되고, 완성되지 못하고, 오해되고, 왜곡돼서 생겨났다.
[36]| {k{k{예루셈}k}k}의 기록이 보여주듯이, 수천 년 동안, 스스로_행동하는 {k{k{조율사}k}k}들과, 안전하게 기능을 발휘할 수 있는 존재의 숫자가, 각 세대마다 점점 줄었다. 이것은 심상치 않은 광경이며, {k{k{사타니아}k}k}를 감독하는 인격체들은, 너희 행성의 어떤 직속 감독관들이 제안한 여러 가지에 대해서 동의를 표했는데, 그들은 {k{k{유란시아}k}k} 인종들 가운데 높은 영적 유형들을 육성하고 보존하도록 고안된 방책을 개시해야 한다고 주장한다.
[37]| {b{b{5. }b}b}{b{b{{k{k{조율사의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{인도에}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{대한}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{잘못된}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{개념}k}k}}b}b}
[38]| {k{k{조율사}k}k}의 사명과 영향을, 흔히 양심이라고 불리는 것과 혼동하거나 헛갈리지 말라;이것들은 직접 관련이 없다. 양심은 인간적이고 순전히 심령적인 반응이다. 양심을 경시해서는 안 되지만, 그것은 혼에게 주는 {k{k{하나님}k}k}의 음성이 아니며, 그런 음성을 들을 수 있다면, 정말로 {k{k{조율사}k}k}의 음성이 {k{k{하나님}k}k}의 음성일 것이다. 양심은 옳게 행하라고 마땅히 너를 타이르지만;{k{k{조율사}k}k}는 그 외에도 무엇이 진실로 옳은지를 너에게 말하려고 애쓰며;정확히 말하면, 네가 {k{k{관찰자}k}k}의 인도를 감지할 수 있을 때 그렇다.
[39]| 사람이 꿈꾸는 체험은, 조화를_이루지_못한 잠자는 정신이, 혼란되고 연락이 끊긴 상태가 계속되는 과정인데, 사람의 정신에 있는 다양한 요소를 조화시키고 연합시키기에 {k{k{조율사}k}k}가 실패했음을 나타내는 적절한 증거다. 다만 {k{k{조율사}k}k}는, 한 번의 인생 동안에 인간 존재 및 신성한 존재로서 서로 다르고 다양한 생각의 두 유형을, 독단적으로 조화시키거나 동조시킬 수 없다. {k{k{조율사}k}k}가 그렇게 하면, 가끔 그렇게 해왔듯이, 그런 혼은 죽음의 체험을 거칠 필요 없이 맨션 세계로 직접 옮겨진다.
[40]| 의식이 충분히 깨어 있는 시간에 결정하고 선택한 대로, {k{k{조율사}k}k}가 내주한 인격체의 의지가 이전에 온전히 허락한 것, 그리고 그렇게 함으로써 초월정신의 영역에 던져진 것만을, 잠자는 시기 동안에 {k{k{조율사}k}k}가 달성하려고 애쓰는데, 이 초월정신은 인간과 신이 상호관계로 접촉하는 영역이다.
[41]| {k{k{조율사}k}k}는, 자신의 필사자 주인이 잠든 동안에, 자신이 창작한 것을 높은 수준의 물질 정신 속에 등록하려고 애쓰며, 너희의 괴상한 꿈 중에서 어떤 것들은, {k{k{조율사}k}k}가 효과적으로 접촉을 이루지 못했음을 나타낸다. 꿈속 세상에서 불합리한 것들은, 표현되지 못한 감정의 억압을 증거 할 뿐만 아니라, {k{k{조율사}k}k}가 제시한 영적 개념의 묘사가 끔찍하게 왜곡됐음을 증거한다. 바로 너의 열정, 충동, 및 타고난 기타 성향은 자체를 그림으로 나타내고, 또한 의식 없이 잠자는 동안에, 내주자가 심령 기록 속으로 집어 넣으려고 애쓰는 신성한 메시지를, 자체의 표현되지 못한 욕구로 대치한다.
[42]| 꿈속의 내용을 {k{k{조율사}k}k}가 한 것으로 가정하는 것은 지극히 위험하다. 잠자는 동안에 {k{k{조율사}k}k}가 일하는 것은 사실이지만, 너희의 일상적 꿈 체험은 순전히 생리적이고 심리적인 현상이다. 마찬가지로, {k{k{조율사}k}k}가 개념을 등록하는 것과, 필사자 양심의 명령에 대해서 다소 연속적이고 의식적으로 수용하는 것, 이 둘을 구별하려고 애쓰는 것도 이롭지 못하다. 이것은 개인이 식별하고 개인의 결정으로 해결해야 할 문제다. 그러나 인간은, 필사 정신의 반응을 신성한 존엄성의 영역으로 높이려는 큰 실수를 범하기보다는, 그것이 순전히 인간적 체험일 것이라고 믿음으로써 {k{k{조율사}k}k}의 표현을 거부하는 잘못을 범하는 편이 더 나을 것이다. {k{k{사고}k}k} {k{k{조율사}k}k}의 영향은, 비록 전체적이지는 않을지라도, 대부분이 초의식 체험이라는 것을 기억하라. 
[43]| 네가 심령 궤도들을 올라가면서 점점 더, 다양한 정도로 자신의 {k{k{조율사}k}k}와 대화하게 되는데, 어떤 때에는 직접 이뤄지지만 대개 경우에는 간접으로 이뤄진다. 그러나 인간 정신 속에 새롭게 생겨나는 모든 개념이 {k{k{조율사}k}k}의 가르침에서 온다고 생각하는 것은 위험하다. 너와 같은 계층의 존재에게는, 네가 {k{k{조율사}k}k}의 음성이라고 받아들이는 그것이, 실제로는 너 자신의 지능에서 나온 것일 경우가 더 많다. 이것은 위험한 동기가 될 수 있으며, 모든 인간은, 자신의 자연스런 인간 지혜와 초인적 통찰력에 따라서 이 문제를 스스로 해결해야 한다. 
[44]| 본 문서를 전달하는 데 쓰임 받은 그 인간의 {k{k{조율사}k}k}는, 그런 넓은 범위의 활동을 누리는데, 이는 주로 그 {k{k{조율사}k}k}의 내적 현존이 바깥으로 어떻게 나타나든지, 그 인간이 거의 완전히 무관심하기 때문이며;그 과정 전체에 대해서, 의식적으로 계속 아주 개의치 않는 것은, 정말로 다행이다. 그는 그가 사는 그 시대와 세대에서 무척 체험 있는 {k{k{조율사}k}k} 가운데 하나를 지니고 있으면서도, 이 다재다능한 {k{k{조율사}k}k}가 그의 정신 속에 현존함과 관련된 현상에 대해서, 그가 수동적으로 반응하고 이에 대해 개의치 않는 것은 드물고도 다행스런 반응이라고, 그 운명 수호자가 선언했다. 그리고 이 모든 것이 여러 영향력을 알맞게 조화시켰는데, 높은 행동 영역에 있는 {k{k{조율사}k}k}에게 유익하고, 건강, 능률, 및 평온함이라는 관점에서 인간 상대방에게도 유익하다. 
[45]| {b{b{6. }b}b}{b{b{{k{k{일곱}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{심령}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{궤도}k}k}}b}b}
[46]| 물질 세계에서 인격이 실현한 것의 총합{總合}은, 필사자 잠재력인 일곱 심령 궤도를 연속해서 정복하는 데 내포돼 있다. 일곱째 궤도에 진입하는 것은, 참된 인간 인격이 작용하기 시작했음을 의미한다. 첫째 궤도의 완료는, 필사{必死} 존재가 비교적 성숙했음을 의미한다. 비록 시공우주에서 성장하는 일곱 궤도를 모두 거쳤더라도, {k{k{조율사}k}k}와 융합하는 것과 동일하지는 않으며, 이 궤도들의 정복은, {k{k{조율사}k}k}와 융합하는 예비 단계에 도달했음을 표시한다.
[47]| 일곱 궤도를 달성하는--곧 필사자가 비교적 성숙해지는-- 과제에서, {k{k{조율사}k}k}는 너와 대등한 동반자다. {k{k{조율사}k}k}는 일곱째로부터 첫째까지 너와 함께 궤도들을 올라가지만, 필사자의 정신이 적극 협동하는 것과는 전혀 상관없이, 최상의 상태와 스스로_행동하는 상태까지 진보한다.
[48]| 심령 궤도들이 오로지 지적인 것만은 아니고, 전적으로 모론시아적인 것도 아니며;이것들은 인격 지위, 정신 달성, 혼의 성장, 그리고 {k{k{조율사}k}k}와 동조{同調}하기 등과 관계가 있다. 이런 수준들을 성공적으로 거치는 것은, 단순히 인격의 어느 한 국면이 아니라 {i{i{전체}i}i} {i{i{인격}i}i}이, 조화롭게 활동하기를 요구한다. 여러 부분이 성장해도 전체의 진정한 성숙과는 다르며;그 부분들은 참으로 전체 자아--총체적 자아--, 즉 물질적, 지적, 및 영적 자아의 확장에 비례해서 성장한다.
[49]| 지적 본성 개발이 영적 본성 개발보다 빨리 앞지를 때, 그런 상황은 {k{k{사고}k}k} {k{k{조율사}k}k}와 대화하는 것을 어렵고도 위험하게 만든다. 마찬가지로, 과도한 영적 성장은, 신성한 내주자의 영 인도에 대해서 광신적이고 비뚤어진 해석을 내리게 하는 경향이 있다. 영적 수용력이 부족하면, 더 높은 초월의식에 내재하는 영적 진리를 그런 물질 지능에게 전해주기가 매우 어렵게 된다. 결점 없는 습관, 안정된 신경 에너지, 및 균형 잡힌 화학작용을 가진 육체 속에 자리 잡은, 완전히 안정된 정신에게, --육체적, 정신적, 및 영적 능력, 이 세 가지가 하나처럼 조화되어 발달했을 때-- 그런 존재의 실제 번영에 대한 현세의 위험이나 손해를 최소화하면서 빛과 진리를 나눠줄 수 있다. 그렇게 균형 잡힌 성장을 함으로써, 사람은 일곱째로부터 첫째까지, 행성에서 진보하는 궤도를 하나씩 하나씩 올라간다.
