[1]| 제67편{{{br}}} 행성의 반역
[13]| 어리둥절케 하는 이런 요구가 발표된 후에, 협조를 담당하는 최고 협의회 의장인 {k{k{반}k}k}의 탁월한 호소가 이어졌다. 뛰어난 실력의 경영자이면서 유능한 법학자인 이 의장은, {k{k{캘리개스챠}k}k}가 획책하는 행로가 행성 반역에 가까운 행위라고 규정했고, {k{k{사타니아}k}k}의 {k{k{체계}k}k} {k{k{주권자}k}k}인 {k{k{루시퍼}k}k}에게 항소할 수 있을 때까지, 어떤 일에도 참여하지 말 것을 회의 참석자들에게 호소했으며;전체 참모진의 지지를 얻었다. 그에 따라서, 항소가 {k{k{예루셈}k}k}에 제기됐고, {k{k{캘리개스챠}k}k}를 {k{k{유란시아}k}k}의 최고 주권자로 임명한다는 명령과, 그의 지시에 절대로 충성하고 무조건 충성하라는 명령이 즉시 하달됐다. 그리고 이런 놀라운 소식에 대한 응답으로, 숭고한 {k{k{반}k}k}은 일곱 시간에 걸친 잊을 수 없는 긴 연설을 통해서, {k{k{네바돈}k}k} 우주의 주권을 지속적으로 경멸하는, {k{k{달리개스챠}k}k}, {k{k{캘리개스챠}k}k}, 및 {k{k{루시퍼}k}k}를 정식으로 고발했으며;{k{k{에덴시아}k}k}의 {k{k{지고자}k}k}들에게 지지와 확인을 호소했다.
[14]| 그러는 사이에 체계 회로들이 단절됐으며;{k{k{유란시아}k}k}는 고립됐다. 행성에 있는 천상{天上}의 생명체 집단은 모두, 아무 경고 없이 갑자기 고립되어, 외부의 어떤 충고와 조언도 받지 못하도록 완전히 차단됐음을 발견했다.
[15]| {k{k{달리개스챠}k}k}는, {k{k{캘리개스챠}k}k}가 “{k{k{유란시아}k}k}의 {k{k{하나님}k}k}이고 만민 위에 뛰어난 존재”라고 정식으로 선포했다. 그들에게 이렇게 선포되자, 쟁점이 분명하게 제기됐고;각 집단은 자기네끼리 물러나서 논쟁하게 됐으며, 결국 지구에 있는 각 초인적 인격체마다 그 운명을 이 논쟁이 결정하게 돼있었다.
[16]| 스라빔, 체루빔, 및 기타 천상의 존재들이, 이런 격렬한 투쟁, 즉 길고도 죄로 가득한 이 투쟁의 결정에 말려들었다. {k{k{유란시아}k}k}가 격리되던 당시에 우연히 여기에 와있던 많은 초인간 무리가 이곳에 억류됐고, 스라빔 및 그 동료들처럼, 죄{罪}와 의{義} 둘 중에서--곧 {k{k{루시퍼}k}k}의 길과, 보이지 아니하시는 {k{k{아버지}k}k}의 뜻 사이에서-- 하나를 선택할 수밖에 없게 됐다.
[17]| 이런 투쟁은 7년 이상 계속됐다. 각 인격체가 모두 최종 결정을 내린 것으로 간주될 때까지, {k{k{에덴시아}k}k}의 권위자들은 방해하거나 개입하려 하지 않았고, 개입하지도 않았다. 그때가 되기까지, {k{k{반}k}k}과 그의 충성스런 동역자들은 지지를 얻지 못했고, 오랫동안의 염려와 견딜 수 없는 불안에서 벗어나지 못했다.
[18]| {b{b{3. }b}b}{b{b{{k{k{혹독했던}k}k}}b}b}{b{b{ }b}b}{b{b{7}b}b}{b{b{{k{k{년의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{세월}k}k}}b}b}
[19]| {k{k{사타니아}k}k}의 수도인 {k{k{예루셈}k}k}에서 일어난 반역을, {k{k{멜기세덱}k}k} 협의회가 널리 알렸다. 비상대책 {k{k{멜기세덱}k}k}들이 즉시 {k{k{예루셈}k}k}으로 파견됐고, {k{k{가브리엘}k}k}은, 권위에 도전 받게 된 {k{k{창조주}k}k} {k{k{아들}k}k}의 대리인으로서 활동하겠다고 자청했다. {k{k{사타니아}k}k}에서 반역이 일어났다는 사실이 널리 알려짐과 동시에 그 체계는 고립됐고, 그 자매 체계들로부터 격리됐다. “하늘에서”, 즉 {k{k{사타니아}k}k}의 본부에서 “전쟁”이 있었고, 그 전쟁은 지역 체계의 온갖 행성으로 확산됐다.
[20]| {k{k{유란시아}k}k}에서는, 100명의 육체전환 참모진 가운데 ({k{k{반}k}k}을 포함해서) 40명이 반란에 가담하기를 거부했다. 참모진의 인간 보조원(즉 변경된 보조원 및 기타 보조원) 중에서 다수 역시, {k{k{미가엘}k}k}과 그의 우주 정부에 대한 수호자가 됐다. 스라빔과 체루빔 중에서는 몹시 많은 인격체가 손실됐다. 행성에 배정됐던 경영자 스라빔과 과도기 스라빔 중에서는, 거의 반{半} 정도가 {k{k{루시퍼}k}k}의 주장을 지지하면서, 그들의 지도자와 {k{k{달리개스챠}k}k}에게 합류했다. 1차 중도 피조물 중에서 40,119명이 {k{k{캘리개스챠}k}k}와 손잡았지만, 이 존재들 가운데 나머지는 자신이 맡은 책임에 충실한 채 남아있었다.
[21]| 배반한 {k{k{왕자}k}k}는, 불충한 중도 피조물, 그리고 반역한 다른 인격체 무리들을 집합시켰고, 자기 명령을 수행하도록 그들을 조직했으며, 반면에 {k{k{반}k}k}은 충성된 중도자들과 신실한 다른 무리들을 모았고, 행성 참모진 및 고립된 다른 천상의 인격체들을 구하기 위해서 큰 전투를 개시했다.
[22]| 이런 투쟁이 계속되는 동안에, 충성된 존재들은 {k{k{달라마시아}k}k} 동쪽으로 수마일 떨어진 곳에 마련된, 벽이 없고 거의 보호되지 못한 촌락에 거주했지만, 깨어서 항상 파수를 보는 충성된 중도 피조물이 그들의 거주지를 주야로 보호했고, 그들은 대단히 귀중한 생명나무를 소유하고 있었다.
[23]| 반역이 발발하게 되자, 충성된 체루빔과 스라빔이 세 명의 신실한 중도자의 도움을 받아서 생명나무 관리를 맡았으며, 오직 40명의 충성된 참모진 및 그들과 연합된 변경된 필사자들만, 이 에너지 식물의 열매와 잎을 먹을 수 있도록 허용됐다. 그 중에는 참모진의 동역자인 변경된 {k{k{안돈족속}k}k}이 56명 있었고, 불충한 참모진의 {k{k{안돈족속}k}k} 수행원 중에서도 열여섯 명은, 주인을 따라서 반역에 가담하기를 거부했다.
[24]| {k{k{캘리개스챠}k}k}가 반역을 일으킨 이래 혹독한 7년 내내, {k{k{반}k}k}은, 사람, 중도자, 및 천사들로 구성된 자신의 충성된 군대를 돌보는 일에 전적으로 헌신했다. 우주 정부에 대한 그런 확고부동한 태도의 충성심을 {k{k{반}k}k}이 견지할 수 있도록 해줬던 영적 통찰력과 도덕적 확고함은, 명확한 사고{思考}, 현명한 논법{論法}, 논리적 판단, 진실된 의도, 사심 없는 목적, 지성적 충성심, 체험의 회상{回想}, 단련된 성품, 그리고 {k{k{낙원}k}k}에 계시는 {k{k{아버지}k}k}의 뜻을 행하는 데 주저하지 않고 자기 인격을 봉헌하는 태도의 산물이었다.
[25]| 기다리면서 보낸 이 7년의 세월은, 마음을 추스리고 혼을 단련시키는 기간이었다. 우주 직무에서 그런 위기는, 영적 선택의 한 요소로서 정신이 얼마나 지대한 영향을 미치는지를 보여준다. 교육, 훈련, 및 체험은, 진화하는 모든 도덕적 피조물이 내리는, 생사를 좌우하는 대부분의 결정에서 요인이 된다. 그러나 {k{k{낙원}k}k}에 계시는 {k{k{아버지}k}k}의 뜻과 방법에 충성스럽게 헌신하는 놀라운 행동을, 온전히 헌신한 피조물 의지가 수행할 수 있도록 하기 위해서, 내주하는 영{靈}이, 인간 인격의 결정하고_결심하는 능력과 직접 접촉하는 것이, 전적으로 가능하다. 이것이 바로, {k{k{반}k}k}의 변경된 인간 동료인 {k{k{아마돈}k}k}의 체험에서 일어났다.
[26]| {k{k{아마돈}k}k}은 {k{k{루시퍼}k}k} 반역에서 걸출한 인간 영웅이다. {k{k{안돈}k}k}과 {k{k{훤타}k}k}의 후손인 이 남자는, {k{k{왕자}k}k}의 참모진에게 생명 원형질을 기부했던 100명 가운데 하나였으며, 그 사건이 있은 후로 줄곧, 동역자 및 인간 보좌관으로서 {k{k{반}k}k}에게 배속돼 왔었다. {k{k{아마돈}k}k}은 길고 괴로운 투쟁기간에, 자신의 우두머리와 한 편이 되기로 선택했다. 그리고 7년의 투쟁기간 내내, {k{k{아마돈}k}k}과 그의 충성스런 동역자들이, 명석한 {k{k{캘리개스챠}k}k}의 온갖 현혹하는 가르침에 굴복하지 않고 대항하는 동안, 진화하는 인종 출신인 이 사람이, {k{k{달리개스챠}k}k}의 궤변에 동요되지 않고 굳건히 서 있는 것은 감격스러운 광경이었다.
[27]| 최고의 지성을 가졌고 우주 직무에서 광범위하게 체험한 {k{k{캘리개스챠}k}k}는 타락했다--즉 죄를 지었다. 최소의 지성을 지녔고 우주 체험은 전혀 없는 {k{k{아마돈}k}k}은, 우주의 봉사와, 동역자에 대한 충성을 확고부동하게 유지했다. {k{k{반}k}k}은 지적{知的} 결단과 영적 통찰력을 멋지게 효과적으로 배합하면서, 정신과 영 양쪽 다 활용했고, 이렇게 함으로써 도달할 수 있는, 가장 높은 계층에 해당하는 인격 실현의 체험 수준을 성취했다. 정신과 영은, 온전히 일치하게 되면, 초인적 가치들, 심지어 모론시아 실체까지도, 창조할 가능성이 있다.
[28]| 이 비극적인 날들 동안, 소란스런 사건이 끊임없이 일어났다. 그러나 마침내 마지막 인격체의 최종 결정이 내려졌고, 그 후에야, {k{k{유란시아}k}k}에서 권세를 몰수하기 위해, {k{k{에덴시아}k}k}의 {k{k{지고자}k}k}가 비상대책 {k{k{멜기세덱}k}k}들과 함께 도착했다. {k{k{예루셈}k}k}에 있는 {k{k{캘리개스챠}k}k}의 파노라마 통치_기록이 삭제됐고, 행성의 재건을 위한 집행유예 기간이 시작됐다.
[29]| {b{b{4. }b}b}{b{b{{k{k{반역}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{이후의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{캘리개스챠}k}k}}b}b}{b{b{ }b}b}{b{b{1}b}b}{b{b{{k{k{백}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{인}k}k}}b}b}
[30]| 마지막 출석을 점검했을 때, {k{k{왕자}k}k}의 참모진 가운데 육체전환 요원들은 다음과 같이 정렬돼 있었다:{k{k{반}k}k}과 그의 조정 법정 전체는 충성된 상태를 견지했다. 양식 담당 협의회 중에서 {k{k{앙}k}k}과 세 명의 요원이 살아남았다. 동물을 이용한 축산 담당 부서는 모두 반역에 가담했고, 동물을_정복하도록 충고하는 자들 전원도 마찬가지였다. 교육 담당 교수진 중에서 다섯 명과 {k{k{횃}k}k}은 구원됐다. 산업과 무역을 담당하는 위원회 전체와 {k{k{놋}k}k}은 {k{k{캘리개스챠}k}k}에게 가담했다. 종교를 계시하는 전체 학부와 {k{k{합}k}k}은, {k{k{반}k}k}과 그의 훌륭한 일행들과 함께 충성된 존재로 남았다. 건강 담당 부서 전체와 {k{k{럿}k}k}은 멸망했다. 예술 및 과학 담당 협의회 전체가 충성된 상태로 남았지만, 부족 정부 담당 위원회 전체와 {k{k{텃}k}k}은 타락했다. 그리하여 100명 중에서 40명이 구제됐고, 나중에 {k{k{예루셈}k}k}으로 옮겨갔으며, 거기서 {k{k{낙원}k}k}으로 가는 여정을 계속했다.
[31]| 행성 참모진 가운데 반역에 가담한 60명은 {k{k{놋}k}k}을 지도자로 뽑았다. 그들은 반역한 {k{k{왕자}k}k}를 위해서 전심으로 일했지만, 체계의 생명 회로가 주는 영양을 뺏겼음을 곧 깨달았다. 그들은 자신이 이미 필사 존재 상태로 퇴보했다는 사실에 눈을 떴다. 그들은 정말로 초인적 존재였지만, 동시에 물질이고 필사자였다. 그들의 숫자를 늘리기 위한 노력으로, {k{k{달리개스챠}k}k}는 즉시 성교{性交}로 자식을 낳도록 명령했는데, 원래의 60명과 변경된 44명의 {k{k{안돈족속}k}k} 동역자가, 죽음으로 곧 소멸될 운명에 처해 있음을 잘 알았기 때문이다. {k{k{달라마시아}k}k}가 와해된 후에, 불충한 참모진은 북쪽과 동쪽으로 이주했다. 그들의 후손은 {k{k{놋족속}k}k}으로, 그들이 거주하던 곳은 “{k{k{놋}k}k}의 땅”으로, 오랫동안 알려졌다.
[32]| 반역으로 인해 궁지에 빠지고 곧 이 세상의 아들딸과 짝짓게 된, 특출난 이 초인적 남녀 현존은, 신{神}들이 필사자들과 짝지으려고 내려왔다는, 전설로 내려오는 이야기를 쉽게 기원시켰다. 그리하여 신화적{神話的} 성격을 갖는 수많은 전설이 생겼지만, 반란 이후 시대의 사실들에 기초한 것이었으며, 그것들은 나중에, 조상이 {k{k{놋족속}k}k} 및 그 후손과 이렇게 접촉한 다양한 민족의 민간설화와 전승에 자리 잡게 됐다.
[33]| 영적 양식을 뺏긴 채, 반역에 가담한 참모진은 결국 자연스런 죽음을 맞이했다. 그리고 나중에 조성된 인간 종족들의 우상 숭배 대부분은, {k{k{캘리개스챠}k}k} 시대에 고귀하게 숭앙받던 이 존재들에 대한 기억을 영속시키려는 열망에서 발생됐다.
[34]| 100명의 참모진이 {k{k{유란시아}k}k}에 왔을 때, 그들은 일시적으로 {k{k{사고}k}k} {k{k{조율사}k}k}와 분리됐었다. {k{k{멜기세덱}k}k} 관재인{管財人}들이 도착하자마자, ({k{k{반}k}k}을 제외한) 충성된 인격체들은 {k{k{예루셈}k}k}으로 돌아갔고, 기다리던 {k{k{조율사}k}k}와 다시 연합했다. 우리는 반역에 가담했던 참모진 60명의 운명을 알지 못하며;그들의 {k{k{조율사}k}k}는 여전히 {k{k{예루셈}k}k}에 머물고 있다. {k{k{루시퍼}k}k}의 반역 전체가 최종적으로 판결 받고, 모든 가담자의 운명이 정해질 때까지, 사태는 틀림없이 지금 상태대로 유지될 것이다.
[35]| 천사와 중도자 같은 그런 존재들은, {k{k{캘리개스챠}k}k} 및 {k{k{달리개스챠}k}k} 처럼 뛰어나고 신뢰받는 통치자들이 타락하게 된다는--즉 배반하는 죄를 범한다는-- 것을 상상조차 하기 힘들었다. 죄에 빠진 존재들은 --고의로 또는 계획적으로 반역에 가담하지는 않았는데-- 믿었던 지도자들에게 속은 자기 상관{上官}들에게 잘못 이끌렸다. 원시적_성향을 가진 진화하는 필사자의 지지를 얻는 것도 마찬가지로 쉬웠다.
[36]| {k{k{예루셈}k}k} 및 잘못 인도된 여러 행성에서, {k{k{루시퍼}k}k} 반역의 희생자였던 모든 인간과 초인적 존재들 대다수는, 자신의 어리석음을 오래 전부터 진심으로 뉘우치고 있으며;{k{k{태고}k}k} {k{k{항존자}k}k}들이 아주 최근에 시작한, {k{k{사타니아}k}k} 반역의 용건들에 대한 판결을 최종적으로 완결 지을 때, 진지한 참회자{懺悔者} 전원은 어떤 방식으로 회복되고, 우주 봉사의 어떤 국면으로 복직될 것이라고, 우리는 정말로 믿는다.
[37]| {b{b{5. }b}b}{b{b{{k{k{반역의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{직접}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{결과}k}k}}b}b}
[38]| 반역의 선동이 있은 후에, 큰 혼란이 거의 50년 동안 {k{k{달라마시아}k}k}와 인근에 퍼져 있었다. 전 세계에 대한 완전하고 급진적인 재조직이 시도됐고;문화를 증진하고 인종을 개선하는 방침으로서, 혁명이 진화를 대체했다. {k{k{달라마시아}k}k} 내부와 주변에 있던, 부분적으로 훈련된 우수한 체류자들 가운데서, 문화적 상태에 갑작스런 진보가 나타났으나;새롭고 급진적인 이 방법이, 외곽에 있는 민족들에게 시도됐을 때, 형언할 수 없는 혼란과 인종적 대혼란이 즉시 일어났다. 당시의 어설프게 진화된 원시인들은, 재빨리 자유를 방종{放縱}으로 해석했다.
[39]| 반역이 일어난 후 얼마 되지 않아서, 선동에 가담한 참모진 전체는, 반미개인{半未開人}에게 시기상조로 가르쳐졌던 자유주의의 결과로, 사방의 벽으로 몰려드는 그들 무리에 대항해서, 그 도시를 강력하게 방어하는 일에 참여했다. 그리고 아름다운 본부가 남부의 파도 밑으로 가라앉기 수년 전에, {k{k{달라마시아}k}k}의 시골 지역에 있던, 오도{誤導}되고 잘못된 가르침을 받은 부족들이, 화려한 그 도시에 반야만적{半野蠻的} 급습을 감행해서, 탈퇴한 참모진 및 그 동역자들을 북쪽으로 몰아냈다.
[40]| 개인의 해방과 집단적 자유라는 관념에 따라서 인간 사회를 즉시 건설하고자 했던 {k{k{캘리개스챠}k}k}의 책략은, 신속히 거의 완전하게 실패로 돌아갔다. 사회는 과거의 생물학적 수준으로 재빨리 후퇴했고, 이 대격변이 세계를 더욱 심각한 혼란 속으로 몰아넣었으므로, 발전하려는 투쟁은, {k{k{캘리개스챠}k}k} 체제가 시작될 때 있던 자리보다 그다지 앞서지 않은 데서 모두 다시 시작됐다.
[41]| 반역이 있은 후 162년이 지났을 때, 해일{海溢}이 {k{k{달라마시아}k}k}를 완전히 뒤덮었고, 행성 본부는 바닷물 밑으로 가라앉았으며, 화려한 시대의 고귀한 문화에 속하는 거의 모든 흔적이 완전히 사라질 때까지, 이 땅은 다시 솟아오르지 않았다.
[42]| 첫 세계 수도{首都}가 깊은 곳으로 가라앉았을 때, {k{k{유란시아}k}k}에서 가장 낮은 유형인 {k{k{상익}k}k} 인종만 거기에 남아있었는데, 이 배신자들은 {k{k{아버지}k}k}의 성전을, 빛과 불의 가짜 신{神}인 {k{k{녹}k}k}에게 바친 사당{祠堂}으로 이미 바꿔버렸다.
[43]| {b{b{6. }b}b}{b{b{{k{k{반}k}k}}b}b}{b{b{--}b}b}{b{b{{k{k{흔들리지}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{않는}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{자}k}k}}b}b}
[44]| {k{k{반}k}k}을 따르는 자들은, 일찍부터 {k{k{인도}k}k} 서부 고지대로 철수했고, 거기서 혼란에 빠진 낮은 지대 종족들의 공격을 피했으며, {k{k{상익}k}k} 부족들이 태어나던 시대 직전에 그들의 초기 {k{k{바도난족속}k}k} 선조가 인류의 행복을 위해서 한때 모두 무의식적으로 일했던 것처럼, 그 은거지로부터 세계를 부흥시킬 계획을 세웠다.
[45]| {k{k{멜기세덱}k}k} 관재인들이 도착하기 전에, {k{k{반}k}k}은 인간 직무의 경영을 네 명씩으로 구성된 10개의 위원회에 맡겼는데, 그 집단들은 {k{k{왕자}k}k}의 통치 체제와 동일했다. 거주하고 있던 선임 {k{k{생명}k}k} {k{k{운반자}k}k}들이, 40명으로 구성된 이 협의회를 임시로 통솔했고, 대기 상태에 있던 7년 내내 활약했다. 충성된 참모진 39명이 {k{k{예루셈}k}k}으로 돌아간 후에는, {k{k{아마돈족속}k}k}으로 구성된 비슷한 집단들이 이 책임을 맡았다.
[46]| 이 {i{i{{k{k{아마돈족속}k}k}}i}i}은 {k{k{아마돈}k}k}이 소속된 144명의 충성된 {k{k{아마돈족속}k}k} 무리에서 유래됐으며, 그의 이름으로 알려지게 됐다. 이 집단에는 남자 39명과 여자 105명이 포함됐다. 이 숫자 중에서 56명은 불멸{不滅}의 신분에 속했고, 그들은 모두 ({k{k{아마돈}k}k}을 제외한) 충성된 참모진 요원과 함께 옮겨졌다. 고귀한 이 무리 가운데 나머지는 그들의 일생이 끝날 때까지, {k{k{반}k}k}과 {k{k{아마돈}k}k}의 지도 아래 이 세상에 계속 남아 있었다. 그들은, 반란 이후 시절의 긴 암흑기 내내 번식하여, 세계를 위한 통솔력을 계속 제공한 생물학적 효소였다.
[47]| {k{k{반}k}k}은 {k{k{아담}k}k}이 도래할 때까지 {k{k{유란시아}k}k}에 남아 있었고, 행성에서 활동하는 초인적 인격체들 전체의 명예{名譽} 우두머리로서 머물렀다. {k{k{반}k}k}과 {k{k{아마돈}k}k}은 15만 년 이상, {k{k{멜기세덱}k}k}들이 베푸는 특화된 생명체 사역과 함께, 생명나무의 기법으로 목숨을 유지했다.
[48]| 수석 성좌 통치자인 {k{k{노라티아덱}k}k}의 {k{k{지고자}k}k} {k{k{아버지}k}k}의 명령으로 승인을 받아서, 열두 명의 {k{k{멜기세덱}k}k} 행성 관재인들로 구성된 협의회가 {k{k{유란시아}k}k}의 직무를 오랫동안 경영해 왔다. {k{k{멜기세덱}k}k} 관재인들과 연합된 자문 협의회는:타락한 {k{k{왕자}k}k}의 충성된 조력자들 중에서 한 명, 거주하는 {k{k{생명}k}k} {k{k{운반자}k}k} 두 명, 견습생 신분으로 훈련받는 {k{k{삼위일체처럼된}k}k} {k{k{아들}k}k} 한 명, 자원봉사자인 {k{k{교사}k}k}{{k{k{敎師}k}k}} {k{k{아들}k}k} 한 명, (정기적으로) {k{k{아바론}k}k}의 {k{k{찬란한}k}k} {k{k{저녁}k}k} {k{k{별}k}k} 한 명, 스라빔과 체루빔의 우두머리들, 두 이웃 행성에서 온 자문가들, 하위 천사 생명체의 지휘 사령관, 그리고 중도{中道} 피조물의 우두머리 지휘자인 {k{k{반}k}k}으로 구성됐다. 그리고 {k{k{유란시아}k}k}는 {k{k{아담}k}k}이 도래할 때까지 그렇게 경영됐다. 용감하고 충성스런 {k{k{반}k}k}이, {k{k{유란시아}k}k}의 직무를 그토록 오랫동안 경영한 행성 관재인 협의회에서 한 자리에 배치됐음은 조금도 이상하지 않다.
[49]| {k{k{유란시아}k}k}의 {k{k{멜기세덱}k}k} 관재인 열두 명은 훌륭하게 일했다. 그들은 남아있는 문명을 보존했고, {k{k{반}k}k}은 그들의 행성 정책을 충실히 수행했다. 그는 반역이 일어난 후 1,000년이 지나기 전에, 세계에 널리 흩어진 350개 이상의 진보된 무리를 유지했다. 이 문명 전초기지들은 주로, 충성된 {k{k{안돈족속}k}k}으로 구성돼 있었고, {k{k{상익}k}k} 인종들, 특히 청인종이 약간 섞여 있었으며, {k{k{놋족속}k}k}도 섞여 있었다.
[50]| 반역으로 인한 심각한 퇴보에도, 이 세상에는 생물학적 전망이 훌륭한 많은 종족이 있었다. {k{k{멜기세덱}k}k} 관재인들의 감독 하에, {k{k{반}k}k}과 {k{k{아마돈}k}k}은 인간 종족의 자연스런 진화를 계속 촉진시켰는데, {k{k{물질}k}k} {k{k{아들}k}k}과 {k{k{딸}k}k}이 {k{k{유란시아}k}k}로 파견되는 것을 정당화하는 수준에 도달할 때까지, 인간의 육체적 진화를 진척시켰다.
[51]| {k{k{반}k}k}과 {k{k{아마돈}k}k}은 {k{k{아담}k}k}과 {k{k{이브}k}k}가 도래한 직후까지 지구에 남아 있었다. 그로부터 수년 후에 그들은 {k{k{예루셈}k}k}으로 옮겨졌고, {k{k{반}k}k}은 거기에서 기다리던 {k{k{조율사}k}k}와 재결합했다. {k{k{반}k}k}은 지금, 모이고 있는 {k{k{필사자}k}k} {k{k{완결성취}k}k} {k{k{단체}k}k}의 계시되지 않은 운명과, {k{k{낙원}k}k} 완전성을 향한 길고 긴 여정을 출발하라는 명령을 기다리면서, {k{k{유란시아}k}k}를 위해 수고하고 있다.
