[1]| 제125편{{{br}}} 예루살렘에서 예수
[15]| {k{k{요셉}k}k}은 아들이 성전 제례들을 보면서 얼마나 깊은 상처를 입었는지 봤으므로, 슬기롭게 그를 데리고 가서, {k{k{고린도식}k}k} 청동으로 예술적으로 만들어진 “아름다운 문”을 보여주려고 했다. 그리나 {k{k{예수}k}k}는 처음 성전 방문으로 충분하다고 여겼다. 그래서 그들은, {k{k{마리아}k}k}를 만나기 위해 성전 위쪽으로 올라가면서 인파로부터 벗어나 바깥으로 나와서 한 시간 가량 걸었고, {k{k{헤롯}k}k}이 살았던 웅장한 모습의 {k{k{하스몬}k}k} {k{k{왕조}k}k} 궁전과 {k{k{로마}k}k} 경비병의 탑을 봤다. 이렇게 산책하는 동안에 {k{k{요셉}k}k}은, 매일 성전에서 치르는 희생을 볼 수 있도록 {k{k{예루살렘}k}k} 주민에게만 허락된다는 것과, {k{k{갈릴리}k}k}에 사는 사람은 1년에 세 번, 즉:{k{k{유월절}k}k}, ({k{k{유월절}k}k}로부터 7주 후의) {k{k{오순절}k}k}, 그리고 10월의 {k{k{장막절}k}k} 축제의 경우에만 성전 경배에 참여할 수 있다는 것을 {k{k{예수}k}k}에게 설명해 줬다. 이런 축제들은 {k{k{모세}k}k}가 만든 것이었다. 그리고 나서 그들은, 나중에 만들어진 두 가지 축제인 봉헌식과 {k{k{부림절}k}k}에 대해 이야기했다. 그런 다음에 숙소로 돌아가서, {k{k{유월절}k}k}을 축하할 준비를 했다.
[16]| {b{b{2. }b}b}{b{b{{k{k{예수와}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{유월절}k}k}}b}b}
[17]| 다섯 {k{k{나사렛}k}k} 가정은, {k{k{베다니}k}k}에 사는 {k{k{시몬}k}k} 가족의 손님으로서 또는 친지로서 {k{k{유월절}k}k} 축제에 초대됐는데, {k{k{시몬}k}k}이 일행을 위해 {k{k{유월절}k}k} 어린양을 구입해 뒀다. {k{k{예수}k}k}가 성전 방문에서 지대한 영향을 받은 것은, 그토록 많은 어린양의 살생이었다. {k{k{마리아}k}k}의 친척집에서 {k{k{유월절}k}k}을 지내기로 계획됐지만, {k{k{예수}k}k}는 {k{k{베다니}k}k}로 가자는 초대에 응하도록 부모를 설득했다.
[18]| 그날 밤에 그들은 {k{k{유월절}k}k} 제례를 위해서 모였고, 무교병과 쓴 나물과 함께 구운 고기를 먹었다. 새롭게 계명의 아들이 될 {k{k{예수}k}k}는, {k{k{유월절}k}k}의 유래를 설명하라는 질문을 받고 답변을 잘 했으나, 어리지만 사려 깊은 그의 마음 속에 아주 최근에 보고 들은 것들로 인해 느꼈던 것을, 조심스럽게 돌이켜보면서 수많은 의견을 제시함으로써 부모를 조금 당황하게 했다. 이렇게 해서 {k{k{유월절}k}k} 축제의 7일 동안의 예식이 시작됐다.
[19]| 이처럼 시작에 불과할 때, 그런 문제들에 관해 부모에게는 아무 말도 하지 않았지만, {k{k{예수}k}k}는 양을 죽이지 않고 {k{k{유월절}k}k}을 축하하는 것이 타당한지, 마음 속으로 살펴보기 시작했다. 그는 하늘에 계신 {k{k{아버지}k}k}께서도 이런 희생 제물 바치는 장면을 기뻐하지 않으신다는 것을 나름대로 확신했고, 해가 갈수록, 언젠가는 피 흘림 없는 {k{k{유월절}k}k} 축하 의식{儀式}을 제정하기로 더욱 결심하게 됐다.
[20]| {k{k{예수}k}k}는 그날 밤 거의 잠을 자지 못했다. 그의 휴식은 살육과 고통의 불쾌한 꿈 때문에 크게 방해받았다. {k{k{유대인}k}k}의 예식 체계 전반에 담긴 신학의 모순과 어리석음으로 인해, 그의 마음은 산란해졌고 심정은 찢어졌다. 그의 부모도 마찬가지로 잠을 설쳤다. 그들은 방금 끝난 그날의 일 때문에 크게 당황했다. 그 소년의 태도가 그들에게는 이상하고 고집스럽게 보였으므로, 그들의 마음은 완전히 엉망이 됐다. 그날 밤 초반에, {k{k{마리아}k}k}는 신경이 매우 곤두서 있었지만, {k{k{요셉}k}k}은 똑같이 당혹했음에도 침착함을 유지했다. {k{k{예수}k}k}는, 부모가 과감히 자기를 격려해 줬다면, 기꺼이 그들과 이야기를 나눴겠지만, 그들은 둘 다 이 문제들에 관해 그와 솔직히 이야기하기를 두려워했다.
[21]| {k{k{예수}k}k}는 다음 날 성전에서 있었던 예배에서는 좀 더 나은 인상을 받았고, 전날에 느꼈던 불쾌한 기억은 많이 완화됐다. 다음 날 아침에는, 어린 {k{k{나사로}k}k}가 {k{k{예수}k}k}의 손을 잡고 {k{k{예루살렘}k}k}과 그 주변을 체계적으로 답사했다. 그날 해 지기 전에, {k{k{예수}k}k}는 가르치고 질문하는 회담이 진행되는 성전 주변의 여러 장소를 발견했으며;지성소{至聖所}를 몇 차례 방문해서, 휘장으로 격리된 그 뒤에는 과연 무엇이 있을까 궁금해 바라본 것 외에는, 가르치는 이 회담이 진행되는 성전 주변에서 대부분의 시간을 보냈다.
[22]| {k{k{유월절}k}k} 주간 내내, {k{k{예수}k}k}는 새로 임명된 계명의 아들들이 있는 곳에 함께 있게 됐는데, 이것은 그가 {k{k{이스라엘}k}k} 시민이 아닌 모든 사람을 따로 갈라놓는 울타리 바깥에 앉아 있어야함을 의미했다. 그는 자기가 아직은 어린 나이임을 그렇게 의식하면서, 정신 속에 요동치는 많은 의문점에 대해 질문하는 것을 참았으며;적어도, {k{k{유월절}k}k} 축제가 끝나고 나서, 새롭게 봉헌된 소년들에게 이런 제재가 풀릴 때까지는 참았다.
[23]| {k{k{유월절}k}k} 주간의 수요일에, {k{k{예수}k}k}는 그날 밤 {k{k{나사로}k}k}와 함께 그의 집으로 가서, {k{k{베다니}k}k}에 머물러도 된다는 허락을 받았다. 이날 밤, {k{k{나사로}k}k}와 {k{k{마르다}k}k} 그리고 {k{k{마리아}k}k}는, {k{k{예수}k}k}가 인간적인 그리고 신성한, 일시적인 것과 영원한 것에 관해 이야기하는 것을 듣게 됐고, 그날 밤 이후로 이 세 사람은 {k{k{예수}k}k}를 친 형제라도 된 것처럼 사랑하게 됐다.
[24]| {k{k{예수}k}k}는 그 주간이 끝날 때까지 {k{k{나사로}k}k}를 자주 만나지 못했는데, 그는 바깥뜰에서 행해지는 어떤 공개 토론에 참여한 적이 있었지만, 성전에서 벌어지는 토론은 참관인의 자격도 아직 주어지지 않았기 때문이다. {k{k{나사로}k}k}도 {k{k{예수}k}k}와 같은 나이였지만, {k{k{예루살렘}k}k}에 있는 소년들은, 완전히 열세 살이 되기 전에는 계명의 아들로서 임명식에 좀처럼 참여할 수 없었다.
[25]| {k{k{유월절}k}k} 주간에, {k{k{예수}k}k}의 부모는, 그가 두 손으로 머리를 싸매고 혼자 따로 앉아서 깊은 생각에 빠져있는 것을 거듭 발견했다. 그들은 전에는 그의 이런 행동을 본 적이 없었고, 자신이 겪고 있는 체험으로 인해 그가 정신적으로 얼마나 많이 혼란돼 있고 영적으로 불안했는지 몰랐으므로, 무척 당황했으며;어찌할 바를 몰랐다. 그들은 다만 {k{k{유월절}k}k} 주간이 어서 지나가기만 기다렸고, 이상하게 행동하는 아들을 데리고 빨리 {k{k{나사렛}k}k}으로 안전하게 돌아가기를 고대했다.
[26]| {k{k{예수}k}k}는 날마다 자신의 문제를 두루 생각하고 있었다. 그는 주말이 될 무렵에 많은 것을 정리했지만;{k{k{나사렛}k}k}으로 돌아갈 시간이 됐을 때, 그의 어린 정신은 혼란함으로 여전히 가득 차고, 다수의 풀리지 않는 질문과 해결되지 않은 문제로 괴로워했다.
[27]| {k{k{예루살렘}k}k}을 떠나기 전에 {k{k{요셉}k}k}과 {k{k{마리아}k}k}는, {k{k{예수}k}k}가 열다섯 살이 되면 다시 돌아와서, 가장_저명한 랍비 학교들 가운데 하나에서 긴 교육 과정을 받도록 하기 위해, {k{k{나사렛}k}k}에서 {k{k{예수}k}k}를 가르친 선생과 함께 확실히 조치를 취했다. {k{k{예수}k}k}는 부모와 선생과 함께 그 학교를 방문했지만, 그들은 모두, 자기들이 말하고 행동하는 것에 대해 {k{k{예수}k}k}가 전혀 무관심한 것을 보고 걱정했다. {k{k{마리아}k}k}는 {k{k{예루살렘}k}k} 방문에 대한 {k{k{예수}k}k}의 반응 때문에 깊은 상처를 입었고, {k{k{요셉}k}k}은 소년의 생소한 소견과, 평소와 다른 행동 때문에 몹시 당황했다.
[28]| 결국, {k{k{유월절}k}k} 주간은 {k{k{예수}k}k}의 일생에서 매우 중요한 사건이었다. 그는 봉헌식에 후보자로 왔던 자기 나이 또래의 여러 소년과 만나는 기회를 가졌으며, 그런 접촉을 활용해서, {k{k{메소포타미아}k}k}, {k{k{투르케스탄}k}k}, 그리고 {k{k{파르디아}k}k}뿐 아니라 {k{k{로마}k}k}의 {k{k{극서}k}k}{極西} 지방 사람들이 어떻게 사는지를 배울 수 있었다. 그는 {k{k{이집트}k}k}와 {k{k{팔레스틴}k}k} 근방의 다른 지역의 소년들이 어떤 식으로 자라나는 지에 대해서는 이미 꽤 알고 있었다. 이때 {k{k{예루살렘}k}k}에는 수천 명의 청소년이 머물렀으며, {k{k{나사렛}k}k} 소년은, 150명 이상의 소년과 개인적으로 만났고, 다소 광범하게 면담했다. 그는 특히 {k{k{극동}k}k} 지역과 멀리 떨어진 {k{k{서방}k}k} 나라에서 온 사람들에게 관심을 가졌다. 이렇게 접촉한 결과로, 동료 사람들이 속하는 다양한 집단이 생계를 위해서 어떻게 수고하는 지 배우기 위한 목적으로, 소년은 세계를 두루 여행하고 싶다는 욕망을 품기 시작했다.
[29]| {b{b{3. }b}b}{b{b{{k{k{요셉과}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{마리아의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{출발}k}k}}b}b}{b{b{ }b}b}
[30]| {k{k{나사렛}k}k} 사람들은, {k{k{유월절}k}k} 축제가 끝난 다음 주 첫 날 오전에 성전 근처에서 모이기로 약속했었다. 그들은 약속대로 모여서 {k{k{나사렛}k}k}으로 돌아가는 여행을 시작했다. {k{k{예수}k}k}는, 부모가 함께 돌아갈 동료 여행자들을 기다리는 동안, 토론을 듣기 위해서 성전으로 들어갔다. 이윽고, 일행은 떠날 준비가 됐고, {k{k{예루살렘}k}k} 축제에 참가하기 위해 오고 갈 때의 그들의 관례대로, 남자와 여자는 각각 따로 무리지어 걸어갔다. {k{k{예수}k}k}는 {k{k{예루살렘}k}k}으로 올라갈 때에는 어머니를 비롯한 여자 무리와 함께 했었다. 그는 이제 봉헌된 성인이므로, 아버지를 비롯한 남자들과 함께 {k{k{나사렛}k}k}으로 가게 돼있었다. 그러나 {k{k{나사렛}k}k} 사람들이 {k{k{베다니}k}k}를 향해 떠났을 때, {k{k{예수}k}k}는 성전에서 천사에 대한 토론에 완전히 몰입했으므로, 부모가 떠날 시간이 이미 지났음에 대해 전혀 신경 쓰지 못했다. 그리고 정오가 되어 성전 논의가 산회될 때까지도, 그는 홀로 거기에 남게 됐음을 알아차리지 못했다.
[31]| {k{k{나사렛}k}k} 여행객들은 {k{k{예수}k}k}를 찾지 않았는데, {k{k{마리아}k}k}는 {k{k{예수}k}k}가 남자들과 함께 있을 것이라 생각했고, {k{k{요셉}k}k}은, {k{k{예수}k}k}가 {k{k{마리아}k}k}의 당나귀를 끌고 여자들과 함께 {k{k{예루살렘}k}k}으로 왔으므로, 이번에도 여자들과 함께 있으리라고 생각하기 때문이었다. 그들은 {k{k{여리고}k}k}에 도착해서 그날 밤 거기서 지내려고 준비할 때에야, 그가 없다는 것을 발견했다. 그들은 {k{k{여리고}k}k}에 가장 늦게 도착한 사람들에게 물어본 후에, {k{k{예수}k}k}를 봤다는 사람이 아무도 없음을 알고, 잠을 이룰 수 없었으며, {k{k{유월절}k}k} 주간에 보인 {k{k{예수}k}k}의 이상한 행동을 떠올리면서, 혹시 그에게 무슨 일이 일어난 것 아닌가 걱정했고, {k{k{예루살렘}k}k}에서 떠나기 전에 {k{k{예수}k}k}가 있는지 살피지 않았던 것에 대해, 은근히 상대방을 원망했다.
[32]| {b{b{4. }b}b}{b{b{{k{k{성전에서}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{첫째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{날과}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{둘째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{날}k}k}}b}b}
[33]| 그러는 동안 {k{k{예수}k}k}는, 토론에 귀를 기울이면서, 그리고 {k{k{유월절}k}k} 주간에 있었던 많은 인파가 이미 거의 떠난 후로 좀 더 조용하고 정숙해진 분위기를 즐기면서, 그날 오후 내내 성전에 있었다. {k{k{예수}k}k}는 한 번도 토론에 직접 참여하지 않았는데, 오후 토론이 끝나자, 혼자 {k{k{베다니}k}k}로 갔고, {k{k{시몬}k}k}의 가족은 그때 저녁식사를 하려던 참이었다. 세 아이는 {k{k{예수}k}k}를 몹시 반갑게 맞이했고, 그는 그날 밤 {k{k{시몬}k}k}의 집에서 지냈다. 그는 그날 저녁에는 거의 교제하지 않았고, 정원에서 혼자 묵상하면서 대부분의 시간을 보냈다.
[34]| {k{k{예수}k}k}는 다음 날 아침 일찍 일어나 성전을 향해서 길을 떠났다. 그는 {k{k{감람산}k}k} 정상에서 잠깐 멈췄고 눈앞에 펼쳐진 광경--곧 전통에 얽매이고 {k{k{로마}k}k} 군단의 감시를 받으면서 사는 영적으로 가난해진 사람들--을 보면서 눈물을 흘렸다. 오전 일찍 성전에 도착한 그는, 토론에 참여하기로 마음먹고 성전으로 갔다. 한편, {k{k{요셉}k}k}과 {k{k{마리아}k}k}도 새벽 일찍 일어나서 {k{k{예루살렘}k}k}을 향해 지나온 길을 되짚어가기로 했다. 그들은 우선 {k{k{유월절}k}k} 기간에 한 가족으로 머물렀던 친척 집으로 서둘러서 갔지만, 아무도 {k{k{예수}k}k}를 보지 못했다는 대답밖에 듣지 못했다. 그들은 하루 종일 그를 찾았으나 행적을 발견하지 못한 채, 밤에는 친척집으로 돌아갔다.
[35]| 둘째 논의에서, {k{k{예수}k}k}는 대담하게 질문했고, 성전 토론에 매우 놀라운 방식으로 참여했지만, 언제나 소년다운 태도로 임했다. 때때로 그의 날카로운 질문이, {k{k{유대인}k}k}의 율법에 조예가 깊은 선생들을 어느 정도 당황하게 했지만, 그가 솔직한 공평성의 기질과 함께 지식을 갈망하는 명백한 태도를 보였으므로, 성전의 선생들 대부분은 그를 잘 배려해주고 싶어 했다. 그러나 그가, 술 취한 한 이방인이 이방인의 구역 근처를 배회하다가 신성한 곳으로 간주되는 성전 안의 금지된 구역으로 무의식적으로 들어왔을 경우에, 그를 사형에 처하는 것이 정당한지에 대해 의문을 제기했을 때, 너그럽지 못한 선생 가운데 하나가, 이 소년의 간접적인 비난을 참다못해, 인상을 찡그리고 그를 노려보면서 몇 살이냐고 물었다. {k{k{예수}k}k}는 “열세 살에서 4개월 조금 더 모자랍니다”라고 대답했다. 그러자, 성난 선생이 이제 다시 물었다:“그렇다면, 너는 아직 율법의 아들이 될 자격이 없는데 어찌하여 여기 들어왔느냐?” 그리고 {k{k{예수}k}k}가, {k{k{유월절}k}k} 기간 중에 임명 받았고, {k{k{나사렛}k}k}에서 이미 학교를 졸업했다고 설명하자, 선생들이 하나같이 조롱하면서, “우리가 알아봤어야 헸는데;{k{k{나사렛}k}k}에서 왔구나”라고 말했다. 그러나 인도자는, {k{k{나사렛}k}k} 회당 관리들이 열세 살이 아닌 열두 살에 그를 합법적으로 졸업시켰다면, {k{k{예수}k}k}에게는 아무 잘못도 없다고 주장했으며;그를 험담하던 몇몇 사람이 자리에서 일어나 퇴장했음에도, 소년은 성전 토론에서 앞으로도 학생 자격으로 참여할 수 있다고 결정했다.
[36]| 이렇게 해서, 그가 성전에서 보낸 둘째 날이 끝나자, 잠자기 위해 다시 {k{k{베다니}k}k}로 갔다. 그날도 그는 묵상하고 기도하려고 정원으로 나갔다. 그의 정신은 중대한 문제들에 대한 숙고에 관여돼 있음이 분명했다.
[37]| {b{b{5. }b}b}{b{b{{k{k{성전에서}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{셋째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{날}k}k}}b}b}
[38]| {k{k{예수}k}k}가 성전에서 서기관 및 선생들과 함께 있었던 셋째 날에, {k{k{갈릴리}k}k}에서 온 이 소년에 대한 소문을 들은 많은 구경꾼이, 율법학자들을 혼란시켰다는 한 소년을 만나기 위해서 모여들었다. {k{k{시몬}k}k} 역시, 소년이 도대체 무엇을 하는지 보려고 {k{k{베다니}k}k}에서 왔다. {k{k{요셉}k}k}과 {k{k{마리아}k}k}는, 이날도 하루 종일 걱정스레 {k{k{예수}k}k}를 찾아 다녔고, 성전에도 몇 번씩이나 왔었으며, 한 번은 그의 매혹적인 목소리를 들을 수 있는 곳까지 거의 왔었음에도, 여러 토론 모임을 유심히 살필 생각은 전혀 하지 못했다.
[39]| 그날이 끝날 무렵에는, 성전의 주요 토론 모임의 모든 관심이 {k{k{예수}k}k}가 물어보는 질문들로 집중됐다. 그의 여러 질문 가운데 다음과 같은 것이 있었다:
[40]| 1. 성전 휘장 뒤에 있는, 지성소에는 실제로 무엇이 있는가?
[41]| 2. {k{k{이스라엘}k}k}의 어머니들은 성전에서 경배 드리는 남자로부터 왜 분리돼 있어야 하는가?
[42]| 3. {k{k{하나님}k}k}이 자녀를 사랑하는 아버지시라면, 신성한 호의를 얻기 위해 왜 이렇게 동물을 죽여야 하는가--{k{k{모세}k}k}의 교훈이 잘못 해석된 것은 아닌가?
[43]| 4. 하늘에 계신 {k{k{아버지}k}k}께 경배 드리기 위해 성전이 봉헌됐다면서, 세속적인 거래나 장사하려는 사람들이 들어오도록 허락해도 되는가?
[44]| 5. 기다리고 있는 {k{k{메시야}k}k}는, {k{k{다윗}k}k}의 보좌에 임시로 앉을 현세의 왕자가 되실 것인가? 아니면, 영적인 나라 설립에서 생명의 빛 역할을 하실 분인가?
[45]| 그리고 거기서 하루 종일 듣던 사람들은 이런 질문에 경탄했고, {k{k{시몬}k}k}보다 더 놀랜 사람은 없었다. 네 시간이 넘도록, 이 {k{k{나사렛}k}k} 소년은 {k{k{유대인}k}k} 선생들에게, 사고를_자극하고 심정을_살펴보는 질문들을 퍼부었다. 그는 장로들의 견해는 거의 언급하지 않았다. 그는 자기가 묻고자 하는 질문을 통해서 자신의 가르침을 전달했다. 그는 능숙하고 명민하게 질문을 구사함으로써, 한 번에, 그리고 동시에 그들의 가르침에 이의를 제기했고, 자신의 가르침을 제시했다. 그가 질문하는 방식에는 현명함과 해학이 매혹적으로 어우러져 있었으므로, 그가 어리다는 이유로 다소 화냈던 사람들까지도 그를 좋아하게 됐다. 그는 이런 예리한 질문을 하면서 항상 탁월하게 공정하고 신중했다. 그는 이 중대한 오후에 성전에서, 반대자를 불공정하게 이용하기를 똑같이 꺼렸는데, 나중에 있었던 그의 전체 공적 사역의 특징이기도 했다. 소년으로서 그리고 후에 성인이 되기까지, 그는 동료를 단지 논리적으로 이겨 논쟁에 승리하려는 이기적 욕망이 전혀 없어보였는데, 단 한 가지:영구한 진리를 선포하고, 그리하여 영원하신 {k{k{하나님}k}k}께 대한 더 충만한 계시의 성취에만 최고의 관심을 두기 때문이었다.
[46]| 날이 저물자, {k{k{시몬}k}k}과 {k{k{예수}k}k}는 함께 {k{k{베다니}k}k}로 돌아왔다. 길을 가는 동안 내내, 소년과 남자는 둘 다 말이 없었다. {k{k{예수}k}k}는 다시 {k{k{감람원}k}k} 언덕에서 멈췄지만, 성과 그 안에 있는 성전을 바라보면서 울지는 않았으며;다만 고개 숙이고 조용히 기도했다.
