[1]| 제70편{{{br}}} 인간 정부의 진화
[74]| {b{b{5. }b}b}{b{b{{k{k{정부의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{출현}k}k}}b}b}
[75]| 인간의 모든 제도는 시작이 있기 마련이며, 시민 정부는, 결혼, 산업, 및 종교와 마찬가지로, 점진적 진화의 산물이다. 초기 씨족과 원시 부족들로부터, 이어지는 인간 정부 체제가 점차 발전됐는데, 그 정부 체제들은, 20세기 중반의 특징을 이룬 그런 형태의 사회 및 민간 규칙에 바로 이르기까지 계속 바뀌어 왔다.
[76]| 가족 단위들이 점차 출현함에 따라서, 정부도 씨족 체제, 즉 혈통이 같은 가족들의 집단화를 통해서 기초를 다지게 됐다. 최초의 정부다운 정부 체제는 {i{i{원로}i}i}{i{i{{}i}i}{i{i{元老}i}i}{i{i{}}i}i} {i{i{협의회}i}i}였다. 조정 기능을 가진 이 집단은, 남달리 유능함을 보인 바 있던 노인들로 구성됐다. 지혜와 체험은, 미개한 사람들에게도 일찍부터 높이 인정받았으며, 원로들이 지배하는 시대가 오래 지속됐다. 나이 든 소수가 이렇게 독재하는 통치는, 점차 족장{族長} 개념으로 발전했다.
[77]| 원로들로 구성된 초기 협의회에서는, 정부 차원의 모든 잠재 기능들:즉 행정, 입법, 및 사법 기능이 있었다. 협의회가 당시 사회관행에 대한 해석을 내릴 때, 법정의 역할을 했고;새로운 방식의 사회관행을 세울 때에는 입법기관이었으며;그런 판결과 법규를 집행하는 범위 내에서는 행정부였다. 협의회의 의장은, 후대의 부족장에 해당되는 사람들 가운데 하나였다.
[78]| 어떤 부족은 여성 협의회도 있었고, 때로는 여성이 다스리는 부족도 많았다. 홍색인 가운데 어떤 부족은, “7인 협의회”의 만장일치 통치를 따르는 면에서 {k{k{오나모나론톤}k}k}의 가르침을 보존했다.
[79]| 논쟁하는 사회는, 평화는 물론 전쟁도 수행할 수 없다는 것을 인류가 깨닫기는 매우 힘들었다. 원시의 “교섭”은 별로 쓸모가 없었다. 사람들은, 여러 명의 씨족장이 명령하는 군대는, 강력한 한 사람이 지휘하는 군대에 맞서서 승산이 없다는 것을 일찍부터 배웠다. 전쟁은 반드시 왕을 세웠다.
[80]| 처음에 전쟁을 맡은 추장은 군 복무만을 위해 뽑혔고, 평화 시에는 그 권위 중에서 일부가 해제되곤 했는데, 그러면 추장의 임무는 사회적인 성질을 더 띠었다. 그러나 그들은 평화로운 기간에도 권한을 갖는 경향이 점점 많아져서, 전쟁 후에도 다음 전쟁 때까지 계속 통치하려고 했다. 그들은 전쟁이 끝나고 오래지 않아서 다음 전쟁이 이어지도록 모색하는 경우도 종종 있었다. 초기의 전쟁 주관자들은 평화를 좋아하지 않았다.
[81]| 후대에는 군 복무 외에 다른 목적으로 어떤 추장들이 선정됐는데, 보기 드문 체격이나 뛰어난 개인 재능 때문에 뽑혔다. 홍색인은 두 종류의 추장--곧 평화시의 지도자인 추장과, 전쟁을 맡는 세습되는 추장--을 두는 경우가 종종 있었다. 평화시의 통치자는 재판관과 선생을 겸했다.
[82]| 초기의 어떤 공동체들은 주술사가 통치했는데, 그들은 종종 추장으로서 행세했다. 한 사람이, 사제{司祭}, 의사, 및 최고 행정관 역할을 하곤 했다. 초기의 호화로운 휘장은 원래 성직자 복장의 상징 또는 문장{紋章}인 경우가 아주 흔했다.
[83]| 그리고 이런 단계들을 거쳐서 정부의 행정 부문{部門}이 점차 생겨나게 됐다. 씨족과 부족의 협의회는, 자문하는 자격으로 계속 유지됐고, 후대에 나타난 입법부와 사법부의 선구자 역할을 했다. 오늘날 {k{k{아프리카}k}k}에서는, 이런 원시 정부의 모든 형태가 여러 부족 가운데 실제로 존재한다.
[84]| {b{b{6. }b}b}{b{b{{k{k{군주제}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{정부}k}k}}b}b}
[85]| 효과적인 국가 통치는, 완전한 행정 권한을 가진 우두머리가 출현하게 되면서 비로소 가능해졌다. 사람은, 어떤 관념을 증여함으로써가 아니라, 한 인물에게 권력을 부여함으로써만 효과적인 정부가 형성될 수 있다는 것을 발견했다.
[86]| 통치지위는, 가족의 권한 또는 재산 관념으로부터 형성됐다. 족장 소왕{小王}이 실제적인 왕{王}으로 바뀌게 됐을 때, 때로는 그를 “민족의 아버지”라고 불렀다. 나중에는, 영웅들로부터 왕이 출현할 것으로 기대됐다. 그리고 훨씬 후대에는, 왕이 신성한 기원을 갖는다는 믿음 때문에, 통치지위가 세습됐다.
[87]| 세습되는 왕권은, 이전에 한 왕이 죽은 때부터 후임자가 결정되는 사이에 대혼란을 일으켰던, 무정부 상태를 겪지 않도록 해줬다. 가족은 생물학상의 우두머리를 가졌고;씨족은 자연히 선택된 지도자를 가졌으며;부족과 후대{後代}의 국가는 자연발생적인 지도자를 갖지 못했는데, 이것이 추장이나_왕권의 세습제도가 만들어지게 된 또 다른 이유였다. 왕가{王家}와 귀족의 관념은, 씨족들에게 있었던 “이름 소유권”이라는 사회관행에 기초를 두기도 했다.
[88]| 왕위 계승은 결국 초자연의 일로 간주됐는데, 왕의 핏줄이 {k{k{캘리개스챠}k}k} {k{k{왕자}k}k}의 물질화된 참모진 시대까지 거슬러 올라간다고 생각했기 때문이다. 그리하여 왕은 주물 인격체가 됐고, 과도한 두려움의 대상이 됐는데, 특별한 형태의 말투를 왕실어법{王室語法}으로 사용했다. 최근까지도, 왕과 접촉함으로써 병이 나을 수 있다고 믿었으며, {k{k{유란시아}k}k}의 어떤 민족은 아직도 그 통치자가 신성한 기원을 가졌다고 생각한다.
[89]| 초기의 주물 왕은 흔히 격리된 생활을 했으며;너무 신성시되어, 축제 기간과 거룩한 날들을 제외하고는 볼 수도 없었다. 대개 그의 역할을 할 수 있는 대행자가 선출됐으며, 이것이 수상{首相}의 기원이다. 내각{內閣}의 최초 관원은 음식 관리자였고, 다른 직책들이 뒤따라 생겨났다. 통치자는 교역과 종교를 책임지는 대표자들을 선임했으며;내각 제도의 발전은, 집행부 권위를 개인적이 아닌 것으로 만드는 직접 원인이 됐다. 초기의 왕을 보좌하던 이 사람들은 귀족으로 선택됐고, 여자들이 더 존중받게 되면서, 왕의 아내는 왕비의 위엄으로 높아졌다.
