[1]| 제112편{{{br}}} 인격의 생존
[13]| 9. 인격의 특징은, 도덕성이다--곧 다른 인간들과 상대적 관계가 있음을 자각하는 것이다. 인격은 행동 수준을 식별하며, 그것들 사이를 선택적으로 분간한다.
[14]| 10. 인격은 독특하고, 절대적으로 독특한데:시간과 공간에서 독특하며;영원 속에서 그리고 {k{k{낙원}k}k}에서 독특하며;증여될 때 독특하며--곧 전혀 중복됨이 없으며;실존하는 순간마다 독특하며;{k{k{하나님}k}k}과 관련해서 독특하다--그는 인격자들을 차별대우하지 않지만, 그들을 함께 합치지도 않는데, 그들은 합쳐질 수 없는 존재이기 때문이다--그들은 연합할 수 있지만 합쳐질 수는 없다.
[15]| 11. 인격은 다른_인격의 현존에 직접 반응한다.
[16]| 12. 인격은 영에 더해질 수 있는 유일한 것인데, 이처럼 {k{k{아들}k}k}과 갖는 관계에서 {k{k{아버지}k}k}가 우선함을 보여준다. (정신을 영에 더할 필요는 없다.)
[17]| 13. 인격은, 필사자가 죽은 뒤에, 생존하는 혼 속에서 정체성을 갖고 생존할 것이다. {k{k{조율사}k}k}와 인격은 변함이 없으며;(혼 속에서) 그들 사이의 관계는 변화, 즉 계속되는 진화에 불과하며;이 변화가(곧 성숙이) 멈춘다면, 혼도 멈출 것이다.
[18]| 14. 인격은 시간을 독특하게 의식하며, 이것은 정신이나 영이 시간을 감지하는 것과는 다른 무엇이다.
[19]| {b{b{1. }b}b}{b{b{{k{k{인격과}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{실체}k}k}}b}b}
[20]| 인격은 잠재적으로 영원한 자질인데, {k{k{만유의}k}k} {k{k{아버지}k}k}께서 피조물에게 증여하신다. 그런 신성한 선물은, 낮은 유한자부터 가장 높은 유한절대자까지, 심지어 절대자의 경계선에 이르기까지, 수많은 수준 및 연속되는 우주 상황에서 작용하도록 계획돼 있다. 이처럼 인격은 세 시공우주 수준에서, 즉 세 우주 국면에서 실행한다:
[21]| 1. {i{i{위치}i}i} {i{i{상태}i}i}. 인격은, 지방우주, 연방우주, 및 중앙우주에서 동일하게 효과적으로 작용한다.
[22]| 2. {i{i{의미}i}i} {i{i{상태}i}i}. 인격은, 유한자, 유한절대자의 수준에서, 그리고 심지어 절대자에 접속하는 수준에서 효과적으로 실행한다. 
[23]| 3. {i{i{가치}i}i} {i{i{상태}i}i}. 인격은, 물질 존재, 모론시아 존재, 및 영적 존재의 진보하는 영역들에서 체험으로 실현될 수 있다.
[24]| 인격은 시공우주 차원의 완전하게 된 실행 범위를 갖는다. 유한한 인격 차원에는 세 가지가 있으며, 대략 다음과 같이 작용한다:
[25]| 1. {i{i{길이}i}i}는 진보--곧 공간을 통하고 시간을 따르는 움직임--, 즉 진화의 본질과 방향을 나타낸다.
[26]| 2. {i{i{수직}i}i}의 깊이는, 유기체의 본능적 욕구와 성향, 즉 변화하는 자아_실현 수준들 및 환경에 반응하는 일반 현상을 포함한다.
[27]| 3. {i{i{넓이}i}i}는, 조정하고, 연합하고, 자아성을 조직하는 분야를 포함한다.
[28]| {k{k{유란시아}k}k} 필사자들에게 증여된 인격 유형은, 자아를_표현하는, 즉 인격자를_실현하는 일곱 차원의 잠재성을 갖는다. 이런 여러 차원의 현상은, 유한 수준에서 셋으로, 유한절대 수준에서 셋으로, 그리고 절대 수준에서 하나로 실현될 수 있다. 준절대 수준에서는, 이 일곱째 차원, 즉 전체성 차원을, 인격이라는 {i{i{사실}i}i}로서 체험할 수 있다. 최상의 이 차원은, 연합할 수 있는 절대이며, 무한하지는 않아도, 절대 존재들이 준무한{準無限}에서 침투할 수 있도록 차원상으로 잠재적이다. 
[29]| 인격의 유한 차원은, 시공우주의 길이, 깊이, 및 넓이와 상관이 있다. 길이는 의미를 나타내며;깊이는 가치를 의미하고;넓이는 통찰력--곧 시공우주 실체에 대한 논의의 여지가 없는 의식을 체험할 수 있는 능력--을 포함한다.
[30]| 모론시아 수준에서는 물질 수준의 이 모든 유한 차원이 크게 강화되며, 어떤 새 차원의 가치는 실현이 가능하다. 모론시아 수준에서 증가된 이 모든 차원의 체험은, 모타의 영향을 통해서, 또한 모론시아 수학의 기여로 인해, 최상의 차원, 즉 인격 차원으로 놀랍게 표현된다.
[31]| 체험으로 인격을 실현하는 데는, 차원 수준과 영적 수준이 조화되지 못한다는 것을, 유한한 피조물이 기억하려고 한다면, 인간의 인격을 연구하는 데 필사자들이 겪는 많은 어려움을 피할 수 있다.
[32]| 생명은 정말로 유기체와(곧 자아성과) 그 환경 사이에서 생기는 과정이다. 인격은, 정체성의 가치와 연속성의 의미를, 이 유기체와_환경의 연합에 나눠준다. 인격이 전체 상황에서 하나의 요소로서 작용하기 때문에, 이처럼 충동{衝動}에_반응하는 현상은 단지 기계적 과정이 아님을 인식할 것이다. 기계작용은 본질적으로 수동적이며;유기체는 본질적으로 능동적이라는 것은 항상 참말이다.
[33]| 육체적 생명은, 유기체 안에라기보다, 오히려 유기체와 환경 {i{i{사이}i}i}에서 일어나는 과정이다. 그리고 그런 과정은 모두, 그런 환경에 대한 유기체의 반응 원형{原型}들을 창조하고 확립시키려는 경향이 있다. 그리고 그런 모든 {i{i{지향적}i}i} {i{i{양상}i}i}은, 목표 선택에 상당히 영향을 미친다.
[34]| 자아는, 정신의 중재를 통해서 환경과 의미 있는 접촉을 이룩한다. 유기체가 환경과 그런 의미심장한 접촉(곧 추진력에 대한 반응)을 이루고자 하는 역량과 자발성은, 인격 전체의 {i{i{입장}i}i}을 나타낸다.
[35]| 인격은 고립된 상태에서는 잘 작동할 수 없다. 사람은 본질적으로 사회적 피조물이며;소속되려는 열망으로 지배된다. “혼자서는 아무도 살 수 없다”는 말은 글자 그대로 옳다.
[36]| 그러나 살아서 활동하는 피조물 전체를 의미하는 것으로서 인격 개념은, 여러 관계를 통합한 것보다 훨씬 더 큰 것을 뜻하며;여러 관계의 조화는 물론, 실체의 모든 요소의 {i{i{통합}i}i}을 의미한다. 관계는 두 객체 사이에 존재하지만, 셋 또는 그 이상의 객체는 {i{i{체계}i}i}를 이루며, 그런 체계는 단순히 확대되고 복잡하게 된 관계보다 훨씬 더한 것이다. 이 차이는 지극히 중요한데, 시공우주 체계에서, 각 구성원이 오직 전체와의 관련 속에서 그리고 전체의 개체성을 통해서만 서로 연결되기 때문이다. 
[37]| 인간 유기체의 경우에, 그 유기체의 부분들을 합치면 자아성--곧 개체성--을 이루지만, 그런 과정은 인격과 어떤 관련도 없는데, 시공우주 실체들에 관련된 바와 같이, 인격은 이 모든 요소를 통합한다.
[38]| 집합체에서는 부분들이 합산되며;체계에서는 부분들이 {i{i{배열된다}i}i}. 체계들은 조직으로 인해--곧 위치상의 가치로 인해-- 의미를 갖는다. 좋은 체계 내에서는 모든 요소가 시공우주 위치를 갖는다. 나쁜 체계 내에서는 어떤 것들이 모자라거나 바뀌어 있다--곧 혼란돼 있다. 인간 체계 안에서는, 바로 인격이 모든 활동을 통합하고, 그 다음에 정체성과 독창성의 성질을 수여한다.
[39]| {b{b{2. }b}b}{b{b{{k{k{자아}k}k}}b}b}
[40]| 다음과 같은 것들을 기억하면 자아성{自我性} 연구에 도움 될 것이다:
[41]| 1. 육체적 체계들은 종속적이다.
[42]| 2. 지적 체계들은 대등하다.
[43]| 3. 인격은 상위{上位}에 있다.
[44]| 4. 내주하는 영적 세력은, 지휘하는 잠재성을 지녔다.
[45]| 모든 자아성 개념에서, 산다는 사실이 먼저이고, 평가 또는 해석은 나중임을 반드시 인식해야 한다. 어린아이는 먼저 {i{i{살아가고}i}i}, 그 다음에 자기 삶에 대하여 {i{i{생각한다}i}i}. 시공우주 질서에서 통찰력이 선견{先見}보다 앞선다.
[46]| {k{k{하나님}k}k}께서 사람이 되신다는 우주의 사실이, 인간 인격의 모든 의미를 변화시켰고, 모든 가치를 영구히 바꿔버렸다. 단어의 참된 의미에서 사랑은, 인간의 경우든지 신의 경우든지, 아니면 인간의 경우인 {i{i{동시에}i}i} 신의 경우든지, 모든 인격체들의 상호 관심을 의미한다. 자아의 부분들은 여러 방법으로--곧 생각하기, 느끼기, 소망하기로-- 작용할지 모르지만, 전{全} 인격의 조화된 속성들은 오직 지성적 행동에 초점이 맞춰져 있으며;이 모든 능력은, 인간이든지 신이든지 다른 존재를, 한 인간이 진심으로 그리고 이타심{利他心}으로 사랑할 때, 필사 정신의 영적 재능과 연합된다.
[47]| 실체에 관한 필사자의 모든 개념은, 인간의 인격이 실제임을 가정{假定}하는 데 기초를 두며;초인간 실체에 대한 모든 개념은, 인간의 인격이 어떤 관련된 영적 실재들 및 신성한 인격체들의 시공우주 실체들과 함께, 그리고 그 실체들 속에서 겪는 체험에 기초를 둔다. 인격을 제외하고, 인간 체험에서 비영적{非靈的}인 것은 무엇이든지, 목적을 이루기 위한 수단이다. 필사적 사람이 --인간이든지 신이든지-- 다른 인격자들과 갖는 모든 참된 관계는, 그 자체가 목적이다. 그리고 {k{k{신격}k}k}의 인격과 그런 교제를 갖는 것은, 우주 상승의 영원한 목표다.
[48]| 인격의 소유는, 사람이 영적 존재임을 확인하는데, 이는 자아성의 통일과 인격의 자아_의식이, 초물질 세계가 부여한 자질이기 때문이다. 한 필사 유물론자가 초물질 실체의 실존을 부인할 수도 있다는 바로 그 사실 자체가, 그의 인간 정신 속에 영의 합성과 시공우주 의식{意識}이 현존함을 증명하고, 그것들이 작용함을 가리킨다.
[49]| 물질과 사고{思考} 사이에는 거대한 시공우주 간격이 존재하며, 물질 정신과 영적 사랑 사이에 있는 이 간격은 잴 수 없을 만큼 더 크다. 기계론적인 전자{電子}의 결합이나 유물론의 에너지 현상에 대한 어떤 이론으로도, 자아_의식은 말할 것도 없고, 의식을 설명할 수 없다.
[50]| 정신이 실체의 궁극적 분석을 추구함에 따라서, 물질은 물질적 감각에게 자취를 감추지만, 정신에게는 여전히 실재로서 남는다. 물질이 사라진 후에 남아 있는 바로 그 실체를 영적 통찰력이 추구하고 궁극적 분석에 이르기까지 추구할 때, 실체는 정신에게 자취를 감췄지만, 영의 통찰력은 영적 본성을 지닌 시공우주의 실체들과 최상의 가치를 여전히 감지할 수 있다. 따라서 과학은 철학에게 길을 비켜주고, 한편 철학은 참된 영적 체험에 선천적으로 들어 있는 결론에 굴복해야 한다. 사색{思索}은 지혜에게 무릎을 꿇으며, 개화되고 사려 깊은 경배 속에서 지혜는 사라진다.
[51]| 과학에서는 인간 자아가 물질적 세계를 관찰하며;철학은 물질적 세계의 이런 관찰 결과를 지켜보는 것이며;종교, 즉 진정한 영적 체험은, 시간과 공간에 있는 에너지 물질의 이런 모든 상대적 합성의 관찰 결과를 지켜보는 것, 즉 시공우주 실체를 체험으로 깨닫는 것이다. 순전한 유물론에 기초해서 우주 철학을 세우는 일은, 처음에 인간이 의식하는 체험 속에서 모든 물질적인 것이 실제로 느껴진다는 사실을 무시하는 것이다. 관찰하는 자는 관찰 대상이 될 수 없으며;평가는 평가 받는 바로 그 대상을 어느 정도 초월하기를 요구한다.
[52]| 시간세계에서, 생각하기가 지혜로 인도하고, 지혜가 경배로 인도하며;영원 속에서는, 경배가 지혜로 인도하고, 지혜는 결국 사고{思考}를 완결한다. 
[53]| 진화하는 자아가 통합될 가능성은 다음과 같은 구성 요소의 특성에 타고나는데:즉 기초 에너지, 기본 세포조직, 근본적인 화학적 전면통제, 최상의 관념, 최상의 동기, 최상의 목표, 그리고 {k{k{낙원}k}k}에서 증여된 신성한 영--곧 사람의 영적 본성이 자아_의식하는 비밀--이다.
[54]| 시공우주의 진화하는 목적은, 영이 갈수록 더 지배하는 것, 즉 {k{k{사고}k}k} {k{k{조율사}k}k}의 가르침과 인도에 자발적으로 반응함으로, 인격의 통일을 성취하는 것이다. 인간 및 초인간의 인격은 본래부터 시공우주 자질이 그 특징이며, 이 자질을 “지배의 진화”라고 불러도 좋은데, 인격 자체와 그 환경을 통제하는 힘이 확대되는 것이다.
[55]| 한때 인간이었던 상승하는 인격체는, 자아에 대하여, 그리고 우주에서, 의지가 점점 더 지배하는 중대한 두 국면을 거친다:
[56]| 1. 시공우주에서 생기는 문제를 해결하고 그 결과로 우주를 지배함과 아울러 정체성을 확장하고 실현하는 기법을 통해서, 자아_실현을 증대하는 완결성취자_이전{以前} 체험, 즉 {k{k{하나님}k}k}을_추구하는 체험.
[57]| 2. {k{k{하나님}k}k}과 유사한 신성한 차원{次元}에 아직 도달하지 못한, {k{k{하나님}k}k}을_추구하는 지성체들에게, 체험하는 {k{k{지존하신}k}k} {k{k{분}k}k}을 드러냄으로써 자아_실현을 창조적으로 확장하는, 완결성취자_이후 체험, 즉 {k{k{하나님}k}k}을_드러내는 체험. 
[58]| 하강하는 인격체들은, {k{k{지존}k}k} {k{k{신격}k}k}, {k{k{궁극}k}k} {k{k{신격}k}k}, 및 {k{k{절대}k}k} {k{k{신격}k}k}의 신성한 뜻을 확인하고 집행할 수 있는 확대된 능력을 추구하면서, 자신의 다양한 우주 모험을 통해서 비슷한 체험을 획득한다. 
[59]| 물질적 자아, 즉 인간 정체성의 자아_실재는, 육체로 사는 동안에 물질 생명을 운반하는 수단이 계속 작용하는 데, 그리고 에너지와 지능의 불안정한 평형{平衡}이 계속 실존하는 데 의존하며, {k{k{유란시아}k}k}에서는 이것을 {i{i{생명}i}i}이라고 불러 왔다. 그러나 생존할만한 가치가 있는 자아성, 즉 죽는 체험을 초월할 수 있는 자아성은, 오직 일시적 생명 운반체로부터--곧 물질적 육신으로부터-- 더 영구적이고 불멸적인 본성을 지닌 모론시아 혼에 이르기까지, 그리고 계속해서 혼이 영 실체로 주입되고 결국 영 실체 상태를 달성하는 그런 수준까지, 진화하는 인격 정체성의 자리를 이동할 수 있는 잠재성을 확립함으로써 겨우 진화된다. 물질적 연합으로부터 모론시아 정체성확인까지 이렇게 실제로 이동하는 것은, 인간 피조물이 {k{k{하나님}k}k}을_추구하려는, 성실하고 지속적이고 불변하는 결정을 내림으로써 이뤄진다.
[60]| {b{b{3. }b}b}{b{b{{k{k{죽는}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{현상}k}k}}b}b}
[61]| {k{k{유란시아인}k}k}은 일반적으로 한 가지 죽음, 즉 생명 에너지의 물리적 중단만 알고 있으나;인격 생존과 관련해서 본다면 정말로 세 가지가 있다:
[62]| 1. {i{i{영적}i}i} {i{i{죽음}i}i}{i{i{(}i}i}{i{i{곧}i}i}{i{i{혼의}i}i}{i{i{죽음}i}i}{i{i{)}i}i}. 만일 필사적 사람이 생존을 최종적으로 거부하면, 생존하는 스라빔과 {k{k{조율사}k}k}의 공동 견해에 따라서, 영적 파멸, 즉 모론시아 면에서 파산했다는 선고가 내려지고, 그런 일치된 권고가 {k{k{우버사}k}k}에 기록되고 나서, {k{k{검열관}k}k}들 및 그들의 반사하는 동역자들이 이 조사 결과를 확인한 후에, 그 결과로 {k{k{오르본톤}k}k} 통치자들은 내주하는 {k{k{관찰자}k}k}를 즉시 해방시키라고 명령한다. 그러나 {k{k{조율사}k}k}가 이렇게 해방되는 것은, {k{k{조율사}k}k}를_포기한 그 개인과 관련된 개인 스라빔 또는 집단 스라빔의 임무에 어떤 방법으로도 영향을 미치지 않는다. 이런 종류의 죽음은, 육체적 장치와 정신적 장치의 살아있는 에너지가 일시적으로 존속되는 것에 상관없이, 최종 의미를 갖는다. 시공우주 관점에서 그 필사자는 이미 죽었으며;계속되는 생명은, 다만 시공우주 에너지의 물질적 잔여 운동력이 지속됨을 의미할 뿐이다.
[63]| 2. {i{i{지적}i}i} {i{i{죽음}i}i}{i{i{(}i}i}{i{i{곧}i}i}{i{i{정신의}i}i}{i{i{죽음}i}i}{i{i{)}i}i}. 높은 보조 사역에 관련된 중대한 회로들이, 지능의 착란을 통해서, 또는 뇌의 구조 중에서 일부가 파괴됨으로 인해 분열될 때, 그리고 이 상태가 회복 불가능한 어떤 한계점을 지나가게 되면, 내주하는 {k{k{조율사}k}k}는 즉시 해방돼서 {k{k{디비닝톤}k}k}으로 떠난다. 우주 기록에 의하면, 인간의 의지_작용의 본질적 정신 회로들이 파괴될 때에는 언제든지, 필사 인격체는 죽은 것으로 간주된다. 다시 말해서, 이것은 물질 육체의 생명 장치가 계속 기능을 발휘하느냐에 상관없이, 죽은 것이다. 의지가 작용하는 정신을 제외한 육체는 더 이상 인간이 아니지만, 그런 개인의 혼{魂}은, 인간 의지가 전에 결정한 바에 따라 생존할 수 있다. 
[64]| 3. {i{i{육체적}i}i}{i{i{죽음}i}i}{i{i{(}i}i}{i{i{곧}i}i}{i{i{몸과}i}i} {i{i{정신의}i}i}{i{i{죽음}i}i}{i{i{)}i}i}. 죽음이 한 인간에게 다가올 때, 정신이 지성적 장치로써 작용하기를 멈출 때, 즉 측정 가능한 뇌 에너지가 그 주기적 생명 박동을 멈출 무렵까지, {k{k{조율사}k}k}는 정신의 요새 속에 남아 있다. 이 죽음이 있은 후에, {k{k{조율사}k}k}는 희미해지는 정신을 떠나는데, 여러 해 전에 들어갔을 때와 똑같이 아무 예식 없이, {k{k{우버사}k}k}를 경유해서 {k{k{디비닝톤}k}k}으로 나아간다.
[65]| 죽은 뒤에 물질적 육체는 그것이 유래됐던 원소계{元素界}로 돌아가지만, 생존하는 인격의 두 가지 비물질 요소는 존속하는데:선재{先在}하는 {k{k{사고}k}k} {k{k{조율사}k}k}는, 필사자 생애의 기억을 기록한 이력서와 함께 {k{k{디비닝톤}k}k}으로 나아가며;또한 죽은 인간의 불멸하는 모론시아 혼은 운명 수호자의 보호 속에 남는다. 혼의 이 국면과 형태, 한때 활동적이었으나 이제는 정지된 정체성 형식은, 모론시아 세계에서 다시 인격화되는 데 필수적이며;그 {k{k{조율사}k}k}와 혼이 재결합함으로써, 생존하는 인격이 다시 조립되는데, 모론시아 부활 때에 너에게 의식이 돌아오도록 만든다.
[66]| 개인 스랍 수호자를 갖지 못한 자들에게는, 정체성을 안전하게 보관하고 인격을 부활시키는 동일한 업무를, 집단 보호자가 성실하게 효과적으로 수행한다. 스라빔은 인격을 재조립하는 데 필수다.
[67]| {k{k{사고}k}k} {k{k{조율사}k}k}는 죽음과 함께 일시적으로 인격을 잃지만, 정체성은 잃지 않으며;인간 상대자는 일시적으로 정체성을 잃지만, 인격은 잃지 않으며;맨션 세계들에서 이 둘은 영원히 형태화되면서 재결합한다. 떠났던 {k{k{사고}k}k} {k{k{조율사}k}k}는 전에 내주했던 존재로써는 이 땅에 결코 다시 돌아오지 않으며;인격은 인간의 의지 없이 결코 나타나지 않으며;{k{k{조율사}k}k}와_분리된 인간이 죽은 후에는 실제적인 정체성을 결코 나타내지 않고, 어떤 방법으로도 지구에 있는 살아있는 존재들과 대화하지 않는다. {k{k{조율사}k}k}와_분리된 그런 혼은, 죽음 속에 길게 또는 짧게 잠들어 있는 동안 완전히, 그리고 절대로 의식이 없다. 생존이 완성될 때까지, 다른 인격체들과 교통할 수 있는 어떤 종류의 인격이나 역량도 발휘될 수 없다. 맨션 세계로 가는 자는, 자신이 사랑하던 자들에게 거꾸로 소식을 보내는 것이 허용되지 않는다. 현 섭리시대 동안에는, 우주 전역에서 그런 소통이 정책상 금지돼 있다.
[68]| {b{b{4. }b}b}{b{b{{k{k{죽음}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{이후의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{조율사}k}k}}b}b}
[69]| 물질적, 지적, 또는 영적 본성의 죽음이 발생될 때, {k{k{조율사}k}k}는 필사자 주인에게 작별을 고하고, {k{k{디비닝톤}k}k}을 향해서 떠난다. 지방우주와 연방우주의 본부에서, 어떤 반사하는 접촉이 두 정부의 감독관들과 이뤄지며, 시간의 영역 안으로 들어갔다고 기록했던 것과 똑같은 번호로, {k{k{관찰자}k}k}가 나갔다고 등록된다.
[70]| 충분히 이해되지 않는 어떤 방법으로, 내주됐던 정신의 영적 가치와 모론시아 의미를 지닌 {k{k{조율사}k}k}의 이중{二重} 사본에 담긴 대로, {k{k{우주}k}k} {k{k{검열관}k}k}들은 그 인간 생애의 개요{槪要}를 소유할 수 있다. {k{k{검열관}k}k}들은, 죽은 인간의 생존하는 성품과 영적 특성에 관한 {k{k{조율사}k}k}의 소견을 이용할 수 있으며, 이 모든 자료는, 스랍의 기록과 함께, 관련된 그 개인이 판결을 받을 때 제시될 수 있다. 이 정보는 또한, 어떤 필사자가 죽은 후에 상승자로서 즉시 모론시아 생애를 시작하고, 행성의 섭리시대가 정식으로 종료되기 전에 맨션 세계들로 나아갈 수 있게 만드는, 연방우주 명령을 확인하는 데에도 사용된다. 
[71]| 살아있는 자들 가운데서 옮겨진 개인들의 경우를 제외하고, 육체가 죽은 후에, 해방된 {k{k{조율사}k}k}는 즉시 {k{k{디비닝톤}k}k}이라는 고향 구체로 간다. 생존하는 필사자가 사실로 다시 나타나기까지 기다리는 동안에 그 세계에서 무엇이 일어나는가 하는 자세한 것은, 그 인간이 자신의 개인 권한으로 맨션 세계들을 향해서 상승하는지, 아니면 한 행성 시대의 잠자는 생존자들에 대한 섭리시대의 호출을 기다리고 있는지에 주로 달려 있다.
[72]| 필사 동역자가 한 섭리시대의 끝에 다시 인격화될 무리에 속해 있다면, {k{k{조율사}k}k}는 전에 복무했던 체계의 맨션 세계로 즉시 돌아오지는 않겠지만, 선택에 따라서, 다음과 같이 일시적으로 할당된 임무 가운데 하나에 임하게 될 것이다:
[73]| 1. 알려지지 않은 봉사를 위해, 보이지 않는 {k{k{관찰자}k}k} 반열로 소집됨. 
[74]| 2. {k{k{낙원}k}k} 체제를 관찰하는 데 얼마 동안 배정됨.
[75]| 3. {k{k{디비닝톤}k}k}의 여러 훈련 학교 가운데 하나에 입학함.
[76]| 4. {k{k{낙원}k}k} 세계들에 속한, {k{k{아버지}k}k}의 회로를 구성하는 여섯 개의 신성시되는 다른 구체 가운데 하나에, 견습 관찰자로서 얼마동안 머물러 있음.
[77]| 5. {k{k{인격화된}k}k} {k{k{조율사}k}k}들의 사자{使者}가 되는 근무에 배정됨.
[78]| 6. 무체험 집단에 속하는 {k{k{관찰자}k}k}들을 훈련시키는 데 전념하는 {k{k{디비닝톤}k}k} 학교에서 부{副} 교관이 됨.
[79]| 7. 짝이었던 인간이 생존을 거부했을 것이라고 믿을만한 타당한 이유가 있을 경우에, 복무 가능한 세계들 가운데 한 집단을 선택하도록 배정됨.
[80]| 만약, 죽음이 너에게 닥칠 때, 네가 셋째 궤도 또는 더 높은 영역을 달성했고, 그리하여 개인 운명 수호자가 너에게 배정돼 있다면, 그리고 {k{k{조율사}k}k}가 제출한 생존하는 성품에 대하여 요약한 최종 이력서를, 운명 수호자가 무조건적으로 보증한다면--곧 스라빔과 {k{k{조율사}k}k}가 그들이 작성한 생명 기록부와 추천서의 모든 항목에 근본적으로 동의한다면--, {k{k{우주}k}k} {k{k{검열관}k}k}들과 {k{k{우버사}k}k}에 있는 그들의 반사 동역자들이 이 자료를 확인하면서 얼버무리거나 보류함 없이 그렇게 한다면, 그런 경우에, 승진된 신분을 허락하는 명령을, {k{k{살빙톤}k}k}으로 가는 통신 회로를 통해서, {k{k{태고}k}k} {k{k{항존자}k}k}들이 번개처럼 하달하며, 그렇게 발표되면, 생존하는 그 혼을 맨션 세계의 부활실까지 즉시 통과시키라고, {k{k{네바돈}k}k}의 {k{k{주권자}k}k}의 법정이 명령을 내릴 것이다.
[81]| 내가 배운 바로는, 연기되지 않고 인간 개인이 생존한다면, {k{k{조율사}k}k}는, {k{k{디비닝톤}k}k}에 등록하고, {k{k{만유의}k}k} {k{k{아버지}k}k}의 {k{k{낙원}k}k} 현존 앞으로 나아가며, 즉시 돌아와서, 배정된 연방우주와 지방우주의 {k{k{인격화된}k}k} {k{k{조율사}k}k}들에게 포용되고, {k{k{디비닝톤}k}k}의 {k{k{인격화된}k}k} {k{k{관찰자}k}k} 우두머리에게 승인받으며, 그 다음에는 즉시 “정체성 변화가 실현”되는데, 거기서부터 그는, 운명 수호자가 그 형태를 입안한 대로, 이 세상 출신 필사자의 생존하는 혼을 받도록 준비돼 있는 실제 인격 형태를 입고, 셋째 기간에, 맨션 세계에서 호출 받는다.
[82]| {b{b{5. }b}b}{b{b{{k{k{인간}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{자아의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{생존}k}k}}b}b}
[83]| 자아성은, 물질이든지, 모론시아든지, 영적이든지, 시공우주 실체다. {i{i{인격있는}i}i} {i{i{존재}i}i}의 실제성은, 스스로 홀로 행동하시든지, 아니면 다양한 우주 대행자를 통해서든지, {k{k{만유의}k}k} {k{k{아버지}k}k}가 증여하신 것이다. 어떤 존재가 인격있다고 말하는 것은, 시공우주 유기체 안에서 그런 존재가 상대적으로 개별화됐음을 인정하는 것이다. 살아있는 시공우주는, 실제 단위들이 거의 무한대로 결합된 집합체이며, 그 단위들은 모두 전체의 운명에 상대적으로 종속된다. 그러나 인격있는 그 존재들은, 운명을 받아들이거나 운명을 거부하는 실제 선택권을 부여받았다.
